Cleared_time,market_id,ACOPF_solved,cleared_price,cleared_quantity,cleared_DG1_output (kW),cleared_DG2_output (kW),social_welfare ($),planned_SubstationP (kW),expected_SubstationP (kW),total_uncontrollable_loads
2017-11-07-19:28:35,268,True,125.586782653,-0.00242905619382,300.000364378,250.000412964,290132.251583,2729.04273828,3019.12032582,3528.8212044205998
2017-11-07-19:33:35,269,True,115.666962871,-0.000947999871901,300.000138933,250.000159335,152707.476403,2672.4331728,2825.08601933,3341.5538803316
2017-11-07-19:38:35,270,True,118.193063352,-0.00204878512777,300.000287628,250.000328397,221928.387803,2829.07513422,3050.94886828,3561.8212877046494
2017-11-07-19:43:35,271,True,116.007197443,-0.00271563424981,300.000403864,250.000456489,343832.320757,2654.7013494,2998.47901387,3510.18318097983
2017-11-07-19:48:35,272,True,122.990227842,-0.00228736535583,300.000343152,250.000386863,305235.494236,2633.38274547,2938.5635896,3451.94697247083
2017-11-07-19:53:35,273,True,111.123536363,-0.00099969768052,300.000147367,250.000168168,187971.542173,2671.24740525,2859.16431549,3375.5321275388096
2017-11-07-19:58:35,274,True,128.50863,0.0,300.0,250.0,469494.67922,2564.81587863,3034.25594782,3543.51491974375
2017-11-07-20:03:35,275,True,126.080091768,-0.00078649142106,300.000122492,250.000139422,180702.363031,2547.06495048,2727.71268753,3247.40186278312
2017-11-07-20:08:35,276,True,0.0,0.0,300.0,250.0,196101.619608,2595.6523404,2791.69929667,3307.9174430998996
2017-11-07-20:13:35,277,True,129.152098068,0.0,300.0,250.0,992496.77878,2325.75981192,3318.20198063,3820.2593528562506
2017-11-07-20:18:35,278,True,106.46772594,-0.000545720209836,300.000090694,250.00010377,123537.760649,2257.70562261,2381.18876167,2905.40609424366
2017-11-07-20:23:35,279,True,126.526048232,0.0,300.0,250.0,749230.778653,2214.58812885,2963.76429747,3475.68317082658
2017-11-07-20:28:35,280,True,122.539897993,-0.000795905473946,300.000139652,250.000154902,342025.262003,1970.22650598,2312.19714485,2837.92763905797
2017-11-07-20:33:35,281,True,0.0,0.0,300.0,250.0,808094.633692,2070.72277776,2878.76271403,3393.353998809899
2017-11-07-20:38:35,282,True,128.152121185,0.0,300.0,250.0,970886.688323,2029.55695659,3000.38903488,3511.8548832249703
2017-11-07-20:43:35,283,True,102.84766487,-0.000451989913807,300.000080327,250.000089474,282873.104185,1885.48534647,2168.3038319,2696.1337842240896
2017-11-07-20:48:35,284,True,127.544907365,-0.00205478729172,300.000358198,250.000398132,603947.871434,2033.91131409,2637.80454849,3158.58890263181
2017-11-07-20:53:35,285,True,117.406903597,-0.000420837663336,300.000073261,250.000081801,255039.918043,1898.66132028,2153.64662049,2682.26954712326
2017-11-07-20:58:35,286,True,0.0,0.0,300.0,250.0,324264.637993,1966.74648489,2290.95650816,2818.9472512499005
2017-11-07-21:03:35,287,True,130.120816452,-0.0021817134459,300.000374626,250.000416765,670057.126383,1927.13091921,2597.13340715,3117.9122465305704
2017-11-07-21:08:35,288,True,97.9230591473,-0.000485596629183,300.000085109,250.000094948,793180.880542,1185.77817522,1978.90443678,2510.4551366261303
2017-11-07-21:13:35,289,True,133.975596751,-0.000717195162602,300.000130256,250.000143763,402641.077927,1921.76933598,2324.355792,2851.442296949539
2017-11-07-21:18:35,290,True,112.858792655,-0.000366735414932,300.00006589,250.000072691,546337.120737,1410.4183068,1956.70081071,2488.9969216669997
2017-11-07-21:23:35,291,True,0.0,0.0,300.0,250.0,1064717.15265,1295.93009574,2360.59263317,2886.8838706099
2017-11-07-21:28:35,292,True,142.759326983,-0.000832883393515,300.000143295,250.000161567,1003392.92227,1296.44395155,2299.7822491,2827.4165211010595
2017-11-07-21:33:35,293,True,98.6020401725,-0.000279259766038,300.0,250.000055036,552329.179544,1307.62751562,1859.90207963,2393.78836000167
2017-11-07-21:38:35,294,True,132.458914673,-0.000892113941855,300.000148473,250.000165361,832943.243589,1424.97853434,2257.86715411,2786.03944990627
2017-11-07-21:43:35,295,True,133.590316858,-0.000204247723117,300.0,250.0,436736.466347,1419.08293503,1855.76478727,2390.55942040431
2017-11-07-21:48:35,296,True,0.0,0.0,300.0,250.0,586364.358129,1438.56976806,2024.87951348,2557.5979011899
2017-11-07-21:53:35,297,True,145.636083173,0.0,300.0,250.0,240186.070888,1436.12832852,1676.25978625,2213.5091680676896
2017-11-07-21:58:35,298,True,89.3828423764,-0.000271137551344,300.0,250.0,28217.9274202,1495.90780587,1524.07111648,2063.92696499595
2017-11-07-22:03:35,299,True,124.809592296,0.0,300.0,250.0,116444.759607,1476.39979359,1592.78993843,2132.0121123371905
2017-11-07-22:08:35,300,True,110.621528525,0.0,300.0,250.0,90364.7828291,1396.68500655,1486.99517374,2026.8514818426402
2017-11-07-22:13:35,301,True,0.0,0.0,300.0,250.0,187308.72827,1506.15339615,1693.40751268,2231.0831264099
2017-11-07-22:18:35,302,True,130.270122537,0.0,300.0,250.0,155932.38718,1359.4537188,1515.33149297,2055.5375550082904
2017-11-07-22:23:35,303,True,118.464456752,0.0,300.0,250.0,201512.120703,1284.26846607,1485.72597425,2026.0073608915104
2017-11-07-22:28:35,304,True,0.0,0.0,300.0,250.0,368323.265251,1245.81732687,1614.08598077,2152.8943558799006
2017-11-07-22:33:35,305,True,131.807209029,0.0,300.0,250.0,298545.563662,1197.26831502,1495.75926673,2036.6714313156997
2017-11-07-22:38:35,306,True,118.405283339,0.0,300.0,250.0,264406.673004,1102.09467726,1366.44673847,1908.584382201
