# file...... Output/hvac/house_hvac_file_020.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_7A_tm_2_A_7_Meter_46_381:hvac_load,house_2_8A_tm_2_A_8_Meter_46_382:hvac_load,house_2_1A_tm_2_A_1_Meter_47_383:hvac_load,house_2_2A_tm_2_A_2_Meter_47_384:hvac_load,house_2_3A_tm_2_A_3_Meter_47_385:hvac_load,house_2_4A_tm_2_A_4_Meter_47_386:hvac_load,house_2_5A_tm_2_A_5_Meter_47_387:hvac_load,house_2_6A_tm_2_A_6_Meter_47_388:hvac_load,house_2_7A_tm_2_A_7_Meter_47_389:hvac_load,house_2_8A_tm_2_A_8_Meter_47_390:hvac_load,house_2_9A_tm_2_A_9_Meter_47_391:hvac_load,house_2_10A_tm_2_A_10_Meter_47_392:hvac_load,house_2_11A_tm_2_A_11_Meter_47_393:hvac_load,house_2_12A_tm_2_A_12_Meter_47_394:hvac_load,house_2_13A_tm_2_A_13_Meter_47_395:hvac_load,house_2_14A_tm_2_A_14_Meter_47_396:hvac_load,house_2_15A_tm_2_A_15_Meter_47_397:hvac_load,house_2_1B_tm_2_B_1_Meter_47_398:hvac_load,house_2_2B_tm_2_B_2_Meter_47_399:hvac_load,house_2_3B_tm_2_B_3_Meter_47_400:hvac_load
2010-08-16 18:41:00 UTC,+5.56499396432,+0,+5.99375693115,+0,+2.99711687727,+4.28134612722,+2.99709062305,+4.70962706715,+6.42090333604,+0,+4.7090344074,+1.28463134596,+2.14087158043,+3.42520932423,+0,+0,+4.28133687798,+5.16993241951,+0,+0
2010-08-16 18:41:30 UTC,+5.56815015921,+0,+5.9972121993,+0,+2.9988446694,+4.28381421902,+2.99881839131,+4.71234208239,+6.4246046735,+0,+4.7117489413,+1.28537194741,+2.14210576962,+3.42718388876,+0,+0,+4.28380495971,+5.16676576889,+0,+0
2010-08-16 18:42:00 UTC,+5.56579478158,+2.14095499579,+5.99497433735,+5.13817530874,+2.99772563601,+4.28221571824,+2.99769937339,+4.71058365751,+6.4222074408,+0,+4.70999082825,+0,+2.14130642639,+0,+0,+0,+0,+0,+2.58350027463,+3.01404991668
2010-08-16 18:42:30 UTC,+5.56941361707,+2.14234707554,+5.99876713129,+5.14142591165,+2.99962220652,+4.28492490415,+2.99959591768,+4.71356388743,+6.42627034114,+0,+4.7129705298,+0,+2.14266117664,+0,+0,+5.99846508689,+0,+0,+2.58466015655,+3.01540309031
2010-08-16 18:43:00 UTC,+5.56633253497,+2.14116185674,+0,+5.13799334926,+2.99761947147,+4.2820640658,+2.99759321031,+4.71041683283,+6.42198001112,+0,+4.70982403305,+0,+0,+0,+3.85468950618,+5.99446028736,+0,+0,+2.58409844802,+3.01474777431
2010-08-16 18:43:30 UTC,+5.55718950135,+2.13764474958,+0,+5.12902710692,+2.99238809978,+4.27459123092,+2.992361911,+4.70219636836,+6.41077318227,+2.13752432653,+4.70160502676,+0,+0,+0,+3.84752219476,+5.98399929632,+0,+0,+2.58561233501,+3.01651394718
2010-08-16 18:44:00 UTC,+5.56009765479,+2.13876344693,+0,+5.13179603346,+2.99400363548,+4.27689896819,+2.99397742434,+4.70473498626,+6.41423403967,+2.13867834863,+4.70414319421,+0,+0,+0,+3.84959944219,+5.98722982647,+0,+0,+2.58782026372,+3.01908982227
2010-08-16 18:44:30 UTC,+5.55963529126,+2.1385855867,+0,+5.13126848556,+2.99369583662,+4.27645928808,+2.99366962973,+4.70425131777,+6.4135746621,+2.13845847934,+0,+1.28316494978,+0,+0,+3.84920367601,+5.98661433185,+0,+0,+2.58845565675,+3.01983110212
2010-08-16 18:45:00 UTC,+5.55972982293,+2.13862195078,+0,+5.13145727953,+2.99380598884,+4.27661663674,+2.99377978042,+4.70442440859,+6.41381063406,+2.13853716413,+0,+1.28321216547,+0,+0,+3.84934530916,+5.98683459939,+0,+0,+2.58598447008,+3.01694809772
2010-08-16 18:45:30 UTC,+0,+2.14003929225,+0,+5.13417413915,+0,+4.27888097922,+2.99536491558,+4.7069152902,+6.41720641343,+2.13966948595,+0,+1.28389162783,+0,+3.42323711486,+3.85138349589,+5.99000438257,+0,+0,+2.58584183086,+3.016781688
