# file...... Output/hvac/house_hvac_file_030.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_8C_tm_2_C_8_Meter_50_581:hvac_load,house_2_9C_tm_2_C_9_Meter_50_582:hvac_load,house_2_10C_tm_2_C_10_Meter_50_583:hvac_load,house_2_11C_tm_2_C_11_Meter_50_584:hvac_load,house_2_12C_tm_2_C_12_Meter_50_585:hvac_load,house_2_13C_tm_2_C_13_Meter_50_586:hvac_load,house_2_14C_tm_2_C_14_Meter_50_587:hvac_load,house_2_15C_tm_2_C_15_Meter_50_588:hvac_load,house_2_1A_tm_2_A_1_Meter_51_589:hvac_load,house_2_2A_tm_2_A_2_Meter_51_590:hvac_load,house_2_3A_tm_2_A_3_Meter_51_591:hvac_load,house_2_4A_tm_2_A_4_Meter_51_592:hvac_load,house_2_5A_tm_2_A_5_Meter_51_593:hvac_load,house_2_6A_tm_2_A_6_Meter_51_594:hvac_load,house_2_7A_tm_2_A_7_Meter_51_595:hvac_load,house_2_8A_tm_2_A_8_Meter_51_596:hvac_load,house_0_1A_tm_0_A_1_Meter_52_597:hvac_load,house_0_2A_tm_0_A_2_Meter_52_598:hvac_load,house_0_3A_tm_0_A_3_Meter_52_599:hvac_load,house_0_4A_tm_0_A_4_Meter_52_600:hvac_load
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+2.1571129096,+0,+0,+0,+0,+0,+0,+0,+0,+5.17363832276,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+2.15668262658,+0,+0,+0,+0,+0,+0,+0,+0,+5.17380031761,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+2.1572812882,+0,+0,+0,+0,+0,+0,+0,+0,+5.17453939083,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+2.15698635962,+0,+0,+0,+0,+0,+0,+0,+0,+5.17454995001,+0,+0,+0,+5.18401055999,+5.18384111566
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17297315548,+0,+0,+0,+5.18299512146,+5.18282571773
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.16987285297,+0,+0,+0,+5.18137308391,+5.18120374506
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.16807501116,+0,+0,+0,+5.17882145067,+5.17865221389
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17135613108,+0,+0,+0,+5.18125389003,+5.18108455595
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44687332452,+5.17006892843,+0,+0,+0,+5.18078755366,+5.18061823823
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44775397854,+0,+0,+0,+0,+5.18028024079,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44795526677,+0,+0,+0,+0,+5.18085793499,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44803259025,+0,+0,+0,+0,+5.1817042618,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.45033741183,+0,+0,+0,+0,+5.18347257606,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44964149929,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+4.73734573252,+0,+0,+0,+0,+0,+2.58620071111,+0,+0,+0,+0,+0,+0,+0,+3.45522204472,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+4.73682580529,+0,+3.44493557407,+0,+0,+0,+2.5862511204,+0,+1.72429396142,+0,+0,+0,+0,+0,+3.45479225817,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+4.73923229744,+0,+3.44668572159,+0,+0,+0,+2.58598746984,+0,+1.72411817764,+0,+0,+0,+0,+0,+3.45471536008,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+4.73916232513,+0,+3.44663483346,+0,+0,+0,+2.5853820015,+0,+1.72371449364,+6.46197559132,+0,+0,+0,+0,+3.45422289988,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+4.73844989624,+0,+3.44611671183,+0,+0,+0,+2.58616618149,+0,+1.72423733009,+6.46393549215,+0,+0,+0,+0,+3.4552119527,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+4.73852428403,+0,+3.44617081115,+0,+0,+0,+2.58643233507,+0,+0,+6.46460068984,+0,+0,+0,+0,+3.45429271327,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+4.73992742676,+0,+3.44719126192,+0,+0,+0,+2.58557070301,+0,+0,+6.46244721295,+0,+0,+0,+0,+3.45374892421,+4.31736787241,+0,+0
