# file...... Output/hvac/house_hvac_file_052.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_7B_tm_3_B_7_Meter_86_1021:hvac_load,house_3_8B_tm_3_B_8_Meter_86_1022:hvac_load,house_3_1B_tm_3_B_1_Meter_87_1023:hvac_load,house_3_2B_tm_3_B_2_Meter_87_1024:hvac_load,house_3_3B_tm_3_B_3_Meter_87_1025:hvac_load,house_3_4B_tm_3_B_4_Meter_87_1026:hvac_load,house_3_5B_tm_3_B_5_Meter_87_1027:hvac_load,house_3_6B_tm_3_B_6_Meter_87_1028:hvac_load,house_3_7B_tm_3_B_7_Meter_87_1029:hvac_load,house_3_8B_tm_3_B_8_Meter_87_1030:hvac_load,house_3_9B_tm_3_B_9_Meter_87_1031:hvac_load,house_3_10B_tm_3_B_10_Meter_87_1032:hvac_load,house_3_11B_tm_3_B_11_Meter_87_1033:hvac_load,house_3_12B_tm_3_B_12_Meter_87_1034:hvac_load,house_3_13B_tm_3_B_13_Meter_87_1035:hvac_load,house_3_14B_tm_3_B_14_Meter_87_1036:hvac_load,house_3_15B_tm_3_B_15_Meter_87_1037:hvac_load,house_3_1A_tm_3_A_1_Meter_88_1038:hvac_load,house_3_2A_tm_3_A_2_Meter_88_1039:hvac_load,house_3_3A_tm_3_A_3_Meter_88_1040:hvac_load
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61172854891
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.03405712475,+0,+0,+0,+0,+0,+2.61114296209
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.62782838832,+0,+0,+0,+0,+0,+3.03107525827,+0,+0,+0,+0,+0,+2.61205031676
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.6266046797,+0,+0,+0,+0,+4.32850530326,+3.03041614794,+0,+0,+0,+0,+0,+2.61197442972
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.63423076047,+0,+0,+0,+0,+4.33437207637,+3.03452368506,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.63659749757,+0,+0,+0,+0,+4.33619281627,+3.03579844995,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.63944961084,+0,+0,+0,+0,+4.33838695787,+3.03733464662,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:30 UTC,+0,+2.1689693446,+0,+0,+0,+0,+0,+5.63661774881,+0,+0,+0,+0,+4.33620839565,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:00 UTC,+0,+2.17033595921,+0,+0,+0,+0,+0,+5.63990231022,+0,+0,+0,+0,+4.33873522126,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:30 UTC,+0,+2.16993754804,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.20581910125,+4.3378703546,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:01:00 UTC,+0,+2.17012509188,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.20638419087,+0,+0,+0,+0,+0,+0,+0,+0
