# file...... Output/hvac/house_hvac_file_048.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3A_tm_3_A_3_Meter_79_941:hvac_load,house_3_4A_tm_3_A_4_Meter_79_942:hvac_load,house_3_5A_tm_3_A_5_Meter_79_943:hvac_load,house_3_6A_tm_3_A_6_Meter_79_944:hvac_load,house_3_7A_tm_3_A_7_Meter_79_945:hvac_load,house_3_8A_tm_3_A_8_Meter_79_946:hvac_load,house_3_9A_tm_3_A_9_Meter_79_947:hvac_load,house_3_10A_tm_3_A_10_Meter_79_948:hvac_load,house_3_11A_tm_3_A_11_Meter_79_949:hvac_load,house_3_12A_tm_3_A_12_Meter_79_950:hvac_load,house_3_13A_tm_3_A_13_Meter_79_951:hvac_load,house_3_14A_tm_3_A_14_Meter_79_952:hvac_load,house_3_15A_tm_3_A_15_Meter_79_953:hvac_load,house_3_1B_tm_3_B_1_Meter_80_954:hvac_load,house_3_2B_tm_3_B_2_Meter_80_955:hvac_load,house_3_3B_tm_3_B_3_Meter_80_956:hvac_load,house_3_4B_tm_3_B_4_Meter_80_957:hvac_load,house_3_5B_tm_3_B_5_Meter_80_958:hvac_load,house_3_6B_tm_3_B_6_Meter_80_959:hvac_load,house_3_7B_tm_3_B_7_Meter_80_960:hvac_load
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.06100117238,+3.46388024672,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.06888758575,+3.46838750397,+0,+0
2010-08-16 00:58:30 UTC,+4.78893164974,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.07153358821,+3.46989975204,+0,+0
2010-08-16 00:59:00 UTC,+4.7854984849,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.07498817488,+3.47187412353,+0,+0
2010-08-16 00:59:30 UTC,+4.7880865589,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.07287187766,+0,+0,+0
2010-08-16 01:00:00 UTC,+4.78230556741,+0,+0,+0,+0,+0,+3.47783473126,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.07705823586,+0,+0,+0
2010-08-16 01:00:30 UTC,+4.7887108358,+0,+0,+0,+0,+0,+3.48249273045,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.07602731385,+0,+0,+0
2010-08-16 01:01:00 UTC,+4.79081208709,+0,+0,+0,+0,+0,+3.48402078932,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.0762939441,+0,+2.60495116592,+0
2010-08-16 01:01:30 UTC,+0,+0,+0,+0,+0,+0,+3.48396739299,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60273086924,+0
2010-08-16 01:02:00 UTC,+0,+0,+0,+0,+0,+0,+3.48021545476,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60589838419,+0
2010-08-16 01:02:30 UTC,+0,+0,+0,+0,+0,+0,+3.4820746277,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60306618931,+0
2010-08-16 01:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.90262613493,+0,+0,+0,+2.60195421265,+0
2010-08-16 01:03:30 UTC,+0,+0,+0,+0,+0,+0,+0,+2.61294565209,+0,+0,+0,+0,+0,+0,+3.90562289268,+0,+0,+0,+0,+0
2010-08-16 01:04:00 UTC,+0,+0,+6.5276167013,+0,+0,+0,+0,+2.61136041154,+0,+0,+0,+0,+0,+0,+3.90539840935,+0,+0,+0,+0,+0
2010-08-16 01:04:30 UTC,+0,+0,+6.52689982244,+0,+0,+0,+0,+2.6110736192,+0,+0,+0,+0,+1.74085665758,+0,+3.90662291573,+0,+0,+0,+0,+0
2010-08-16 01:05:00 UTC,+0,+0,+6.5253272552,+0,+0,+0,+0,+2.61044450288,+0,+0,+0,+0,+1.74034555546,+0,+3.90583504537,+0,+0,+0,+0,+0
2010-08-16 01:05:30 UTC,+0,+0,+6.52378297251,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.73993367442,+0,+3.90618665946,+0,+0,+0,+0,+0
2010-08-16 01:06:00 UTC,+0,+0,+6.52317813328,+0,+0,+5.65302026048,+0,+0,+0,+0,+0,+0,+1.73977235562,+0,+0,+0,+0,+0,+0,+0
