# file...... Output/hvac/house_hvac_file_025.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_25B_tm_2_B_25_Meter_48_481:hvac_load,house_2_26B_tm_2_B_26_Meter_48_482:hvac_load,house_2_27B_tm_2_B_27_Meter_48_483:hvac_load,house_2_28B_tm_2_B_28_Meter_48_484:hvac_load,house_2_29B_tm_2_B_29_Meter_48_485:hvac_load,house_2_1C_tm_2_C_1_Meter_48_486:hvac_load,house_2_2C_tm_2_C_2_Meter_48_487:hvac_load,house_2_3C_tm_2_C_3_Meter_48_488:hvac_load,house_2_4C_tm_2_C_4_Meter_48_489:hvac_load,house_2_5C_tm_2_C_5_Meter_48_490:hvac_load,house_2_6C_tm_2_C_6_Meter_48_491:hvac_load,house_2_7C_tm_2_C_7_Meter_48_492:hvac_load,house_2_8C_tm_2_C_8_Meter_48_493:hvac_load,house_2_9C_tm_2_C_9_Meter_48_494:hvac_load,house_2_10C_tm_2_C_10_Meter_48_495:hvac_load,house_2_11C_tm_2_C_11_Meter_48_496:hvac_load,house_2_12C_tm_2_C_12_Meter_48_497:hvac_load,house_2_13C_tm_2_C_13_Meter_48_498:hvac_load,house_2_14C_tm_2_C_14_Meter_48_499:hvac_load,house_2_15C_tm_2_C_15_Meter_48_500:hvac_load
2010-08-16 00:16:00 UTC,+0,+0,+0,+0,+0,+5.17876418944,+0,+0,+0,+2.15813571878,+0,+0,+0,+0,+3.45295598672,+0,+0,+0,+0,+0
2010-08-16 00:16:30 UTC,+0,+0,+0,+0,+0,+5.17730912531,+0,+0,+0,+2.15752933233,+0,+0,+0,+0,+3.4519857844,+0,+5.17739589934,+0,+0,+0
2010-08-16 00:17:00 UTC,+0,+0,+0,+0,+0,+5.17558241418,+0,+4.74453646112,+0,+2.15682404418,+0,+0,+0,+0,+3.45083445427,+0,+5.17566914814,+0,+0,+0
2010-08-16 00:17:30 UTC,+0,+0,+0,+0,+0,+5.1787168435,+0,+4.74740987189,+0,+0,+0,+0,+0,+0,+0,+0,+5.17880365019,+0,+0,+0
2010-08-16 00:18:00 UTC,+0,+0,+0,+3.87904125282,+0,+5.17829254465,+0,+4.7470209064,+0,+0,+0,+0,+0,+0,+0,+0,+5.17837934149,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+3.88123312443,+0,+5.17710304424,+0,+4.74593046123,+0,+0,+0,+0,+0,+0,+0,+0,+5.17718981349,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+3.88039493362,+0,+5.17624737735,+0,+4.74514604971,+0,+0,+3.01998872334,+0,+0,+0,+0,+0,+5.17633412674,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+3.88147780835,+0,+5.17525643894,+0,+4.74423763134,+0,+0,+3.01941055076,+0,+0,+0,+0,+0,+5.17534316534,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+3.88025969425,+0,+0,+0,+4.74561249422,+0,+0,+3.02028559693,+0,+0,+0,+0,+0,+5.17684295454,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+3.88015204374,+0,+0,+0,+4.74496371409,+0,+0,+3.0198726739,+0,+0,+0,+0,+0,+5.17613522327,+0,+0,+0
