# file...... Output/hvac/house_hvac_file_046.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_12B_tm_3_B_12_Meter_76_901:hvac_load,house_3_13B_tm_3_B_13_Meter_76_902:hvac_load,house_3_14B_tm_3_B_14_Meter_76_903:hvac_load,house_3_15B_tm_3_B_15_Meter_76_904:hvac_load,house_3_16B_tm_3_B_16_Meter_76_905:hvac_load,house_3_17B_tm_3_B_17_Meter_76_906:hvac_load,house_3_1C_tm_3_C_1_Meter_76_907:hvac_load,house_3_2C_tm_3_C_2_Meter_76_908:hvac_load,house_3_3C_tm_3_C_3_Meter_76_909:hvac_load,house_3_4C_tm_3_C_4_Meter_76_910:hvac_load,house_3_5C_tm_3_C_5_Meter_76_911:hvac_load,house_3_6C_tm_3_C_6_Meter_76_912:hvac_load,house_3_7C_tm_3_C_7_Meter_76_913:hvac_load,house_3_8C_tm_3_C_8_Meter_76_914:hvac_load,house_3_9C_tm_3_C_9_Meter_76_915:hvac_load,house_3_10C_tm_3_C_10_Meter_76_916:hvac_load,house_3_11C_tm_3_C_11_Meter_76_917:hvac_load,house_3_12C_tm_3_C_12_Meter_76_918:hvac_load,house_3_13C_tm_3_C_13_Meter_76_919:hvac_load,house_3_14C_tm_3_C_14_Meter_76_920:hvac_load
2010-08-16 00:22:30 UTC,+4.34500968416,+0,+0,+0,+3.91059282752,+0,+0,+0,+0,+0,+5.66527854599,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+4.34192831464,+0,+0,+0,+3.90781952096,+0,+0,+0,+0,+0,+5.66766112815,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+3.91123642379,+0,+3.05063321244,+0,+0,+0,+5.66487610394,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+3.91036820185,+0,+3.04952430609,+0,+0,+0,+5.66281697451,+0,+0,+0,+0,+0,+0,+3.92075661434,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+3.04825936848,+0,+0,+0,+5.66046811057,+0,+0,+0,+0,+0,+0,+3.91913029382,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+3.04633098658,+0,+0,+0,+5.65688729622,+0,+0,+0,+0,+0,+0,+3.91665098809,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+3.04954982766,+0,+0,+0,+5.66286436554,+0,+0,+0,+0,+0,+0,+3.92078942723,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.66335777776,+0,+0,+0,+0,+0,+0,+3.92113105894,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.65847192006,+0,+0,+0,+0,+0,+0,+3.91774815943,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91765971084,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91788286427,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+1.7358484346,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91902869378,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+1.73411632647,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91932097929,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+1.73402703515,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.92092917125,+3.48547909875
2010-08-16 00:30:00 UTC,+0,+0,+0,+1.7338761508,+0,+0,+0,+0,+0,+0,+0,+4.35625743215,+0,+0,+0,+0,+0,+0,+3.9206922893,+3.48526852079
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.35891637832,+0,+0,+0,+0,+0,+0,+3.92308538397,+3.48739587986
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.35512088667,+0,+0,+0,+0,+0,+0,+3.91966937995,+3.484359198
2010-08-16 00:31:30 UTC,+0,+6.06936256625,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.35280582592,+0,+0,+0,+0,+0,+0,+0,+3.48250697337
2010-08-16 00:32:00 UTC,+0,+6.07347508388,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34734218451,+0,+0,+0,+0,+4.78222897364,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+6.08277697137,+4.34496872274,+0,+0,+0,+0,+0,+0,+0,+0,+4.35177807663,+0,+0,+0,+0,+4.7871086665,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+6.07954553102,+4.34266048216,+0,+0,+0,+0,+0,+0,+0,+0,+4.35100783136,+0,+0,+0,+0,+4.78626135997,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+6.08517473192,+4.34668145999,+0,+0,+0,+0,+0,+0,+0,+0,+4.35065335106,+0,+0,+0,+0,+4.78587141474,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+6.09111560226,+4.35092506553,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78567215273,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+6.08818843034,+4.348834166,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7848951264,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+4.3476710763,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+4.34551411494,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17380477735,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17345018802,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17344795445,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17546806569,+3.48036392043,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17735196575,+3.48337774311,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+3.04629961345,+0,+0,+0,+0,+0,+0,+0,+0,+3.48144292871,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+3.0431033264,+0,+0,+0,+0,+0,+0,+0,+0,+3.47779008049,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+3.0455472494,+0,+0,+0,+0,+0,+0,+0,+0,+3.48058309615,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+3.04651938638,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+3.04664228082,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+4.34205643272,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91690909213,+0,+0
2010-08-16 00:43:00 UTC,+4.34432215771,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91579351576,+0,+0
2010-08-16 00:43:30 UTC,+4.34137929677,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91853133652,+0,+0
2010-08-16 00:44:00 UTC,+4.34378128441,+0,+0,+0,+3.90948723825,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91601405123,+0,+0
2010-08-16 00:44:30 UTC,+4.34488953352,+0,+0,+0,+3.91048468905,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91438181929,+0,+0
2010-08-16 00:45:00 UTC,+4.34568776816,+0,+0,+0,+3.9112031194,+0,+0,+0,+0,+0,+5.65337122093,+0,+0,+0,+0,+0,+0,+3.91421650662,+0,+0
2010-08-16 00:45:30 UTC,+4.34611867531,+0,+0,+0,+3.91159094619,+0,+0,+0,+0,+0,+5.65829667337,+0,+0,+0,+0,+0,+0,+3.91762682108,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+3.91144975485,+0,+0,+0,+0,+0,+5.65842952935,+0,+0,+0,+0,+0,+0,+0,+3.91756535033,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+1.73878604645,+3.91182786878,+0,+0,+0,+0,+0,+5.65849578199,+0,+0,+0,+0,+0,+0,+0,+3.91761122034,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+1.73858542671,+3.91137653937,+0,+0,+0,+0,+0,+5.66242925119,+0,+0,+0,+0,+0,+0,+0,+3.92033455671,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+1.73865231564,+0,+0,+0,+0,+0,+0,+5.65570321571,+0,+0,+0,+0,+0,+0,+0,+3.91567778777,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+1.7358648488,+0,+5.20702851895,+0,+0,+0,+0,+5.65312986666,+0,+0,+0,+0,+0,+0,+0,+3.91389613021,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+5.21230349975,+0,+0,+0,+0,+5.65431694395,+0,+0,+0,+0,+0,+0,+0,+3.91471800287,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+5.214966314,+0,+0,+0,+0,+5.64904114221,+0,+0,+0,+0,+0,+4.7802695563,+0,+3.91106530284,+0
2010-08-16 00:49:30 UTC,+0,+0,+4.34253252084,+0,+0,+5.21111979466,+0,+0,+0,+0,+0,+0,+3.04275168919,+0,+0,+0,+4.78107665087,+0,+3.91172563621,+0
2010-08-16 00:50:00 UTC,+0,+0,+4.34318935762,+0,+0,+5.21190801264,+0,+0,+0,+0,+0,+0,+3.04631132069,+3.91659167638,+0,+0,+4.78666980629,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+6.07607778602,+4.34018344751,+0,+0,+5.20830085713,+0,+0,+0,+0,+0,+0,+3.04618921307,+3.91643468504,+0,+0,+4.78647794179,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+6.06669578923,+4.33348182131,+0,+0,+5.20025876438,+0,+0,+0,+0,+0,+0,+3.04602959517,+3.91622946749,+0,+0,+4.78622713837,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+6.07797179004,+4.34153634791,+0,+0,+5.20992436614,+0,+0,+0,+0,+0,+0,+3.04751177516,+3.91813507675,+0,+0,+4.78855604886,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+6.0811751527,+4.34382453239,+0,+0,+0,+0,+0,+0,+4.78951923155,+0,+0,+0,+3.91885673355,+0,+0,+4.78943801042,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+6.07706538588,+4.34088889705,+0,+0,+0,+0,+0,+0,+4.7890127937,+0,+4.35343520102,+0,+3.91844235348,+2.17708437966,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+6.06998777971,+0,+0,+0,+0,+0,+0,+0,+4.79655448132,+0,+4.36029085192,+0,+3.92461315019,+2.18051293165,+0,+0,+0,+0,+3.48849556322
2010-08-16 00:53:30 UTC,+0,+6.06539888183,+0,+0,+0,+0,+3.0515482637,+0,+0,+4.79518872745,+0,+4.35904933512,+0,+0,+2.17989204169,+0,+0,+0,+0,+3.48750225541
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+3.04889977579,+0,+0,+4.79102692179,+0,+4.35526611201,+0,+0,+2.17800002924,+0,+0,+0,+0,+3.48447538932
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+3.04670821022,+0,+0,+4.78758311903,+0,+4.35213557807,+0,+0,+2.17643443042,+0,+0,+0,+0,+3.48197072411
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+3.04313919427,+0,+0,+4.78197480547,+0,+4.34703743019,+0,+0,+0,+0,+0,+0,+0,+3.47789181804
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+3.0433732126,+0,+0,+4.78234253937,+0,+4.34737171281,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,+3.0429058431,+0,+0,+0,+0,+4.34670410056,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.48331010978,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.48428653997,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.48025105342,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.4819112724,+0,+0,+0,+0
2010-08-16 00:59:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.48371813949,+0,+0,+0,+0
2010-08-16 01:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91726756338,+0,+0
2010-08-16 01:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91533027989,+0,+0
2010-08-16 01:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91704863023,+0,+0
2010-08-16 01:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91559090181,+0,+0
2010-08-16 01:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91605697946,+0,+0
2010-08-16 01:03:00 UTC,+4.33739023781,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91736255656,+0,+0
2010-08-16 01:03:30 UTC,+4.3405551381,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91562865651,+3.91547530767,+0
2010-08-16 01:04:00 UTC,+4.34016418047,+0,+0,+1.73629172305,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91553348279,+0
2010-08-16 01:04:30 UTC,+4.34176372237,+0,+0,+1.73693164414,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91145088434,+0
2010-08-16 01:05:00 UTC,+4.34074842934,+0,+0,+1.7365254607,+3.90675708567,+0,+0,+3.0426811302,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91176311813,+0
2010-08-16 01:05:30 UTC,+4.34122136365,+0,+0,+1.73671466527,+3.90718273779,+0,+0,+3.04387658381,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91330000269,+0
2010-08-16 01:06:00 UTC,+4.34464085112,+0,+0,+0,+3.91026035785,+0,+0,+3.04056991568,+0,+0,+0,+0,+0,+0,+0,+0,+4.77782112439,+0,+3.90904892415,+0
