# file...... Output/hvac/house_hvac_file_035.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_62_681:hvac_load,house_3_1A_tm_3_A_1_Meter_63_682:hvac_load,house_3_2A_tm_3_A_2_Meter_63_683:hvac_load,house_3_3A_tm_3_A_3_Meter_63_684:hvac_load,house_3_4A_tm_3_A_4_Meter_63_685:hvac_load,house_3_5A_tm_3_A_5_Meter_63_686:hvac_load,house_3_6A_tm_3_A_6_Meter_63_687:hvac_load,house_3_7A_tm_3_A_7_Meter_63_688:hvac_load,house_3_8A_tm_3_A_8_Meter_63_689:hvac_load,house_3_9A_tm_3_A_9_Meter_63_690:hvac_load,house_3_10A_tm_3_A_10_Meter_63_691:hvac_load,house_3_11A_tm_3_A_11_Meter_63_692:hvac_load,house_3_12A_tm_3_A_12_Meter_63_693:hvac_load,house_3_13A_tm_3_A_13_Meter_63_694:hvac_load,house_3_14A_tm_3_A_14_Meter_63_695:hvac_load,house_3_15A_tm_3_A_15_Meter_63_696:hvac_load,house_3_1B_tm_3_B_1_Meter_64_697:hvac_load,house_3_2B_tm_3_B_2_Meter_64_698:hvac_load,house_3_3B_tm_3_B_3_Meter_64_699:hvac_load,house_3_4B_tm_3_B_4_Meter_64_700:hvac_load
2010-08-16 00:20:30 UTC,+3.01516785778,+0,+0,+0,+0,+0,+5.59862077296,+0,+0,+0,+0,+0,+0,+0,+3.87680958969,+3.01520626452,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+3.0165594382,+0,+0,+0,+0,+0,+5.59728622253,+0,+0,+0,+0,+0,+0,+0,+3.87588541533,+3.01448749024,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+3.01615329593,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87506644832,+3.01385054072,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+3.87155595189,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01132598184,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+3.87456385417,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+3.87428435001,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+3.87292031762,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+3.87389894798,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+3.874786821,+4.73539559937,+0,+4.73547664317,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+3.87604260483,+4.73693026202,+0,+4.73701133972,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
