# file...... Output/hvac/house_hvac_file_022.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_9C_tm_2_C_9_Meter_47_421:hvac_load,house_2_10C_tm_2_C_10_Meter_47_422:hvac_load,house_2_11C_tm_2_C_11_Meter_47_423:hvac_load,house_2_12C_tm_2_C_12_Meter_47_424:hvac_load,house_2_13C_tm_2_C_13_Meter_47_425:hvac_load,house_2_14C_tm_2_C_14_Meter_47_426:hvac_load,house_2_15C_tm_2_C_15_Meter_47_427:hvac_load,house_2_1A_tm_2_A_1_Meter_48_428:hvac_load,house_2_2A_tm_2_A_2_Meter_48_429:hvac_load,house_2_3A_tm_2_A_3_Meter_48_430:hvac_load,house_2_4A_tm_2_A_4_Meter_48_431:hvac_load,house_2_5A_tm_2_A_5_Meter_48_432:hvac_load,house_2_6A_tm_2_A_6_Meter_48_433:hvac_load,house_2_7A_tm_2_A_7_Meter_48_434:hvac_load,house_2_8A_tm_2_A_8_Meter_48_435:hvac_load,house_2_9A_tm_2_A_9_Meter_48_436:hvac_load,house_2_10A_tm_2_A_10_Meter_48_437:hvac_load,house_2_11A_tm_2_A_11_Meter_48_438:hvac_load,house_2_12A_tm_2_A_12_Meter_48_439:hvac_load,house_2_13A_tm_2_A_13_Meter_48_440:hvac_load
2010-08-16 00:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.88242721317,+0,+0,+0,+0,+0
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.88129363598,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73787102734,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74092455353,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74007566217,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74090423254,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74117026758,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74130308642,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74447465412,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+5.17649374692,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+5.60150973204,+0,+5.17122019978,+0,+4.74031781785,+0,+0,+0,+3.882788676,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+5.59855832183,+0,+5.16849542547,+0,+4.73782008506,+0,+5.17220823842,+0,+3.87946453717,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+5.59809768805,+0,+5.16807016331,+0,+4.73743025782,+0,+5.17230376614,+0,+3.8795361902,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+5.60087245967,+0,+5.17063186294,+0,+4.73977850412,+0,+5.17196749531,+0,+3.87928396159,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+4.73941753183,+5.60081320083,+0,+5.17057715453,+0,+4.73972835428,+0,+5.17118761389,+0,+3.87869899142,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+4.73882425835,+5.60011210311,+0,+5.16992989342,+0,+4.73913502613,+0,+5.17267570991,+0,+3.87981517622,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+4.73904768036,+5.60037613084,+0,+5.17017364675,+0,+0,+0,+5.17301926995,+0,+0,+0,+0,+0,+0,+3.44875980111,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+4.74037310761,+5.60194244733,+0,+5.17161968728,+0,+0,+0,+5.17126058154,+0,+0,+0,+0,+0,+0,+3.44758731545,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+4.74498850848,+0,+0,+0,+0,+0,+0,+5.16824166656,+0,+0,+0,+0,+0,+0,+3.4455746596,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+4.7436536795,+0,+0,+0,+0,+0,+2.15468776703,+0,+0,+0,+0,+0,+0,+0,+3.44732294751,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+4.74241547792,+0,+0,+0,+0,+0,+2.15498246073,+0,+0,+0,+0,+0,+0,+0,+3.44779442471,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+4.73879302103,+0,+0,+0,+0,+0,+2.15560252551,+0,+0,+0,+0,+0,+0,+0,+3.44878645952,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+4.7420260684,+0,+0,+0,+0,+0,+2.153236496,+0,+0,+0,+0,+0,+0,+0,+3.44500107501,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+4.74187406639,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44618871415,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01580110672,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01767184211,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01641107653,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01652549669,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01646212282,+3.44741137497,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44871465588,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.4481646607,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44871047541,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44934497681,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+4.31023257341,+0,+0,+0,+0,+0,+2.58812906845,+0,+0,+0,+0,+0,+0,+0,+0,+3.45057994899,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+4.31121515192,+0,+0,+0,+0,+0,+2.58781924337,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+4.31044236882,+0,+0,+0,+0,+0,+2.58728334058,+0,+0,+0,+0,+0,+0,+5.60452636421,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+4.30798710844,+0,+0,+0,+0,+0,+2.58769576465,+0,+0,+0,+0,+0,+0,+5.60541969914,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+4.30894935394,+0,+0,+0,+0,+0,+2.58676800444,+0,+0,+0,+0,+0,+0,+5.60341011562,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+4.30847869083,+0,+0,+0,+0,+0,+2.58656136408,+0,+0,+0,+0,+0,+0,+5.60296252038,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+4.30790165133,+0,+0,+0,+0,+0,+0,+3.87928904988,+3.01722522762,+0,+0,+0,+0,+5.60235885962,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+4.30812679804,+0,+0,+0,+0,+3.87817299134,+3.01635718334,+4.73967329637,+0,+0,+0,+5.60074715911,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+4.30593739036,+0,+0,+0,+0,+3.87641189861,+3.01498744656,+4.73752102587,+0,+0,+0,+5.59820396436,+0,+0,+4.73718045636
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+4.30664644114,+0,+0,+0,+0,+3.87796219475,+3.01619323068,+4.73941567718,+0,+0,+0,+5.60044274766,+0,+0,+4.73907493369
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+4.30691658144,+0,+0,+0,+0,+3.87632739208,+3.01492171935,+4.73741774856,+0,+0,+0,+5.59808192845,+0,+0,+4.73707718854
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+4.30691126929,+0,+0,+0,+0,+3.87971407412,+3.01755580155,+4.7415566878,+0,+3.8792680123,+0,+0,+0,+0,+4.74121574768
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+4.30435206542,+0,+0,+0,+0,+0,+3.01859182852,+4.7431845993,+0,+3.88059985441,+0,+0,+0,+0,+4.7428435097
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74022725314,+0,+3.87818036284,+0,+0,+0,+0,+4.7398864351
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73888464609,+0,+3.87708193667,+0,+0,+0,+0,+4.73854395134
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87631924834,+0,+0,+0,+0,+4.7376118025
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87731860589,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+4.74104189501,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.87824575109,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+4.74570335025,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+4.74387620922,+0,+0,+0,+0,+0,+4.74378158419,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+4.7410352884,+0,+0,+0,+0,+0,+4.74094073612,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+4.74263383965,+0,+0,+0,+0,+0,+4.74253924643,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+4.73712142149,+0,+0,+0,+0,+0,+4.73702696945,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+4.73990126693,+0,+0,+0,+0,+0,+4.73980674369,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+4.74337455831,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+4.74395561399,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+4.74254804772,+0,+0,+0,+0,+0,+2.15119740541,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01154678063,+0,+0
2010-08-16 00:52:30 UTC,+0,+4.74019465481,+0,+0,+0,+0,+0,+2.15121211582,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01156737411,+0,+0
2010-08-16 00:53:00 UTC,+0,+4.74644082861,+0,+0,+0,+0,+0,+2.15119626363,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01154518222,+0,+0
2010-08-16 00:53:30 UTC,+0,+4.74389712863,+0,+0,+0,+0,+0,+2.1524093602,+5.1653963664,+0,+0,+0,+0,+0,+0,+0,+0,+3.01324342804,+0,+0
2010-08-16 00:54:00 UTC,+0,+4.74023829457,+0,+0,+0,+0,+0,+2.15341968873,+5.16782093136,+0,+0,+0,+0,+0,+0,+0,+0,+3.01465781356,+0,+0
2010-08-16 00:54:30 UTC,+0,+4.73976845442,+0,+0,+5.17096001092,+0,+0,+0,+5.17117736007,+0,+0,+0,+0,+0,+0,+0,+0,+3.0166158078,+0,+0
2010-08-16 00:55:00 UTC,+0,+4.73537085016,+5.5960310567,+0,+5.16616222652,+0,+0,+0,+5.17534744757,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+4.73568853837,+5.59640648302,+0,+5.16650882424,+0,+0,+0,+5.17534620288,+0,+3.88181824832,+0,+0,+0,+0,+0,+0,+0,+0,+0
