# file...... Output/hvac/house_hvac_file_010.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_13B_tm_1_B_13_Meter_22_181:hvac_load,house_1_14B_tm_1_B_14_Meter_22_182:hvac_load,house_1_15B_tm_1_B_15_Meter_22_183:hvac_load,house_1_1C_tm_1_C_1_Meter_24_184:hvac_load,house_1_2C_tm_1_C_2_Meter_24_185:hvac_load,house_1_3C_tm_1_C_3_Meter_24_186:hvac_load,house_1_4C_tm_1_C_4_Meter_24_187:hvac_load,house_1_5C_tm_1_C_5_Meter_24_188:hvac_load,house_1_6C_tm_1_C_6_Meter_24_189:hvac_load,house_1_7C_tm_1_C_7_Meter_24_190:hvac_load,house_1_8C_tm_1_C_8_Meter_24_191:hvac_load,house_1_9C_tm_1_C_9_Meter_24_192:hvac_load,house_1_10C_tm_1_C_10_Meter_24_193:hvac_load,house_1_11C_tm_1_C_11_Meter_24_194:hvac_load,house_1_12C_tm_1_C_12_Meter_24_195:hvac_load,house_1_13C_tm_1_C_13_Meter_24_196:hvac_load,house_1_14C_tm_1_C_14_Meter_24_197:hvac_load,house_1_15C_tm_1_C_15_Meter_24_198:hvac_load,house_1_1A_tm_1_A_1_Meter_28_199:hvac_load,house_1_2A_tm_1_A_2_Meter_28_200:hvac_load
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+0,+2.5860862886,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29250848587,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+2.58920178657,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31590795933,+0,+1.29239100886,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31319376649,+0,+1.29286073244,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31081479584,+0,+1.29334358304,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31027447721,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.30696755519,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.30727348311,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.30703127689,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.30934288574,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+2.58537489682,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.0316875136,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+2.58491364394,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.03061144534,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+2.58476277221,+0,+0,+0,+0,+0,+0,+0,+0,+4.30765202407,+6.03025947292,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,+2.583313453,+0,+0,+0,+0,+0,+0,+0,+0,+4.30523669444,+6.02687832021,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,+2.58454512029,+0,+0,+0,+0,+0,+0,+0,+0,+4.30728930127,+6.02975170739,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.30734159303,+6.02982490914,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.30761648697,+6.03020972554,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:30 UTC,+0,+5.6073873647,+0,+0,+0,+0,+0,+0,+0,+0,+4.73534170832,+4.73556280178,+0,+6.02675383558,+0,+0,+0,+0,+0,+0
2010-08-16 01:01:00 UTC,+0,+5.60733052527,+0,+0,+0,+0,+0,+0,+0,+0,+4.7341469667,+4.73436798515,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:01:30 UTC,+0,+5.60638387464,+0,+0,+0,+0,+0,+0,+0,+0,+4.73543580674,+4.73565690611,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:02:00 UTC,+0,+5.60738944783,+0,+0,+0,+0,+0,+0,+0,+0,+4.73685147958,+4.73707266782,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:02:30 UTC,+0,+5.60174057073,+0,+0,+0,+0,+0,+0,+0,+0,+4.73840403157,+4.73863804168,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:03:00 UTC,+0,+5.5987063927,+0,+0,+0,+0,+2.5862054854,+0,+0,+0,+4.74107204923,+4.74130624119,+0,+0,+0,+0,+0,+3.87978791516,+0,+0
2010-08-16 01:03:30 UTC,+0,+5.59998260699,+0,+0,+0,+0,+2.58573590156,+0,+0,+0,+4.74021121814,+4.74044535144,+0,+0,+0,+0,+0,+3.87847544953,+0,+0
2010-08-16 01:04:00 UTC,+0,+0,+0,+0,+0,+5.17004856777,+2.58514096584,+0,+0,+0,+4.73913854421,+0,+0,+0,+0,+0,+0,+3.87758308749,+0,+0
2010-08-16 01:04:30 UTC,+0,+0,+0,+0,+0,+5.16777780387,+2.58400551898,+0,+0,+0,+4.73705705141,+0,+0,+0,+0,+0,+0,+3.87587999651,+0,+0
