# file...... Output/hvac/house_hvac_file_014.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_2A_tm_1_A_2_Meter_33_261:hvac_load,house_1_3A_tm_1_A_3_Meter_33_262:hvac_load,house_1_4A_tm_1_A_4_Meter_33_263:hvac_load,house_1_5A_tm_1_A_5_Meter_33_264:hvac_load,house_1_6A_tm_1_A_6_Meter_33_265:hvac_load,house_1_7A_tm_1_A_7_Meter_33_266:hvac_load,house_1_8A_tm_1_A_8_Meter_33_267:hvac_load,house_1_9A_tm_1_A_9_Meter_33_268:hvac_load,house_1_10A_tm_1_A_10_Meter_33_269:hvac_load,house_1_11A_tm_1_A_11_Meter_33_270:hvac_load,house_1_12A_tm_1_A_12_Meter_33_271:hvac_load,house_1_13A_tm_1_A_13_Meter_33_272:hvac_load,house_1_14A_tm_1_A_14_Meter_33_273:hvac_load,house_1_15A_tm_1_A_15_Meter_33_274:hvac_load,house_0_1C_tm_0_C_1_Meter_34_275:hvac_load,house_0_2C_tm_0_C_2_Meter_34_276:hvac_load,house_0_3C_tm_0_C_3_Meter_34_277:hvac_load,house_0_4C_tm_0_C_4_Meter_34_278:hvac_load,house_0_5C_tm_0_C_5_Meter_34_279:hvac_load,house_0_6C_tm_0_C_6_Meter_34_280:hvac_load
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.75546148091,+0,+0,+0,+0,+0,+0,+6.0502079404,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.75588840338,+0,+0,+0,+0,+0,+0,+6.05009067052,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.755925128,+0,+0,+0,+0,+0,+0,+6.04714591915,+0,+3.88786124793,+6.04693614729,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.75874208818,+0,+3.4613395388,+0,+0,+0,+0,+6.04504913497,+0,+3.88651313287,+6.04483945012,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+3.89254643003,+0,+0,+0,+4.75699761423,+0,+3.46007063299,+0,+0,+0,+0,+6.04744084766,+0,+3.88805087049,+6.04723106355,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+3.89445651154,+0,+0,+0,+0,+0,+3.46176850226,+0,+0,+0,+0,+6.04651944152,+0,+3.88745845781,+6.04630969565,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+3.89366643812,+0,+0,+0,+0,+0,+3.4610662069,+0,+0,+0,+0,+6.0441499493,+0,+3.88593500668,+6.04394030178,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+3.89167413047,+0,+0,+0,+0,+0,+3.45929524692,+0,+0,+0,+2.5904358697,+0,+0,+3.88539813217,+6.04310531132,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+3.89200300772,+0,+0,+0,+0,+0,+3.45958758553,+0,+0,+0,+2.59044317103,+0,+0,+3.8854090833,+6.04312234339,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+3.89253318028,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59099225645,+0,+0,+0,+6.0444032146,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59174292234,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59173673371,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.62234863223,+0,+0,+0,+0,+0,+0,+0,+0,+3.02388014482,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.62040493243,+0,+0,+0,+0,+0,+0,+0,+0,+3.02401314897,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.61789534656,+0,+0,+0,+0,+0,+0,+0,+0,+3.02549018779,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.61935390612,+0,+0,+0,+0,+0,+0,+0,+0,+3.0246900907,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.6203975266,+0,+0,+0,+0,+0,+0,+0,+0,+3.0236572379,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+4.32484927639,+5.62223619166,+0,+0,+0,+0,+0,+0,+0,+0,+3.02188099838,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+4.32019720551,+5.61618859105,+0,+4.32036836169,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+4.75224174335,+0,+0,+0,+0,+0,+4.32055310449,+5.61665125273,+0,+4.32072427877,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+4.75254383864,+0,+0,+0,+0,+0,+4.32082776396,+5.61700830464,+0,+4.32099895219,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+4.75554375582,+0,+0,+0,+0,+0,+4.32355523342,+0,+0,+4.32372656025,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+4.75440366164,+0,+0,+0,+0,+0,+4.3225186808,+0,+0,+4.32268995496,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+4.75518802077,+0,+0,+0,+0,+0,+4.32323180566,+0,+0,+4.32340311606,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+4.75513205512,+0,+0,+2.16190900808,+0,+0,+4.32318092273,+0,+0,+4.32335223054,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+4.7567867797,+0,+0,+2.16266137037,+0,+0,+0,+0,+0,+0,+0,+0,+3.46037143749,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+2.16284299823,+0,+0,+0,+0,+0,+0,+0,+0,+3.46002248074,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+2.16259122228,+0,+4.32487231043,+0,+0,+0,+0,+0,+0,+3.45961971891,+0,+0,+0,+0,+0,+0,+6.04329977967
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+4.32571583184,+0,+0,+0,+0,+0,+0,+3.46029446234,+0,+0,+0,+0,+0,+0,+6.04218698813
