# file...... Output/hvac/house_hvac_file_013.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_13C_tm_1_C_13_Meter_30_241:hvac_load,house_1_14C_tm_1_C_14_Meter_30_242:hvac_load,house_1_15C_tm_1_C_15_Meter_30_243:hvac_load,house_1_1C_tm_1_C_1_Meter_31_244:hvac_load,house_1_2C_tm_1_C_2_Meter_31_245:hvac_load,house_1_3C_tm_1_C_3_Meter_31_246:hvac_load,house_1_4C_tm_1_C_4_Meter_31_247:hvac_load,house_1_5C_tm_1_C_5_Meter_31_248:hvac_load,house_1_6C_tm_1_C_6_Meter_31_249:hvac_load,house_1_7C_tm_1_C_7_Meter_31_250:hvac_load,house_1_8C_tm_1_C_8_Meter_31_251:hvac_load,house_1_1C_tm_1_C_1_Meter_32_252:hvac_load,house_1_2C_tm_1_C_2_Meter_32_253:hvac_load,house_1_3C_tm_1_C_3_Meter_32_254:hvac_load,house_1_4C_tm_1_C_4_Meter_32_255:hvac_load,house_1_5C_tm_1_C_5_Meter_32_256:hvac_load,house_1_6C_tm_1_C_6_Meter_32_257:hvac_load,house_1_7C_tm_1_C_7_Meter_32_258:hvac_load,house_1_8C_tm_1_C_8_Meter_32_259:hvac_load,house_1_1A_tm_1_A_1_Meter_33_260:hvac_load
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18112039882,+1.29545555996,+0,+4.31766065408,+2.59073150905,+5.6213326129
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18127352793,+0,+0,+4.31778826392,+2.5908080801,+5.62129797318
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18293572924,+0,+0,+0,+0,+5.62011709402
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18075462084,+0,+0,+0,+0,+5.61809633631
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18176463401,+0,+0,+0,+0,+5.62054156243
2010-08-16 00:43:00 UTC,+0,+0,+0,+2.15967757814,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18219289725,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+2.1601933244,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+2.15894710427,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.158752957,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+2.15854785005,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15835375993,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.61356718323,+0,+0,+0,+2.15876033851,+0,+0,+0,+0,+0,+0
