# file...... Output/hvac/house_hvac_file_015.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_7C_tm_0_C_7_Meter_34_281:hvac_load,house_0_8C_tm_0_C_8_Meter_34_282:hvac_load,house_0_9C_tm_0_C_9_Meter_34_283:hvac_load,house_0_10C_tm_0_C_10_Meter_34_284:hvac_load,house_0_11C_tm_0_C_11_Meter_34_285:hvac_load,house_0_12C_tm_0_C_12_Meter_34_286:hvac_load,house_0_13C_tm_0_C_13_Meter_34_287:hvac_load,house_0_14C_tm_0_C_14_Meter_34_288:hvac_load,house_0_15C_tm_0_C_15_Meter_34_289:hvac_load,house_2_1A_tm_2_A_1_Meter_35_290:hvac_load,house_2_2A_tm_2_A_2_Meter_35_291:hvac_load,house_2_3A_tm_2_A_3_Meter_35_292:hvac_load,house_2_4A_tm_2_A_4_Meter_35_293:hvac_load,house_2_5A_tm_2_A_5_Meter_35_294:hvac_load,house_2_6A_tm_2_A_6_Meter_35_295:hvac_load,house_2_7A_tm_2_A_7_Meter_35_296:hvac_load,house_2_8A_tm_2_A_8_Meter_35_297:hvac_load,house_2_9A_tm_2_A_9_Meter_35_298:hvac_load,house_2_10A_tm_2_A_10_Meter_35_299:hvac_load,house_2_11A_tm_2_A_11_Meter_35_300:hvac_load
2010-08-16 00:29:00 UTC,+0,+0,+4.75073657712,+0,+0,+0,+0,+0,+0,+0,+0,+3.45195124168,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+4.7513272105,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+4.75153619024,+0,+0,+0,+0,+1.29611001591,+0,+0,+0,+0,+2.58802257576,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+1.29674309551,+0,+0,+0,+0,+2.58679137761,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+1.29640016265,+0,+0,+0,+0,+2.58776754577,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+1.29595746742,+0,+0,+0,+0,+2.58815120845,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58896480514,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58643644333,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58750340005
2010-08-16 00:34:00 UTC,+5.61238499751,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58871391607
2010-08-16 00:34:30 UTC,+5.61188612892,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58799582769
2010-08-16 00:35:00 UTC,+5.61416653251,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58825928745
2010-08-16 00:35:30 UTC,+5.6147078602,+0,+0,+0,+6.9106723901,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
