# file...... Output/hvac/house_hvac_file_056.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_4B_tm_3_B_4_Meter_95_1101:hvac_load,house_3_5B_tm_3_B_5_Meter_95_1102:hvac_load,house_3_6B_tm_3_B_6_Meter_95_1103:hvac_load,house_3_7B_tm_3_B_7_Meter_95_1104:hvac_load,house_3_8B_tm_3_B_8_Meter_95_1105:hvac_load,house_3_1B_tm_3_B_1_Meter_96_1106:hvac_load,house_3_2B_tm_3_B_2_Meter_96_1107:hvac_load,house_3_3B_tm_3_B_3_Meter_96_1108:hvac_load,house_3_4B_tm_3_B_4_Meter_96_1109:hvac_load,house_3_5B_tm_3_B_5_Meter_96_1110:hvac_load,house_3_6B_tm_3_B_6_Meter_96_1111:hvac_load,house_3_7B_tm_3_B_7_Meter_96_1112:hvac_load,house_3_8B_tm_3_B_8_Meter_96_1113:hvac_load,house_3_1A_tm_3_A_1_Meter_98_1114:hvac_load,house_3_2A_tm_3_A_2_Meter_98_1115:hvac_load,house_3_3A_tm_3_A_3_Meter_98_1116:hvac_load,house_3_4A_tm_3_A_4_Meter_98_1117:hvac_load,house_3_5A_tm_3_A_5_Meter_98_1118:hvac_load,house_3_6A_tm_3_A_6_Meter_98_1119:hvac_load,house_3_7A_tm_3_A_7_Meter_98_1120:hvac_load
2010-08-16 09:45:30 UTC,+0,+0,+0,+0,+3.88702091328,+6.04430402246,+0,+0,+0,+0,+3.88620063489,+0,+6.04447276788,+0,+4.75710751414,+3.02757957426,+4.32467437352,+4.75707378096,+0,+4.7567017946
2010-08-16 09:46:00 UTC,+0,+0,+0,+0,+3.8877334811,+6.04513096689,+0,+0,+0,+0,+3.88673234707,+4.3184234482,+6.04529975136,+0,+4.76834227773,+3.03472994432,+0,+4.76830847623,+0,+4.76793524419
2010-08-16 09:46:30 UTC,+0,+2.15784389099,+0,+0,+3.88379561675,+6.03937555365,+0,+0,+0,+0,+3.88303170785,+4.31431183174,+6.03954406629,+0,+4.77537215226,+0,+0,+4.77533830793,+5.64350061615,+4.77496429726
2010-08-16 09:47:00 UTC,+0,+2.16615567092,+0,+0,+3.89875515685,+6.06263393033,+0,+0,+0,+0,+3.89798647232,+4.33092740916,+6.06280353995,+4.33232946649,+0,+0,+0,+4.76528602347,+5.63162086402,+4.7649131264
2010-08-16 09:47:30 UTC,+0,+2.16232269639,+0,+1.72986197378,+3.89185656959,+6.05196965268,+0,+0,+0,+0,+3.89112951286,+4.32330894461,+6.05213875982,+4.34419400081,+0,+0,+0,+4.77833611589,+5.64704341442,+4.77796177342
2010-08-16 09:48:00 UTC,+0,+2.16451609352,+0,+1.73161669462,+3.89580424554,+6.05762810022,+5.62506487575,+0,+1.73126045178,+0,+3.89476780393,+4.32735128898,+6.05779747407,+4.34319938767,+0,+0,+0,+4.77724211644,+5.64575052993,+4.77686789498
2010-08-16 09:48:30 UTC,+0,+2.16360067653,+0,+1.73088435971,+3.89415667811,+6.05506683738,+5.62268647303,+0,+1.73052838053,+0,+3.89312095299,+4.32552154571,+6.05523609053,+4.34318353281,+0,+0,+0,+4.7772246773,+5.64572992043,+4.77685045779
2010-08-16 09:49:00 UTC,+0,+2.16535757415,+0,+1.73228988032,+0,+6.05964665877,+5.62693932027,+3.03032181022,+1.73183740495,+0,+3.89606570471,+4.32879332916,+6.05981612771,+4.34249310853,+0,+0,+0,+4.77646526274,+5.64483244715,+4.77609112735
2010-08-16 09:49:30 UTC,+0,+2.16652480825,+0,+0,+0,+6.06277372893,+5.6298431347,+3.03188567794,+1.7327311976,+0,+3.89807636054,+4.33102727999,+6.06294334512,+4.34271736774,+0,+0,+0,+4.77671193091,+5.64512395866,+4.77633776817
2010-08-16 09:50:00 UTC,+0,+0,+0,+0,+0,+6.06918823678,+5.63579968155,+3.03509361403,+1.73456461962,+0,+3.90220078568,+4.33560974656,+0,+4.34580431872,+0,+0,+0,+0,+5.64913664527,+4.77973280556
