# file...... Output/hvac/house_hvac_file_023.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_14A_tm_2_A_14_Meter_48_441:hvac_load,house_2_15A_tm_2_A_15_Meter_48_442:hvac_load,house_2_16A_tm_2_A_16_Meter_48_443:hvac_load,house_2_17A_tm_2_A_17_Meter_48_444:hvac_load,house_2_18A_tm_2_A_18_Meter_48_445:hvac_load,house_2_19A_tm_2_A_19_Meter_48_446:hvac_load,house_2_20A_tm_2_A_20_Meter_48_447:hvac_load,house_2_21A_tm_2_A_21_Meter_48_448:hvac_load,house_2_22A_tm_2_A_22_Meter_48_449:hvac_load,house_2_23A_tm_2_A_23_Meter_48_450:hvac_load,house_2_24A_tm_2_A_24_Meter_48_451:hvac_load,house_2_25A_tm_2_A_25_Meter_48_452:hvac_load,house_2_26A_tm_2_A_26_Meter_48_453:hvac_load,house_2_27A_tm_2_A_27_Meter_48_454:hvac_load,house_2_28A_tm_2_A_28_Meter_48_455:hvac_load,house_2_29A_tm_2_A_29_Meter_48_456:hvac_load,house_2_1B_tm_2_B_1_Meter_48_457:hvac_load,house_2_2B_tm_2_B_2_Meter_48_458:hvac_load,house_2_3B_tm_2_B_3_Meter_48_459:hvac_load,house_2_4B_tm_2_B_4_Meter_48_460:hvac_load
2010-08-16 10:05:00 UTC,+4.71314444218,+0,+1.71408695919,+4.28468836443,+0,+0,+0,+2.99960589218,+5.14130486521,+2.14258306785,+0,+0,+2.99946706142,+0,+4.71307518051,+5.1414202501,+0,+0,+5.15028124668,+3.00465850543
2010-08-16 10:05:30 UTC,+4.71243818823,+0,+1.71383009823,+4.28404631513,+0,+0,+0,+2.99915639407,+5.14053446645,+2.14226199656,+5.14106254062,+0,+2.99901759122,+2.14232566564,+4.71236369266,+0,+0,+0,+5.15559901212,+3.00776094799
2010-08-16 10:06:00 UTC,+4.71023830701,+0,+1.71303001259,+4.28204642228,+0,+0,+0,+2.99775627092,+5.13813478325,+2.14126190482,+5.13866254113,+0,+2.99761755507,+2.1413255355,+4.71016385415,+0,+0,+0,+0,+0
2010-08-16 10:06:30 UTC,+0,+0,+1.71286356112,+4.28163036039,+5.5661086037,+2.99740298903,+0,+0,+5.13763554812,+2.14105384366,+5.13816324023,+1.71287425124,+2.99732628863,+2.14111746636,+4.70970619513,+0,+0,+0,+0,+0
2010-08-16 10:07:00 UTC,+0,+3.42156530534,+0,+0,+5.55966675313,+2.99393391816,+1.71083764155,+0,+5.13168970072,+2.13857585275,+5.13221660898,+1.71089181268,+2.99385733006,+2.13863938029,+4.70425551549,+0,+0,+0,+0,+0
2010-08-16 10:07:30 UTC,+0,+3.41828457681,+0,+0,+5.55433601854,+2.9910632063,+1.70919721664,+0,+5.12676941691,+0,+5.12729567621,+1.70925131287,+2.9909838614,+2.13658872419,+0,+0,+0,+0,+0,+0
2010-08-16 10:08:00 UTC,+0,+3.41617760291,+0,+0,+5.55091247445,+2.98921955636,+1.70814369075,+0,+5.12360947559,+0,+5.12413002137,+1.70819773886,+2.98914027477,+2.13527173656,+0,+0,+0,+0,+0,+0
2010-08-16 10:08:30 UTC,+0,+3.41337412372,+0,+0,+5.54635720479,+2.98676644848,+1.70674189933,+0,+5.11940494839,+0,+5.11992494832,+1.70679588339,+2.98668725117,+2.13351939042,+0,+0,+0,+0,+0,+0
2010-08-16 10:09:00 UTC,+0,+3.41158415283,+0,+0,+5.54344874731,+2.98520018334,+1.70584688079,+0,+5.1167204337,+0,+5.11724008504,+1.70590082394,+2.98512103985,+2.13240054899,+0,+0,+0,+3.44471275563,+0,+0
2010-08-16 10:09:30 UTC,+0,+3.42322370224,+0,+0,+5.56236142108,+2.99538505305,+1.71166687066,+0,+5.1341768873,+0,+5.13469880432,+1.71172107962,+2.99530555978,+0,+0,+0,+5.16437791248,+3.44311506337,+0,+0
2010-08-16 10:10:00 UTC,+0,+3.42382962615,+1.71201338311,+0,+5.56334596449,+2.99591525021,+1.71196984381,+2.99597514397,+5.13508562381,+0,+5.13560765871,+0,+2.99583573873,+0,+0,+0,+5.16588779565,+3.44412172447,+0,+0
2010-08-16 10:10:30 UTC,+0,+3.42245949806,+1.71132826784,+0,+5.56111969391,+2.99471635706,+1.71128475444,+2.9947762168,+5.1330307694,+0,+5.13355253773,+0,+2.99463688674,+0,+0,+5.13313987145,+5.16489656664,+3.44346085766,+0,+3.01318541942
2010-08-16 10:11:00 UTC,+4.70668060526,+3.4232750904,+1.7117360945,+0,+5.56244491982,+2.99543001886,+0,+2.99548989885,+0,+2.13964453197,+5.1347758839,+0,+0,+0,+0,+5.1343630985,+5.16183215743,+3.4414177714,+5.16183244812,+3.0113976027
2010-08-16 10:11:30 UTC,+4.7103189596,+3.42592139462,+1.71305934554,+0,+5.56674480194,+2.99774559504,+0,+2.99780554074,+0,+2.14129857045,+5.13874520281,+0,+0,+0,+0,+5.13833203093,+5.15902715772,+3.43954763722,+5.15902743753,+3.00976112886
2010-08-16 10:12:00 UTC,+4.71768467816,+3.43127874294,+1.7157382199,+0,+5.57544975983,+3.00243339626,+0,+3.00249347489,+0,+2.14464711216,+5.14678094722,+0,+0,+0,+0,+5.14636699309,+5.16107751294,+3.44091463892,+5.1610778007,+3.01095733315
2010-08-16 10:12:30 UTC,+4.71904651422,+3.43226925457,+1.71623351271,+0,+5.57705920573,+3.00330011638,+0,+3.00336021957,+0,+2.14526621871,+5.14826666327,+1.71624422917,+0,+2.14532881505,+0,+5.14785256455,+5.16471659874,+3.44334087044,+5.1647169006,+3.01308042378
