# file...... Output/hvac/house_hvac_file_051.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_2C_tm_3_C_2_Meter_85_1001:hvac_load,house_3_3C_tm_3_C_3_Meter_85_1002:hvac_load,house_3_4C_tm_3_C_4_Meter_85_1003:hvac_load,house_3_5C_tm_3_C_5_Meter_85_1004:hvac_load,house_3_6C_tm_3_C_6_Meter_85_1005:hvac_load,house_3_7C_tm_3_C_7_Meter_85_1006:hvac_load,house_3_8C_tm_3_C_8_Meter_85_1007:hvac_load,house_3_9C_tm_3_C_9_Meter_85_1008:hvac_load,house_3_10C_tm_3_C_10_Meter_85_1009:hvac_load,house_3_11C_tm_3_C_11_Meter_85_1010:hvac_load,house_3_12C_tm_3_C_12_Meter_85_1011:hvac_load,house_3_13C_tm_3_C_13_Meter_85_1012:hvac_load,house_3_14C_tm_3_C_14_Meter_85_1013:hvac_load,house_3_15C_tm_3_C_15_Meter_85_1014:hvac_load,house_3_1B_tm_3_B_1_Meter_86_1015:hvac_load,house_3_2B_tm_3_B_2_Meter_86_1016:hvac_load,house_3_3B_tm_3_B_3_Meter_86_1017:hvac_load,house_3_4B_tm_3_B_4_Meter_86_1018:hvac_load,house_3_5B_tm_3_B_5_Meter_86_1019:hvac_load,house_3_6B_tm_3_B_6_Meter_86_1020:hvac_load
2010-08-16 00:34:30 UTC,+0,+0,+5.64553819514,+0,+0,+0,+0,+0,+0,+5.21145441017,+0,+1.73746741615,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.74058417404,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+3.04621883342,+0,+0,+0,+0,+0,+1.74077678571,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+5.65019122381,+3.04282978745,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+5.64340830771,+3.03917681961,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+5.64132486462,+3.0380547726,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+5.64241719334,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+5.64784385684,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+5.65273459594,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+5.64830487294,+0,+0,+5.21391951681,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+5.64307714678,+0,+0,+5.20909379018,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.21403203228,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.21468825327,+4.77989400909,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+5.21474729795,+4.77994812976,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+5.21797351519,+4.78290529622,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+5.64508793978,+0,+0,+0,+0,+0,+0,+5.21132839605,+4.77681434761,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+5.64920699877,+0,+0,+0,+0,+0,+0,+0,+4.78029986913,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+5.64778787291,+0,+0,+0,+0,+0,+0,+0,+4.77909901387,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+5.65270343619,+0,+0,+0,+0,+0,+0,+0,+4.78325853224,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+5.65024126379,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+5.64707163354,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+5.64635099739,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
