# file...... Output/hvac/house_hvac_file_058.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13B_tm_3_B_13_Meter_99_1141:hvac_load,house_3_14B_tm_3_B_14_Meter_99_1142:hvac_load,house_3_15B_tm_3_B_15_Meter_99_1143:hvac_load,house_3_1C_tm_3_C_1_Meter_100_1144:hvac_load,house_3_2C_tm_3_C_2_Meter_100_1145:hvac_load,house_3_3C_tm_3_C_3_Meter_100_1146:hvac_load,house_3_4C_tm_3_C_4_Meter_100_1147:hvac_load,house_3_5C_tm_3_C_5_Meter_100_1148:hvac_load,house_3_6C_tm_3_C_6_Meter_100_1149:hvac_load,house_3_7C_tm_3_C_7_Meter_100_1150:hvac_load,house_3_8C_tm_3_C_8_Meter_100_1151:hvac_load,house_3_9C_tm_3_C_9_Meter_100_1152:hvac_load,house_3_10C_tm_3_C_10_Meter_100_1153:hvac_load,house_3_11C_tm_3_C_11_Meter_100_1154:hvac_load,house_3_12C_tm_3_C_12_Meter_100_1155:hvac_load,house_3_13C_tm_3_C_13_Meter_100_1156:hvac_load,house_3_14C_tm_3_C_14_Meter_100_1157:hvac_load,house_3_15C_tm_3_C_15_Meter_100_1158:hvac_load,house_3_1C_tm_3_C_1_Meter_102_1159:hvac_load,house_3_2C_tm_3_C_2_Meter_102_1160:hvac_load
2010-08-16 14:43:30 UTC,+5.64116896916,+3.90560327785,+2.60380744297,+3.04571061132,+2.61080448828,+4.785556925,+1.74062188805,+5.65540979349,+5.65577147347,+3.0459257452,+5.65586413411,+2.6107257438,+5.655721137,+6.0906639021,+0,+3.48084581308,+3.04596709068,+5.65553723495,+4.34823551547,+3.47880427379
2010-08-16 14:44:00 UTC,+5.64521368074,+3.90840362571,+2.6056744029,+3.04936643638,+2.61393835516,+4.79130089791,+1.74271126359,+5.66219777323,+5.6625600633,+3.0495819068,+5.66265281013,+2.61385946859,+5.66250960895,+6.09797439787,+0,+3.48502392856,+3.04962330519,+5.66232545864,+4.35381842337,+3.4832709326
2010-08-16 14:44:30 UTC,+5.64166432849,+3.90594623888,+2.60403609117,+3.05037715573,+0,+4.79288892384,+1.74328890944,+5.66407443388,+5.66443689253,+3.05059271916,+5.66452966321,+0,+5.66438640562,+6.09999551755,+3.05033871945,+3.48617904461,+3.05063413218,+5.66420218669,+4.3552739208,+3.48443541721
2010-08-16 14:45:00 UTC,+0,+3.90828765832,+2.60559708876,+3.05217081854,+0,+4.79570709791,+0,+5.66740483061,+5.6677675884,+3.05238654702,+5.66786040144,+0,+5.66771704374,+6.10358227701,+3.05213233709,+3.48822895956,+3.052427986,+5.66753270299,+4.35725300562,+3.48601880291
2010-08-16 14:45:30 UTC,+0,+3.90727462369,+2.60492171014,+3.04955544592,+0,+4.79159786669,+0,+5.66254871816,+5.66291103974,+3.04977093372,+5.66300379102,+0,+0,+6.09835235735,+3.04951703034,+3.485239941,+3.04981233485,+5.66267641618,+4.35342824104,+3.48295876349
2010-08-16 14:46:00 UTC,+0,+3.90918597665,+2.60619598733,+0,+0,+4.7902150177,+0,+5.66091452679,+5.66127670153,+3.04889072082,+5.66136943205,+0,+0,+6.0965923714,+3.04863692062,+3.48423406881,+3.0489321092,+5.66104216609,+4.35192291834,+3.48175441569
2010-08-16 14:46:30 UTC,+0,+3.90816182749,+2.60551319878,+0,+0,+4.78805276731,+0,+5.65835927244,+0,+3.0475144022,+5.65881391559,+0,+0,+6.0938404221,+3.04726076339,+3.48266126686,+3.04755577067,+5.65848681992,+4.34936743047,+3.47970987318
2010-08-16 14:47:00 UTC,+0,+3.91161456158,+0,+0,+2.61027278553,+4.78458238256,+0,+5.6542581212,+0,+3.0453054281,+5.65471234371,+0,+0,+6.08942357793,+3.04505204834,+3.48013693948,+3.04534676461,+5.65438552127,+4.34646282051,+3.47738601226
2010-08-16 14:47:30 UTC,+0,+3.91662522519,+0,+0,+2.60836748103,+0,+1.73899711469,+5.65013121743,+0,+3.04308258284,+5.6505850165,+2.60828884711,+0,+6.08497899877,+3.04282946389,+3.4775967608,+3.04312388719,+5.65025846904,+4.34358292372,+3.47508192329
2010-08-16 14:48:00 UTC,+0,+3.91968765659,+0,+0,+2.60591162187,+0,+1.73735977256,+5.64481180872,+0,+3.04021742668,+5.64526506181,+2.60583309944,+0,+6.07925011946,+3.03996464408,+3.47432257506,+3.04025868959,+5.64493886885,+4.3397140123,+3.47198656366
