# file...... Output/hvac/house_hvac_file_062.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_10B_tm_3_B_10_Meter_107_1221:hvac_load,house_3_11B_tm_3_B_11_Meter_107_1222:hvac_load,house_3_12B_tm_3_B_12_Meter_107_1223:hvac_load,house_3_13B_tm_3_B_13_Meter_107_1224:hvac_load,house_3_14B_tm_3_B_14_Meter_107_1225:hvac_load,house_3_15B_tm_3_B_15_Meter_107_1226:hvac_load,house_3_1A_tm_3_A_1_Meter_109_1227:hvac_load,house_3_2A_tm_3_A_2_Meter_109_1228:hvac_load,house_3_3A_tm_3_A_3_Meter_109_1229:hvac_load,house_3_4A_tm_3_A_4_Meter_109_1230:hvac_load,house_3_5A_tm_3_A_5_Meter_109_1231:hvac_load,house_3_6A_tm_3_A_6_Meter_109_1232:hvac_load,house_3_7A_tm_3_A_7_Meter_109_1233:hvac_load,house_3_8A_tm_3_A_8_Meter_109_1234:hvac_load,house_3_9A_tm_3_A_9_Meter_109_1235:hvac_load,house_3_10A_tm_3_A_10_Meter_109_1236:hvac_load,house_3_11A_tm_3_A_11_Meter_109_1237:hvac_load,house_3_12A_tm_3_A_12_Meter_109_1238:hvac_load,house_3_13A_tm_3_A_13_Meter_109_1239:hvac_load,house_3_14A_tm_3_A_14_Meter_109_1240:hvac_load
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+3.90832714604,+0,+0,+0,+1.74243618186,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+3.90751639595,+0,+0,+0,+1.74206910893,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+3.90332342811,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04872986545,+0,+0,+0,+3.91939235007
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+3.91020249595,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04844501447,+0,+0,+0,+3.91902616174
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+3.90959909894,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04783242971,+0,+0,+0,+3.91823865738
2010-08-16 00:27:30 UTC,+0,+0,+0,+3.47478077884,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04675200901,+0,+0,+0,+3.9168497296
2010-08-16 00:28:00 UTC,+0,+0,+0,+3.47591267882,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04632656067,+0,+0,+0,+3.91630279726
2010-08-16 00:28:30 UTC,+0,+0,+0,+3.47128150567,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04622023289,+0,+0,+0,+3.91616610828
2010-08-16 00:29:00 UTC,+0,+0,+0,+3.46751416505,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+3.46763929522,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.22071981124,+0,+0,+0,+0,+0,+0
