# file...... Output/hvac/house_hvac_file_034.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3A_tm_3_A_3_Meter_60_661:hvac_load,house_3_4A_tm_3_A_4_Meter_60_662:hvac_load,house_3_5A_tm_3_A_5_Meter_60_663:hvac_load,house_3_6A_tm_3_A_6_Meter_60_664:hvac_load,house_3_7A_tm_3_A_7_Meter_60_665:hvac_load,house_3_8A_tm_3_A_8_Meter_60_666:hvac_load,house_3_1C_tm_3_C_1_Meter_62_667:hvac_load,house_3_2C_tm_3_C_2_Meter_62_668:hvac_load,house_3_3C_tm_3_C_3_Meter_62_669:hvac_load,house_3_4C_tm_3_C_4_Meter_62_670:hvac_load,house_3_5C_tm_3_C_5_Meter_62_671:hvac_load,house_3_6C_tm_3_C_6_Meter_62_672:hvac_load,house_3_7C_tm_3_C_7_Meter_62_673:hvac_load,house_3_8C_tm_3_C_8_Meter_62_674:hvac_load,house_3_9C_tm_3_C_9_Meter_62_675:hvac_load,house_3_10C_tm_3_C_10_Meter_62_676:hvac_load,house_3_11C_tm_3_C_11_Meter_62_677:hvac_load,house_3_12C_tm_3_C_12_Meter_62_678:hvac_load,house_3_13C_tm_3_C_13_Meter_62_679:hvac_load,house_3_14C_tm_3_C_14_Meter_62_680:hvac_load
2010-08-16 00:18:30 UTC,+0,+4.30636382588,+0,+0,+0,+0,+0,+1.72275525805,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+1.72302611072,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+1.72234202819,+0,+0,+0,+2.15280227867,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+1.72272407231,+0,+0,+0,+2.15327979706,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15379759009,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15479163391,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15460712126,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15390079356,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15476055329,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.1539954805,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+4.30828321282,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+4.30774945429,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+4.30682871401,+0,+0,+0,+4.73121645972,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+4.30584816922,+0,+0,+0,+4.73145000896,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.16225799106,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+4.30564300466,+0,+0,+0,+4.73160739724,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.16242971647,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.73231566909,+0,+0,+0,+4.73235760873,+0,+6.02311193422,+0,+4.73249883664,+0,+5.16320250755,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.7328298059,+0,+0,+0,+4.73287175065,+0,+6.02376631605,+0,+4.73301299756,+0,+5.16376347907,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.73459563484,+0,+0,+0,+4.73463759715,+0,+6.02601382363,+0,+4.73477890935,+0,+5.16569016424,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.73443933809,+0,+0,+0,+4.73448129885,+0,+6.02581489263,+0,+4.73462260526,+0,+5.16551962978,+0
2010-08-16 00:30:30 UTC,+0,+4.30360551363,+0,+0,+0,+0,+0,+0,+4.73717698945,+0,+0,+0,+4.73721897743,+0,+6.029299314,+0,+4.73736038502,+0,+5.1685066643,+0
2010-08-16 00:31:00 UTC,+0,+4.30536988439,+0,+0,+0,+0,+0,+0,+4.73402283418,+0,+0,+0,+4.7340647908,+0,+6.02528477577,+0,+4.73420608181,+0,+5.16506518492,+0
2010-08-16 00:31:30 UTC,+0,+4.3064214739,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73227483991,+0,+6.02300658896,+0,+4.73241606475,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+4.30813681738,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.726965695,+0,+0,+4.72712402578,+4.72710672354,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+4.30067025449,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73151425154,+0,+0,+4.7316727978,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+1.7206784147,+0,+0,+0,+2.15072292187,+0,+0,+0,+4.73095961014,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+6.45117450345,+0,+1.72050962271,+0,+0,+0,+2.15051194812,+0,+0,+0,+4.73049554476,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+6.45106061202,+0,+1.72041340826,+0,+0,+0,+2.15039168932,+0,+0,+0,+4.73023101923,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+5.15863483329,+0,+0,+0,+0,+6.44789320134,+0,+1.72014433387,+0,+0,+0,+2.15005537224,+0,+0,+0,+4.72949124422,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+5.16023841255,+0,+0,+0,+0,+6.44989751608,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73364545627,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+5.15914873743,+0,+0,+0,+0,+6.44853553046,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+5.1596339114,+0,+0,+0,+0,+6.44914194973,+0,+0,+0,+0,+5.59105664947,+0,+0,+0,+0,+0,+0,+2.15086317547,+0,+0
2010-08-16 00:36:30 UTC,+5.15977362409,+0,+5.59078924878,+0,+0,+6.44931657668,+0,+0,+0,+0,+5.58590695588,+0,+0,+0,+0,+0,+0,+2.14888199179,+0,+0
2010-08-16 00:37:00 UTC,+5.16060450295,+0,+5.5901094633,+0,+0,+6.45035509271,+0,+0,+0,+0,+5.58506737327,+0,+0,+0,+0,+0,+0,+2.14855898862,+0,+0
2010-08-16 00:37:30 UTC,+5.16091435771,+0,+5.59044509619,+0,+0,+0,+0,+0,+0,+0,+5.5847836834,+0,+0,+0,+0,+0,+0,+2.14844984779,+0,+0
2010-08-16 00:38:00 UTC,+5.16580029372,+0,+5.59573751442,+0,+0,+0,+0,+0,+0,+0,+5.5892992878,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+5.59528638068,+0,+0,+0,+0,+0,+0,+0,+5.59329760355,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+5.5954013083,+0,+0,+0,+0,+0,+0,+3.44118927099,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+5.59629869399,+0,+0,+0,+0,+0,+0,+3.43822824365,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+5.5927669661,+0,+0,+0,+0,+0,+0,+3.44033557127,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+5.5928969929,+0,+0,+0,+0,+0,+0,+3.44124330889,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
