# file...... Output/hvac/house_hvac_file_055.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_14C_tm_3_C_14_Meter_92_1081:hvac_load,house_3_15C_tm_3_C_15_Meter_92_1082:hvac_load,house_3_1A_tm_3_A_1_Meter_94_1083:hvac_load,house_3_2A_tm_3_A_2_Meter_94_1084:hvac_load,house_3_3A_tm_3_A_3_Meter_94_1085:hvac_load,house_3_4A_tm_3_A_4_Meter_94_1086:hvac_load,house_3_5A_tm_3_A_5_Meter_94_1087:hvac_load,house_3_6A_tm_3_A_6_Meter_94_1088:hvac_load,house_3_7A_tm_3_A_7_Meter_94_1089:hvac_load,house_3_8A_tm_3_A_8_Meter_94_1090:hvac_load,house_3_9A_tm_3_A_9_Meter_94_1091:hvac_load,house_3_10A_tm_3_A_10_Meter_94_1092:hvac_load,house_3_11A_tm_3_A_11_Meter_94_1093:hvac_load,house_3_12A_tm_3_A_12_Meter_94_1094:hvac_load,house_3_13A_tm_3_A_13_Meter_94_1095:hvac_load,house_3_14A_tm_3_A_14_Meter_94_1096:hvac_load,house_3_15A_tm_3_A_15_Meter_94_1097:hvac_load,house_3_1B_tm_3_B_1_Meter_95_1098:hvac_load,house_3_2B_tm_3_B_2_Meter_95_1099:hvac_load,house_3_3B_tm_3_B_3_Meter_95_1100:hvac_load
2010-08-16 12:42:30 UTC,+3.03129211104,+3.46411989385,+5.19253308157,+2.59662028967,+0,+4.32739832116,+5.62489656419,+0,+2.16395372815,+6.0578215572,+6.05778628563,+3.02913556329,+0,+3.89488850237,+6.05736078702,+4.76012542113,+3.89486917273,+6.04349370488,+5.17964100318,+2.15871348187
2010-08-16 12:43:00 UTC,+3.03358576861,+3.46674100822,+5.18709685886,+2.59390169338,+0,+4.32286774946,+5.61900775327,+0,+2.16168809143,+6.0514794437,+6.05144423216,+3.02596424095,+0,+3.89081065389,+6.05101932351,+4.75514180007,+3.89079135562,+6.04455068603,+5.18054686909,+2.15909104553
2010-08-16 12:43:30 UTC,+3.0349695431,+3.46832233897,+5.19618346466,+2.59844580676,+0,+4.33044056628,+5.62885085688,+0,+2.16547508626,+6.06208023918,+6.06204492733,+3.03126508265,+0,+3.89762674714,+6.06161903266,+4.76347188552,+3.89760739646,+6.04592609146,+5.18172563446,+2.15958235345
2010-08-16 12:44:00 UTC,+3.03636968562,+3.46992237455,+5.19616076492,+2.59843445483,+0,+4.33042164819,+5.62882626734,+2.16537392621,+2.16546562572,+6.06205375678,+6.06201844518,+3.03125184031,+0,+3.89760971944,+6.06159255303,+4.76345107565,+0,+6.04231589138,+5.17863158019,+2.15829275574
2010-08-16 12:44:30 UTC,+3.03502967278,+3.46839105315,+5.19049439109,+2.59560076259,+4.32547168992,+4.32569926764,+5.62268814422,+2.16301251056,+2.16310406982,+6.05544313986,+6.05540789079,+3.02794625502,+0,+3.89335922898,+6.0549826134,+4.75825646519,+0,+6.05137611808,+5.18639647784,+2.16152915455
2010-08-16 12:45:00 UTC,+3.03491532984,+3.46826038589,+5.19576704642,+2.59823756051,+4.32986565705,+4.33009352152,+0,+2.16520984723,+2.16530153701,+6.06159442911,+6.06155912185,+3.03102215727,+0,+3.89731438129,+0,+4.76309013687,+0,+6.05006060736,+5.18526904393,+2.1610592417
2010-08-16 12:45:30 UTC,+0,+3.47252378392,+5.19679865834,+2.5987534585,+4.33072535081,+4.3309532714,+0,+2.16563976322,+2.16573147853,+6.06279794856,+6.06276262992,+3.03162396743,+6.06240027655,+3.89808821954,+0,+4.76403586025,+0,+6.04669850471,+5.1823876168,+2.15985826677
2010-08-16 12:46:00 UTC,+0,+3.47456941634,+5.19025768156,+2.59548238674,+4.32527442805,+4.32550199292,+0,+2.1629138638,+2.16300541721,+6.0551669851,+6.05513173865,+3.0278081661,+6.05476991955,+3.89318166721,+0,+4.75803946334,+0,+6.05102175077,+5.18609277397,+0
2010-08-16 12:46:30 UTC,+0,+3.46785372551,+5.19567588795,+2.59819197314,+4.32978969014,+4.33001754964,+0,+2.16517185766,+2.16526354518,+6.06148808003,+6.06145277377,+0,+6.06109051216,+3.897246001,+0,+4.76300656794,+0,+6.05221581151,+5.18711612143,+0
2010-08-16 12:47:00 UTC,+0,+0,+5.1971622025,+0,+4.33102831033,+4.33125625071,+0,+2.16579126735,+2.16588299166,+6.0632220736,+6.06318675095,+0,+6.06282436784,+3.89836092326,+0,+4.76436913697,+3.89834156692,+6.04871564257,+5.18411636705,+0
