# file...... Output/hvac/house_hvac_file_021.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_4B_tm_2_B_4_Meter_47_401:hvac_load,house_2_5B_tm_2_B_5_Meter_47_402:hvac_load,house_2_6B_tm_2_B_6_Meter_47_403:hvac_load,house_2_7B_tm_2_B_7_Meter_47_404:hvac_load,house_2_8B_tm_2_B_8_Meter_47_405:hvac_load,house_2_9B_tm_2_B_9_Meter_47_406:hvac_load,house_2_10B_tm_2_B_10_Meter_47_407:hvac_load,house_2_11B_tm_2_B_11_Meter_47_408:hvac_load,house_2_12B_tm_2_B_12_Meter_47_409:hvac_load,house_2_13B_tm_2_B_13_Meter_47_410:hvac_load,house_2_14B_tm_2_B_14_Meter_47_411:hvac_load,house_2_15B_tm_2_B_15_Meter_47_412:hvac_load,house_2_1C_tm_2_C_1_Meter_47_413:hvac_load,house_2_2C_tm_2_C_2_Meter_47_414:hvac_load,house_2_3C_tm_2_C_3_Meter_47_415:hvac_load,house_2_4C_tm_2_C_4_Meter_47_416:hvac_load,house_2_5C_tm_2_C_5_Meter_47_417:hvac_load,house_2_6C_tm_2_C_6_Meter_47_418:hvac_load,house_2_7C_tm_2_C_7_Meter_47_419:hvac_load,house_2_8C_tm_2_C_8_Meter_47_420:hvac_load
2010-08-16 15:23:00 UTC,+0,+0,+5.15998289859,+3.43996116442,+4.30001666556,+3.44033456387,+3.87014944483,+3.01027648495,+2.15026443184,+0,+2.15029761296,+0,+3.00099803806,+3.42981720661,+3.42967264455,+6.001152065,+4.28695441771,+5.14363110238,+1.71495406191,+3.00113816156
2010-08-16 15:23:30 UTC,+0,+0,+5.15575433403,+3.43714217035,+4.29649283045,+3.43751515808,+3.86697786065,+3.00780951622,+2.1485022392,+4.2963838326,+2.14853538761,+0,+3.00507621304,+3.43447817009,+0,+6.00930703196,+4.29278008959,+5.15062057327,+1.71728462523,+3.00521660426
2010-08-16 15:24:00 UTC,+2.14726505217,+4.29411647331,+5.15298232309,+3.43529419519,+4.29418280081,+3.43566691296,+3.86489874705,+3.00619230917,+2.14734704402,+4.29407387268,+2.14738017099,+0,+3.00604003981,+3.43557973178,+0,+6.01123435871,+4.29415691589,+5.15227244938,+1.71783542534,+3.00618049428
2010-08-16 15:24:30 UTC,+2.14791898977,+4.29542419123,+5.15455160369,+3.43634036406,+4.29549054626,+3.43671323466,+3.86607576716,+3.00710783645,+2.14800101885,+4.29538157867,+2.14803415796,+0,+3.00531075705,+3.43474623143,+0,+6.00977604051,+4.29311513566,+5.15102255183,+1.71741866058,+3.00545116366
2010-08-16 15:25:00 UTC,+2.14681038105,+4.29320724048,+5.1518912304,+3.43456681272,+4.29327354882,+3.4349394242,+3.86408038604,+3.00555575942,+2.14689234702,+4.29316464815,+2.14692546554,+0,+3.00807828872,+3.43790925505,+0,+6.01531016547,+4.29706855393,+5.15576574808,+1.71900022773,+3.0082188769
2010-08-16 15:25:30 UTC,+2.14685888723,+4.29330424118,+5.15200763266,+3.43464441287,+4.29337055156,+3.43501703569,+0,+3.00562366916,+2.14694085596,+4.29326164797,+2.14697397538,+0,+3.00557875349,+3.4350525257,+0,+6.01031194247,+4.2934979685,+5.15148186348,+1.71757181308,+3.00571917769
2010-08-16 15:26:00 UTC,+2.14767585338,+4.29493797692,+5.15396813941,+3.43595139464,+4.29500432171,+3.43632420842,+0,+3.00676744006,+2.14775786862,+4.29489536879,+2.14779100321,+2.14774481493,+3.00594343563,+3.43546932246,+0,+6.01104118316,+4.29401891686,+5.15210688219,+1.71778021875,+0
2010-08-16 15:26:30 UTC,+2.14740736644,+4.29440106764,+5.15332384043,+3.43552186946,+4.29446740112,+3.43589462047,+0,+3.00639155233,+2.14748936639,+4.29435846441,+2.14752249599,+2.14747631514,+3.00867458536,+3.43859076499,+3.43844573808,+6.01650255661,+4.29792036354,+5.15678772454,+1.71934099462,+0
2010-08-16 15:27:00 UTC,+2.14942405537,+4.29843396037,+5.15816337061,+3.43874816683,+4.29850037877,+3.43912138915,+0,+3.00921496195,+2.1495061701,+4.29839132031,+2.14953933715,+2.1494931006,+3.00869196024,+3.4386106228,+3.43846559485,+6.01653730051,+4.29794518355,+5.15681750289,+1.71935092387,+0
2010-08-16 15:27:30 UTC,+2.14943313701,+4.29845212147,+5.15818516419,+3.43876269563,+4.29851854025,+3.43913592007,+0,+3.00922767644,+2.14951525225,+4.29840948124,+2.14954841947,+2.14950218268,+3.00457966065,+3.43391065827,+3.43376587928,+6.00831409557,+4.29207076463,+5.14976954587,+1.71700085939,+0
