# file...... Output/hvac/house_hvac_file_043.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_8C_tm_3_C_8_Meter_74_841:hvac_load,house_3_9C_tm_3_C_9_Meter_74_842:hvac_load,house_3_10C_tm_3_C_10_Meter_74_843:hvac_load,house_3_11C_tm_3_C_11_Meter_74_844:hvac_load,house_3_12C_tm_3_C_12_Meter_74_845:hvac_load,house_3_13C_tm_3_C_13_Meter_74_846:hvac_load,house_3_14C_tm_3_C_14_Meter_74_847:hvac_load,house_3_15C_tm_3_C_15_Meter_74_848:hvac_load,house_3_1C_tm_3_C_1_Meter_75_849:hvac_load,house_3_2C_tm_3_C_2_Meter_75_850:hvac_load,house_3_3C_tm_3_C_3_Meter_75_851:hvac_load,house_3_4C_tm_3_C_4_Meter_75_852:hvac_load,house_3_5C_tm_3_C_5_Meter_75_853:hvac_load,house_3_6C_tm_3_C_6_Meter_75_854:hvac_load,house_3_7C_tm_3_C_7_Meter_75_855:hvac_load,house_3_8C_tm_3_C_8_Meter_75_856:hvac_load,house_3_9C_tm_3_C_9_Meter_75_857:hvac_load,house_3_10C_tm_3_C_10_Meter_75_858:hvac_load,house_3_11C_tm_3_C_11_Meter_75_859:hvac_load,house_3_12C_tm_3_C_12_Meter_75_860:hvac_load
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.6096950829,+0,+0,+0,+0,+0,+4.78396458247
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78549114732
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78599094676
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78822414672
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.04711513171,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78758530803
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.04939782527,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.79117168845
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.04653520023,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78667416741
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.04531048119,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+3.04162445359,+0,+0,+3.04124899562,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+3.04505114005,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+3.9140439561,+3.04443340089,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+3.91377675749,+3.04422556452,+0,+0,+0,+0,+3.04375499573,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+3.91370884426,+3.04417273924,+0,+0,+0,+0,+3.04368152371,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+3.91266622719,+3.04336175537,+0,+0,+0,+0,+3.0427422643,+0,+0,+0,+0,+3.91208042367,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+3.91691647926,+0,+0,+0,+0,+0,+3.04601815901,+0,+0,+0,+0,+3.91629229123,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04709006106,+0,+0,+0,+0,+3.91767045194,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.0441500774,+0,+0,+0,+0,+3.91389047035,+2.17454852343,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+6.51782825221,+0,+0,+3.04056018729,+0,+0,+0,+0,+3.9092748941,+2.17198408009,+0,+0,+0
2010-08-16 00:37:00 UTC,+6.07963442867,+0,+0,+0,+0,+0,+0,+6.5140106005,+0,+0,+0,+0,+0,+0,+0,+3.90819584603,+2.17138455416,+0,+0,+0
2010-08-16 00:37:30 UTC,+6.07933736698,+0,+0,+0,+0,+0,+0,+6.51369231009,+0,+2.60546554542,+0,+0,+0,+0,+0,+3.90784193217,+2.17118791737,+0,+0,+0
2010-08-16 00:38:00 UTC,+6.08544385979,+0,+0,+0,+0,+0,+0,+6.52023518681,+0,+2.60821386786,+0,+0,+0,+0,+0,+0,+2.17347813457,+0,+0,+0
2010-08-16 00:38:30 UTC,+6.09065667306,+0,+0,+0,+0,+0,+0,+6.52582051943,+0,+2.61043336892,+0,+0,+0,+2.61027283498,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+6.08753532406,+0,+0,+0,+0,+0,+0,+6.52247611183,+0,+2.6090708253,+0,+0,+0,+2.60891040554,+0,+0,+0,+0,+0,+0
