# file...... Output/hvac/house_hvac_file_054.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_9B_tm_3_B_9_Meter_90_1061:hvac_load,house_3_10B_tm_3_B_10_Meter_90_1062:hvac_load,house_3_11B_tm_3_B_11_Meter_90_1063:hvac_load,house_3_12B_tm_3_B_12_Meter_90_1064:hvac_load,house_3_13B_tm_3_B_13_Meter_90_1065:hvac_load,house_3_14B_tm_3_B_14_Meter_90_1066:hvac_load,house_3_15B_tm_3_B_15_Meter_90_1067:hvac_load,house_3_1C_tm_3_C_1_Meter_92_1068:hvac_load,house_3_2C_tm_3_C_2_Meter_92_1069:hvac_load,house_3_3C_tm_3_C_3_Meter_92_1070:hvac_load,house_3_4C_tm_3_C_4_Meter_92_1071:hvac_load,house_3_5C_tm_3_C_5_Meter_92_1072:hvac_load,house_3_6C_tm_3_C_6_Meter_92_1073:hvac_load,house_3_7C_tm_3_C_7_Meter_92_1074:hvac_load,house_3_8C_tm_3_C_8_Meter_92_1075:hvac_load,house_3_9C_tm_3_C_9_Meter_92_1076:hvac_load,house_3_10C_tm_3_C_10_Meter_92_1077:hvac_load,house_3_11C_tm_3_C_11_Meter_92_1078:hvac_load,house_3_12C_tm_3_C_12_Meter_92_1079:hvac_load,house_3_13C_tm_3_C_13_Meter_92_1080:hvac_load
2010-08-16 15:43:00 UTC,+6.06873288317,+0,+5.63501011024,+2.60131541476,+1.73426571473,+0,+3.46814600655,+4.7651038021,+0,+4.33216780994,+6.49824173131,+5.63099753571,+4.7651581329,+2.16623928502,+4.33187063816,+6.06492006921,+4.33221957621,+3.46570289253,+0,+0
2010-08-16 15:43:30 UTC,+6.07114994026,+0,+5.63725437773,+2.60235151211,+1.73495647337,+0,+3.46952731851,+4.76657912086,+0,+4.33350910387,+6.5002536749,+0,+4.76663345901,+2.16690999314,+4.33321181763,+6.06679783811,+4.33356088803,+3.46677591465,+0,+0
2010-08-16 15:44:00 UTC,+6.07274143701,+0,+5.63873210227,+2.60303372411,+1.73541129919,+4.77136959966,+3.47043683502,+4.76572858606,+0,+4.33273583562,+6.49909377096,+0,+4.76578291997,+2.16652332375,+4.33243861536,+6.06571528711,+4.33278760946,+3.46615730755,+0,+6.06502469746
2010-08-16 15:44:30 UTC,+6.06840243265,+0,+5.63470328281,+2.60117376368,+1.73417127698,+4.76796045046,+3.46795715907,+4.76744545027,+0,+4.33429673188,+6.50143511848,+0,+4.76749979275,+2.16730384305,+4.33399937844,+6.0679004923,+4.33434852653,+3.46740600941,+0,+6.06720958264
2010-08-16 15:45:00 UTC,+6.07288862174,+3.03676519469,+5.63886876512,+2.60309681642,+1.73545336238,+4.77148524249,+3.4705209489,+4.76292501241,+2.59822761009,+4.33018695167,+6.49527043991,+0,+4.76297933237,+2.16524876555,+4.32988994892,+6.06214693054,+4.33023869153,+3.46411822513,+0,+6.0614568635
2010-08-16 15:45:30 UTC,+6.06679144109,+3.03371619871,+5.63320745718,+2.60048319493,+1.73371087977,+4.76669469683,+3.46703650152,+4.77024411253,+2.60222036038,+4.33684115059,+6.50525175163,+0,+4.77029846899,+2.16857616839,+4.33654358007,+6.07146259769,+4.33689297916,+3.46944151969,+0,+6.07077116647
2010-08-16 15:46:00 UTC,+6.06785406482,+3.03424758128,+5.6341941165,+0,+1.73401456166,+4.76752959869,+3.46764377505,+4.76720815014,+2.60056416777,+4.3340809892,+6.50111150403,+0,+4.76726249144,+2.16719596188,+4.33378365416,+6.0675984594,+4.33413278098,+3.46723341737,+0,+6.06690759396
2010-08-16 15:46:30 UTC,+6.06606356785,+3.03335221366,+5.63253161785,+0,+0,+4.76612280792,+3.46662053287,+4.77131992149,+2.6028072408,+4.33781922805,+6.50671886977,+0,+4.77137428334,+2.16906525172,+4.33752157407,+6.07283187506,+4.33787106967,+3.47022397217,+0,+6.07214024335
2010-08-16 15:47:00 UTC,+6.06401249079,+3.03232653862,+5.6306271674,+0,+0,+4.76451127977,+3.46544837305,+4.76847369666,+2.60125455472,+4.33523156756,+6.50283737388,+0,+4.76852804427,+2.16777130351,+4.33493413436,+6.06920923257,+4.33528337468,+3.46815386889,+0,+6.06851813128
2010-08-16 15:47:30 UTC,+6.05613614705,+3.02838784248,+5.62331388496,+0,+0,+4.75832284846,+3.4609471606,+4.76870263342,+2.60137944537,+4.33543970662,+6.50314958289,+0,+4.76875698217,+2.16787538252,+4.33514225568,+6.06950062065,+4.33549151651,+3.46832037812,+5.63610693645,+6.06880947673
2010-08-16 15:48:00 UTC,+6.05411634551,+3.02737780724,+5.62143847435,+0,+0,+4.75673589347,+3.45979287428,+4.76592416818,+2.59986372381,+4.33291365013,+6.49936049309,+5.63196694681,+4.76597850307,+2.16661223911,+4.33261641472,+6.06596422179,+4.33296542634,+3.46629955744,+5.63282303496,+6.06527359572
2010-08-16 15:48:30 UTC,+6.04875026549,+3.02469440994,+5.61645600305,+2.59274965176,+1.72855498219,+4.7525197726,+3.45672623996,+4.77027462488,+2.60223700561,+4.33686889103,+6.50529336236,+5.63710779928,+4.77032898149,+2.16859003987,+4.33657131817,+6.07150143344,+4.33692071998,+3.46946371178,+5.63796489205,+6.07080999659
2010-08-16 15:49:00 UTC,+6.04944243025,+3.0250405384,+5.61709868653,+2.5930463556,+1.72875279251,+4.75306360539,+3.45712180173,+4.77150968429,+2.60291076107,+4.33799175188,+6.50697765586,+5.63856724568,+4.77156404709,+0,+4.33769408322,+6.07307340296,+4.33804359579,+3.47036198957,+5.63942462361,+6.07238173597
2010-08-16 15:49:30 UTC,+6.04691809621,+3.0237782033,+5.61475481138,+2.59196427272,+1.72803137564,+4.75108024,+3.45567918268,+4.76689754307,+2.60039472393,+4.33379859913,+6.50068791835,+5.63311716545,+4.76695188281,+0,+4.33350128818,+6.06720312226,+4.33385038714,+3.46700750805,+5.63397347848,+6.0665123147
2010-08-16 15:50:00 UTC,+6.04605533508,+3.02334676525,+5.6139537271,+2.59159444085,+1.72778481138,+4.75040236991,+3.4551861276,+4.76710049885,+2.60050544132,+4.33398311744,+6.5009646962,+5.63335699448,+4.7671548396,+0,+4.33368579077,+6.06746144206,+4.33403490791,+3.46715512091,+5.63421335434,+6.0667705967
2010-08-16 15:50:30 UTC,+6.04884862148,+3.02474359449,+5.61654732779,+2.59279181312,+1.72858309087,+4.75259705075,+3.45678244894,+4.76732475194,+2.60062777695,+4.33418699836,+6.50127051798,+5.63362199009,+4.76737909382,+0,+4.33388965426,+6.06774686885,+4.33423879155,+3.46731822366,+5.6344784018,+6.06705598165
2010-08-16 15:51:00 UTC,+6.05454590613,+3.02759261616,+5.62183732666,+2.59523401533,+1.73021128952,+4.75707339859,+3.46003836175,+4.76537950436,+2.59956659622,+4.33241846613,+6.49861771609,+5.63132332784,+4.76543383653,+2.16636462454,+4.33212127295,+6.0652709799,+4.33247023574,+3.46590341504,+5.63217929026,+6.0645804553
2010-08-16 15:51:30 UTC,+6.05553752102,+3.02808848963,+5.6227580533,+2.59565908168,+1.7304946782,+4.7578525089,+0,+4.76861502159,+2.60133165095,+4.33536005386,+6.50303010358,+5.6351466774,+4.7686693699,+2.16783555251,+4.33506260972,+6.06938910931,+4.33541186269,+3.46825665669,+5.63600338697,+6.06869798172
2010-08-16 15:52:00 UTC,+6.05713570079,+3.0288876859,+5.62424198293,+2.59634415856,+1.73095141402,+4.75910819631,+0,+4.76648315516,+2.60016866504,+4.33342185612,+6.5001228031,+5.63262749113,+4.76653749283,+2.16686636528,+4.33312457735,+6.06667569404,+4.33347363911,+3.4667061173,+5.6334837084,+6.06598496376
2010-08-16 15:52:30 UTC,+6.06659035358,+0,+5.63302074494,+2.60039699659,+0,+4.76653670267,+0,+4.7645464358,+0,+4.3316610774,+6.49748163148,+5.6303389065,+4.76460076383,+2.16598589564,+4.33136394885,+6.06421065975,+4.33171283692,+3.46529751141,+5.63119467651,+6.06352029043
