# file...... Output/hvac/house_hvac_file_037.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_25B_tm_3_B_25_Meter_64_721:hvac_load,house_3_26B_tm_3_B_26_Meter_64_722:hvac_load,house_3_27B_tm_3_B_27_Meter_64_723:hvac_load,house_3_28B_tm_3_B_28_Meter_64_724:hvac_load,house_3_1A_tm_3_A_1_Meter_65_725:hvac_load,house_3_2A_tm_3_A_2_Meter_65_726:hvac_load,house_3_3A_tm_3_A_3_Meter_65_727:hvac_load,house_3_4A_tm_3_A_4_Meter_65_728:hvac_load,house_3_5A_tm_3_A_5_Meter_65_729:hvac_load,house_3_1B_tm_3_B_1_Meter_65_730:hvac_load,house_3_2B_tm_3_B_2_Meter_65_731:hvac_load,house_3_3B_tm_3_B_3_Meter_65_732:hvac_load,house_3_4B_tm_3_B_4_Meter_65_733:hvac_load,house_3_5B_tm_3_B_5_Meter_65_734:hvac_load,house_3_1C_tm_3_C_1_Meter_65_735:hvac_load,house_3_2C_tm_3_C_2_Meter_65_736:hvac_load,house_3_3C_tm_3_C_3_Meter_65_737:hvac_load,house_3_4C_tm_3_C_4_Meter_65_738:hvac_load,house_3_5C_tm_3_C_5_Meter_65_739:hvac_load,house_3_6C_tm_3_C_6_Meter_65_740:hvac_load
2010-08-16 13:29:00 UTC,+5.11818151802,+1.27987953708,+0,+4.69207042511,+4.65920333504,+0,+4.23545167235,+3.81210591529,+2.96498423718,+5.9700711894,+3.83850546425,+3.83867399972,+1.70618911168,+2.55919624147,+0,+2.11625964944,+3.38584384522,+5.50202712729,+5.07798778605,+4.23241436781
2010-08-16 13:29:30 UTC,+5.12114420239,+1.28062046407,+0,+4.69478654346,+4.65747349904,+0,+4.23387918231,+3.8106905709,+2.96388341371,+5.9735289004,+3.84072872027,+3.84089738163,+1.7071773668,+2.56067855303,+0,+2.12264858716,+3.39606547516,+5.51863740924,+5.09331709327,+4.24519177556
2010-08-16 13:30:00 UTC,+5.11519274491,+1.27913208558,+4.68901042302,+4.68933038911,+4.66213956977,+0,+4.23812082706,+3.8145083299,+2.966852782,+5.96672781809,+3.83635572683,+3.83652414055,+1.70523353614,+2.55776294694,+0,+2.12292454236,+3.39650697454,+5.51935485148,+5.09397920684,+4.24574366578
2010-08-16 13:30:30 UTC,+5.11007889959,+0,+4.68432259922,+4.68464213737,+4.66710199726,+0,+4.24263187201,+3.81856856663,+2.97001074412,+5.96071086192,+3.83248691453,+3.83265510909,+1.70351381797,+2.5551834935,+3.82241668746,+2.12360043064,+3.39758832491,+5.52111205992,+5.09560090076,+4.24709539293
2010-08-16 13:31:00 UTC,+5.11160299675,+0,+4.68571972771,+4.68603939343,+4.66967614713,+0,+4.24497187715,+3.82067472489,+2.97164886735,+5.962919824,+3.83390724397,+0,+1.70414516584,+2.55613046984,+3.82312091822,+2.12399167852,+3.39821428051,+5.52212924592,+5.09653964225,+4.24787786009
2010-08-16 13:31:30 UTC,+5.10943749336,+0,+4.68373462692,+4.68405411139,+4.66634339779,+0,+4.24194227479,+3.81794788383,+2.96952799079,+5.96040537145,+3.83229048878,+0,+1.70342650515,+2.55505253056,+3.8284362109,+2.12694468359,+3.40293877904,+5.52980661753,+5.10362494141,+4.25378365447
2010-08-16 13:32:00 UTC,+5.10537993864,+0,+4.68001509672,+4.6803342415,+0,+0,+4.2459033124,+3.82151307769,+2.97230091959,+5.95574858228,+3.82929624325,+0,+1.70209553887,+2.55305617702,+3.83079432212,+2.12825477407,+3.40503478652,+5.53321265695,+5.10676831024,+4.25640373978
2010-08-16 13:32:30 UTC,+5.10860608534,+1.27748485143,+4.68297248137,+4.68329189622,+0,+0,+0,+3.8216733339,+2.97242556332,+5.95969329038,+3.83183263129,+0,+0,+2.55474726318,+3.83299239924,+2.12947595476,+3.40698854768,+5.53638754424,+5.10969835333,+4.25884601204
2010-08-16 13:33:00 UTC,+5.10536632927,+1.27667463232,+4.6800026211,+4.68032176471,+0,+0,+0,+3.8216296901,+2.97239161813,+5.9558748863,+3.82937745477,+0,+0,+2.55311032317,+3.83585208124,+2.13106470176,+3.40953037644,+5.54051804904,+5.11351031786,+4.26202339013
2010-08-16 13:33:30 UTC,+5.10535978135,+1.27667299482,+4.67999661868,+4.68031576178,+0,+5.94406685175,+0,+3.82186495003,+2.9725745981,+5.9558689111,+3.82937361289,+0,+0,+2.55310776169,+3.83241559436,+2.12915550058,+3.4064758546,+5.53555441131,+5.10892947093,+4.25820512708
