# file...... Output/hvac/house_hvac_file_016.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_12A_tm_2_A_12_Meter_35_301:hvac_load,house_2_13A_tm_2_A_13_Meter_35_302:hvac_load,house_2_14A_tm_2_A_14_Meter_35_303:hvac_load,house_2_15A_tm_2_A_15_Meter_35_304:hvac_load,house_2_1A_tm_2_A_1_Meter_37_305:hvac_load,house_2_2A_tm_2_A_2_Meter_37_306:hvac_load,house_2_3A_tm_2_A_3_Meter_37_307:hvac_load,house_2_4A_tm_2_A_4_Meter_37_308:hvac_load,house_2_5A_tm_2_A_5_Meter_37_309:hvac_load,house_2_6A_tm_2_A_6_Meter_37_310:hvac_load,house_2_7A_tm_2_A_7_Meter_37_311:hvac_load,house_2_8A_tm_2_A_8_Meter_37_312:hvac_load,house_2_9A_tm_2_A_9_Meter_37_313:hvac_load,house_2_10A_tm_2_A_10_Meter_37_314:hvac_load,house_2_11A_tm_2_A_11_Meter_37_315:hvac_load,house_2_12A_tm_2_A_12_Meter_37_316:hvac_load,house_2_13A_tm_2_A_13_Meter_37_317:hvac_load,house_2_14A_tm_2_A_14_Meter_37_318:hvac_load,house_2_15A_tm_2_A_15_Meter_37_319:hvac_load,house_2_1B_tm_2_B_1_Meter_38_320:hvac_load
2010-08-16 00:22:00 UTC,+3.88019377191,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58672549788,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+3.88230132982,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58813050884,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+3.88183756718,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+3.88209644749,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+3.88242399878,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+3.88262834129,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+3.88486702857,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.4521100656,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.45309286442,+0,+0,+0,+0,+0,+0,+0,+0,+4.74767109265,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.45232059814,+0,+0,+0,+0,+0,+0,+0,+0,+4.74660931882,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.45033650767,+0,+0,+0,+0,+0,+0,+0,+0,+4.7438814316,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.44975255113,+0,+0,+4.74270469895,+0,+0,+0,+4.3118132167,+0,+4.74307856117,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74300999163,+0,+0,+0,+4.31209077669,+0,+4.7433838852,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74235484438,+0,+0,+0,+4.3114951428,+0,+4.74272867067,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74355890024,+0,+0,+0,+4.31258982264,+0,+4.7439328502,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74341809298,+0,+0,+0,+4.31246180624,+0,+4.74379202845,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74246084015,+0,+0,+0,+4.31159150995,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74020601254,+0,+0,+0,+4.3095415101,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74239294281,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.74291211794,+0,+0,+0,+0,+0,+0,+2.15633876273,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15722360485,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15511035135,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15571406371,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+3.45005155178,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+3.4508640966,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+3.45078373341,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
