# file...... Output/hvac/house_hvac_file_032.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_10A_tm_0_A_10_Meter_53_621:hvac_load,house_0_11A_tm_0_A_11_Meter_53_622:hvac_load,house_0_12A_tm_0_A_12_Meter_53_623:hvac_load,house_0_13A_tm_0_A_13_Meter_53_624:hvac_load,house_0_14A_tm_0_A_14_Meter_53_625:hvac_load,house_0_15A_tm_0_A_15_Meter_53_626:hvac_load,house_0_1A_tm_0_A_1_Meter_55_627:hvac_load,house_0_2A_tm_0_A_2_Meter_55_628:hvac_load,house_0_3A_tm_0_A_3_Meter_55_629:hvac_load,house_0_4A_tm_0_A_4_Meter_55_630:hvac_load,house_0_5A_tm_0_A_5_Meter_55_631:hvac_load,house_0_6A_tm_0_A_6_Meter_55_632:hvac_load,house_0_7A_tm_0_A_7_Meter_55_633:hvac_load,house_0_8A_tm_0_A_8_Meter_55_634:hvac_load,house_0_1B_tm_0_B_1_Meter_56_635:hvac_load,house_0_2B_tm_0_B_2_Meter_56_636:hvac_load,house_0_3B_tm_0_B_3_Meter_56_637:hvac_load,house_0_4B_tm_0_B_4_Meter_56_638:hvac_load,house_0_5B_tm_0_B_5_Meter_56_639:hvac_load,house_0_6B_tm_0_B_6_Meter_56_640:hvac_load
2010-08-16 15:53:00 UTC,+5.98681333912,+5.13143312138,+2.56603644385,+2.99353899525,+6.84104711465,+0,+0,+4.69695467733,+5.12328286007,+1.70814177034,+2.56219625255,+3.84321499566,+0,+5.12351590342,+3.44996325443,+3.01866460731,+5.60477654289,+3.88070766485,+0,+4.31219353954
2010-08-16 15:53:30 UTC,+5.98841047179,+5.13280205357,+2.56672101925,+2.99433760635,+6.84287205925,+2.99430896552,+0,+4.69839112833,+5.12484963719,+1.7086641784,+2.56297986138,+3.84439037668,+0,+5.12508275864,+3.45011517121,+3.01879753151,+5.6050233274,+3.88087854351,+0,+4.31238342097
2010-08-16 15:54:00 UTC,+5.98966480357,+5.13387716469,+2.56725866073,+2.99496480742,+6.8443053063,+2.99493615744,+0,+4.69946430939,+5.12602018554,+1.70905447259,+2.56356530022,+3.84526851085,+0,+5.12625336539,+3.44937007257,+3.01814558485,+5.60381293555,+3.88004044343,+0,+4.31145211899
2010-08-16 15:54:30 UTC,+5.98965838075,+5.13387165957,+2.56725590773,+2.99496159583,+6.84429796734,+2.99493294589,+3.84481368291,+4.699255639,+5.12579258294,+1.70897858341,+2.56345146691,+3.84509776558,+0,+5.12602575144,+3.44490153365,+3.01423570115,+5.59655391834,+3.87501415171,+0,+4.30586687289
2010-08-16 15:55:00 UTC,+5.99377439471,+5.13739957186,+2.56902014561,+2.99701971819,+6.84900108153,+2.99699103824,+3.84766240202,+4.70273746501,+5.1295903075,+1.71024485283,+2.56535086312,+3.84794678179,+0,+5.12982366539,+3.44527782775,+3.01456495108,+5.59716519757,+3.87543741395,+0,+4.30633720449
2010-08-16 15:55:30 UTC,+5.99330144748,+5.13699419998,+2.56881742729,+2.99678323132,+6.84846067406,+2.99675455482,+3.84742419485,+4.70244631805,+5.12927274543,+1.71013896859,+0,+3.84770854977,+0,+5.12950608747,+3.4453478272,+3.01462619923,+5.5972789097,+3.87551615056,+0,+4.3064246971
2010-08-16 15:56:00 UTC,+5.98974259513,+5.13394384128,+2.56729200437,+2.99500370539,+6.84439419385,+2.99497505484,+3.84513975895,+4.69965418306,+5.126227286,+1.7091235258,+0,+3.84542387566,+0,+5.12646047619,+3.44689527586,+3.01598018637,+5.59979269692,+0,+5.16965703807,+4.30835885985
2010-08-16 15:56:30 UTC,+5.98764963712,+5.13214992798,+2.56639490439,+2.99395716769,+6.84200270057,+2.99392853241,+3.84355779117,+4.69772063453,+5.12411831092,+1.70842033343,+0,+3.84384174281,+5.97824213858,+5.12435139591,+3.4469929692,+3.01606566613,+5.59995139698,+0,+5.16980355314,+4.30848096717
2010-08-16 15:57:00 UTC,+5.98906039393,+5.13335911393,+2.56699959396,+2.99466258565,+6.84361468491,+2.99463394008,+3.84446424541,+4.69882854159,+5.12532673593,+1.70882325674,+0,+3.84474829162,+5.97965199707,+5.12555988119,+3.44731249744,+3.01634524705,+5.60047046173,+0,+5.17028276399,+4.3088803469
2010-08-16 15:57:30 UTC,+5.98750528826,+5.13202620389,+2.56633303245,+2.99388498921,+6.84183776211,+2.99385635498,+3.84323687577,+4.69732839803,+5.12369048768,+1.70827768497,+2.56240012364,+3.84352079391,+5.9777430011,+5.12392355134,+3.44549071126,+3.01475121997,+5.59751102084,+0,+5.16755054954,+4.3066032885
2010-08-16 15:58:00 UTC,+5.9858555913,+5.13061221787,+2.56562592652,+2.99306009448,+6.83995275561,+2.9930314723,+3.84213642089,+4.69598337513,+5.12222343377,+0,+2.5616663904,+3.84242022423,+5.97603140263,+5.12245642429,+3.44668949142,+3.01580012904,+5.59945840582,+0,+5.16934841392,+4.308101649
2010-08-16 15:58:30 UTC,+5.98473562588,+5.12965227463,+2.56514587823,+2.99250008037,+6.8386730405,+2.99247146636,+3.84139641252,+4.6950789053,+5.12123690336,+0,+2.56117298648,+3.84168013865,+5.97488042657,+5.12146984471,+3.44772039966,+3.01670215348,+5.60113308752,+0,+5.17089451323,+4.30939018564
2010-08-16 15:59:00 UTC,+5.98361817901,+5.12869449011,+2.56466690942,+2.99194132559,+6.8373962034,+2.99191271974,+3.84066101352,+4.69418006925,+5.12025651799,+0,+2.56068265584,+3.84094466286,+5.97373661985,+5.12048941043,+3.44622834416,+3.01539663425,+5.59870928491,+0,+5.16865681068,+4.30752525904
2010-08-16 15:59:30 UTC,+5.98323024156,+5.12836198168,+2.56450062865,+2.99174734599,+6.8369529313,+2.99171874296,+3.84040898327,+4.69387202712,+5.11992052787,+0,+2.56051461354,+3.84069260632,+5.97334462324,+5.12015340357,+3.44577914639,+3.01500359504,+5.59797957571,+3.87600130602,+5.16798312866,+4.30696380482
2010-08-16 16:00:00 UTC,+5.98386814946,+5.12890874443,+2.56477405372,+2.99206631784,+6.83768182904,+2.99203771016,+3.84072652963,+4.69426014584,+5.12034385969,+1.70716182391,+2.56072633902,+3.84101018583,+5.97383852062,+5.12057675651,+3.44429583377,+3.01370572567,+5.59556997582,+3.87433284978,+5.16575853826,+4.305109806
2010-08-16 16:00:30 UTC,+5.98600297944,+5.130738547,+0,+2.99313379268,+6.84012116693,+2.99310516942,+3.84208475757,+4.69592023001,+5.12215455965,+1.70776556283,+2.56163194364,+3.84236855551,+5.97595104782,+5.12238754674,+0,+3.01404897353,+5.59620724335,+3.87477410685,+5.16634687629,+4.30560013358
2010-08-16 16:01:00 UTC,+5.98943159833,+5.13367728015,+0,+2.99484819825,+6.84403883724,+2.99481954997,+3.84443792713,+4.69879637426,+5.12529165018,+1.70881155813,+2.56320093004,+3.84472197058,+5.97961106284,+5.12552479368,+0,+3.01155329762,+5.59157381846,+3.87156582863,+5.16206920649,+4.30203507511
2010-08-16 16:01:30 UTC,+5.99072211385,+5.13478340504,+0,+2.9954934922,+6.84548624749,+2.99545758192,+3.84529158006,+4.69983974529,+5.12642968392,+1.70919101101,+2.56377010698,+3.84557571258,+5.98093879647,+5.12664242771,+0,+3.01090318923,+5.59036683955,+3.8707300917,+5.16095489957,+4.30110639909
2010-08-16 16:02:00 UTC,+5.98947342786,+5.13371313301,+0,+2.9948691142,+6.84405946294,+2.99483321612,+3.84448996595,+4.69885997832,+5.12536102483,+1.70883468965,+2.56323562718,+3.84477401485,+5.97969200162,+5.12557372407,+0,+3.01286494254,+5.59400899362,+3.87325199379,+5.16431740856,+0
2010-08-16 16:02:30 UTC,+5.99023789647,+5.1343683733,+0,+2.99525136994,+6.84493296675,+2.9952154644,+3.84502886523,+4.69951864402,+5.12607944981,+1.709074233,+2.5635949407,+3.84531297035,+5.98053018152,+5.126292179,+0,+3.01335589097,+5.59492047928,+3.87388312509,+5.16515891019,+0
2010-08-16 16:03:00 UTC,+5.98759193488,+5.13210047032,+2.56637017161,+2.99392831495,+6.84190961504,+2.99389243526,+3.84330002498,+4.6974055817,+5.12377467403,+1.7083057551,+2.56244222867,+3.84357751005,+5.97784122054,+5.12398730712,+3.44309846673,+3.0126633561,+5.59363473207,+3.87299284741,+5.16397188285,+0
2010-08-16 16:03:30 UTC,+5.98595600262,+5.13069828228,+2.56566896562,+2.99311030297,+6.84004035175,+2.99307443926,+3.84224804136,+4.69611980242,+5.12237223877,+1.70783814328,+2.56174081386,+3.84252542031,+5.97620501208,+5.12258481344,+3.44423399701,+3.01365692628,+5.59547937578,+3.87427011646,+5.16567489452,+0
2010-08-16 16:04:00 UTC,+5.98515866865,+5.13001487248,+2.56532720609,+2.99271161361,+6.83912929516,+2.99267575769,+3.84173853157,+4.69549705781,+5.12169299398,+1.70761166369,+2.56140109588,+3.84201585907,+5.97541254334,+5.12190554032,+3.44365579357,+3.01315100785,+5.59454009711,+3.8736197407,+5.16480773383,+0
2010-08-16 16:04:30 UTC,+0,+5.12984382827,+2.56524167033,+2.99261182941,+6.83890127533,+2.99257597544,+3.8415796823,+4.69530290546,+5.1214812266,+1.70754105442,+2.56129518243,+0,+5.97516547627,+5.12169376413,+3.44316604455,+3.01272248557,+5.59374451071,+3.8730688604,+5.16407323268,+0
2010-08-16 16:05:00 UTC,+0,+5.12813450493,+2.56438687208,+2.99161464001,+6.83662256878,+2.99157880554,+3.84026017787,+4.69369015081,+5.11972215038,+1.70695452826,+2.56041539685,+0,+5.97311317801,+5.11993461459,+3.44348255965,+0,+5.59425868244,+3.87342488343,+5.16454792623,+0
2010-08-16 16:05:30 UTC,+0,+5.12817172044,+2.56440548281,+2.99163635089,+6.83667218093,+2.991600516,+3.84039105329,+4.69385011234,+5.11989662484,+1.70701270302,+0,+0,+5.97331673578,+5.12010909632,+3.44486353221,+0,+5.59650204169,+3.87497823127,+5.16661903999,+0
2010-08-16 16:06:00 UTC,+0,+5.1272557222,+2.56394741054,+2.99110197353,+6.83545105952,+2.99106614909,+3.83965418021,+4.69294947459,+5.11891427419,+1.70668515936,+0,+0,+5.97217063621,+5.11912670477,+3.44416922704,+0,+5.59537415839,+3.87419726179,+5.16557775574,+4.30495913981
2010-08-16 16:06:30 UTC,+0,+5.13126635694,+2.5659530483,+2.99344170778,+6.84079765471,+2.99340583759,+3.84273930759,+4.69670829671,+5.12302716257,+1.7080565135,+0,+0,+5.97696910572,+5.12323976451,+3.44255500809,+0,+5.59275189567,+3.8723815534,+5.16315683073,+4.30293194498
2010-08-16 16:07:00 UTC,+0,+5.13173547164,+2.56618764316,+0,+6.84142303352,+2.99367950559,+3.84303347184,+4.69706783494,+5.12341932287,+1.70818727096,+0,+0,+5.97742663559,+5.12363194119,+3.4409478083,+0,+5.5901410355,+3.87057374032,+5.16074643275,+4.30092310097
2010-08-16 16:07:30 UTC,+0,+5.13104345863,+2.56584158133,+0,+6.84050050798,+2.99327580515,+3.84232599382,+4.69620312962,+5.12247615993,+1.70787000767,+2.561792789,+0,+5.97632625594,+5.1226887389,+3.44233895634,+0,+5.59240092436,+3.87213853369,+5.16283280707,+4.30266190121
2010-08-16 16:08:00 UTC,+0,+5.13190219062,+2.56627101592,+0,+6.84164528749,+2.9937767646,+3.84292650284,+4.69693709354,+5.12327671895,+1.70813693596,+2.5621931811,+0,+5.97726026087,+5.12348933129,+3.44323242376,+3.01278056628,+5.5938523423,+3.87314352519,+5.16417278492,+4.30377864893
2010-08-16 16:08:30 UTC,+0,+5.13030508206,+2.56547233406,+0,+6.83951617487,+2.99284505758,+3.84152534103,+4.69523890014,+5.12142444255,+1.70751933631,+2.56126678239,+3.84181439505,+5.97509922683,+5.12163697769,+3.44463739926,+3.01400989657,+5.59613469374,+3.87472387204,+5.16626333866,+4.30553473219
2010-08-16 16:09:00 UTC,+5.98654295721,+0,+2.56592712982,+0,+6.84072856155,+0,+3.84217511523,+4.69603308273,+5.12229068403,+1.70780816497,+2.56170002501,+3.84246423892,+5.9761098629,+5.12250325529,+3.4431505355,+3.0127089154,+5.59371931664,+3.8730514155,+5.16403342898,+4.30367629653
2010-08-16 16:09:30 UTC,+5.98346634093,+0,+2.56460839964,+2.99187306933,+6.83721311309,+0,+3.84025422591,+4.69368528733,+5.11972986503,+1.70695431779,+2.56041925529,+3.84054314365,+5.97312217863,+5.11994232957,+3.44431809578,+3.01373051132,+5.59561599244,+3.87436471261,+5.16578446638,+4.30513563379
2010-08-16 16:10:00 UTC,+5.98678960717,+0,+2.56602940434,+2.99353480436,+6.8410103924,+0,+3.8424720632,+4.6963960256,+5.122686558,+1.70794016016,+2.56189801765,+3.84276121871,+5.97657172546,+5.12289914575,+3.44339737966,+3.01292489995,+5.59412030947,+3.87332907114,+5.16440363113,+4.30398482781
2010-08-16 16:10:30 UTC,+5.98239767265,+0,+2.56414689446,+2.99133870243,+6.83599201559,+0,+3.83953638338,+4.69280790862,+5.11875393232,+1.70663523236,+2.55994062753,+3.83982522416,+5.97200567134,+5.11898530335,+3.44510610834,+3.01442000926,+5.59689610132,+3.87525108619,+5.16696628067,+4.30612057315
2010-08-16 16:11:00 UTC,+5.97944814729,+0,+2.5628826427,+2.98986384927,+6.83262178577,+0,+3.83754184109,+4.69037009128,+5.11609494371,+1.70574864595,+2.55861074898,+3.83783046794,+5.96890342985,+5.11632618372,+3.44848633093,+3.01737764804,+5.60238719817,+3.87905323384,+5.17203573735,+4.31034552399
2010-08-16 16:11:30 UTC,+5.98043850503,+0,+2.56330713864,+2.99035905852,+6.83375340278,+0,+3.83819233774,+4.69116515691,+5.11696214174,+1.70603779575,+2.55904447334,+3.83848103438,+5.96991518962,+5.11719342448,+3.4485118544,+3.01739421935,+5.60242866045,+3.87908194318,+5.17207401591,+4.31037742585
2010-08-16 16:12:00 UTC,+5.98339431119,+0,+2.56457408248,+2.99183705225,+6.83713080941,+0,+3.84022468782,+4.69364918458,+5.11967153323,+1.70694118793,+2.56039956052,+3.84051360239,+5.97307623612,+5.11990294946,+3.44839392705,+3.01729103527,+5.60223709008,+3.87893828101,+5.17189715549,+4.31023002808
2010-08-16 16:12:30 UTC,+5.98465731918,+0,+2.56511544417,+2.99246859498,+6.83857396614,+2.99243274381,+3.84127669394,+4.69493499273,+5.12107399653,+0,+2.56110099478,+3.84156572132,+5.97471248978,+5.12130548188,+3.44796768068,+3.01691807819,+5.60154466226,+3.87845883259,+5.17125789654,+4.3096972614
2010-08-16 16:13:00 UTC,+5.98328351623,+0,+2.56452659259,+2.99178165138,+6.83700421119,+2.99174581365,+3.84036902914,+4.69382560489,+5.11986395925,+0,+2.56049580137,+3.84065795921,+5.97330073954,+5.12009538499,+3.4482158346,+3.01713520793,+5.60194778286,+0,+5.17163006305,+4.31000742978
2010-08-16 16:13:30 UTC,+5.98694295604,+0,+2.5660951341,+2.9936114835,+6.84118561409,+2.99357561,+3.84283145611,+4.69683529142,+5.12314670013,+0,+2.56213764601,+3.84312065016,+5.97713071264,+5.12337828764,+3.45009393344,+3.018778507,+5.60499871313,+0,+5.17444672404,+4.31235487146
2010-08-16 16:14:00 UTC,+5.99072598075,+0,+2.56771664762,+2.99550311183,+6.84550822959,+2.99546720137,+0,+4.70013543964,+5.12674625504,+0,+2.56393794329,+3.84582101276,+5.98133031256,+5.12697801994,+3.44829455575,+3.01720408736,+5.6020756636,+0,+5.17174812433,+4.31010582358
2010-08-16 16:14:30 UTC,+5.99312224134,+5.13685378482,+2.568743754,+2.99670131557,+6.84824628029,+2.99666538171,+0,+4.70209318494,+5.12888161729,+1.71001210526,+2.56500593273,+3.8474229475,+5.98382163921,+5.12911348744,+3.4496210375,+3.01836473247,+5.60420583988,+0,+0,+4.31176379733
2010-08-16 16:15:00 UTC,+5.99813172865,+5.14114753226,+2.57089096464,+2.99920621274,+6.85397029502,+2.99917022999,+0,+4.70616437756,+5.13332217008,+1.71149271808,+2.56722685009,+3.85075422082,+5.9890024311,+5.1335542591,+3.44761491731,+3.01660941726,+5.60094697049,+0,+0,+4.30925634135
2010-08-16 16:15:30 UTC,+6.00037034317,+5.14305290509,+2.57185049932,+3.00032558859,+6.85652821402,+3.000289584,+0,+4.70795693937,+5.13527736263,+1.7121446376,+0,+3.85222099328,+5.99128355377,+5.13550954805,+0,+3.01573524849,+5.5993240132,+0,+0,+4.30800759715
2010-08-16 16:16:00 UTC,+5.99875785114,+5.14167080821,+2.57115933878,+2.99951929317,+6.85468572439,+2.99948330431,+0,+4.70658654622,+5.13378264011,+1.71164625253,+0,+3.8510996624,+5.98951755469,+5.13401475184,+0,+3.01499059122,+5.5979415033,+0,+0,+4.30694385926
2010-08-16 16:16:30 UTC,+5.99505868677,+5.13850018568,+2.56957377036,+2.99766959765,+6.85045893018,+2.99763364488,+0,+4.70353233059,+5.13045132976,+1.7105354943,+0,+3.84860053552,+5.98563094502,+5.13068327731,+0,+3.01596569932,+5.59975186178,+3.87803911942,+0,+4.30833679461
2010-08-16 16:17:00 UTC,+5.99577886517,+5.13911746398,+2.56988245955,+2.9980297089,+6.85128183121,+2.99799374911,+0,+4.70415351864,+5.13112887537,+1.71076140818,+0,+3.84910882566,+5.98642143134,+5.13136085628,+0,+3.01412469992,+5.59633391386,+3.87486785427,+0,+4.30570693939
2010-08-16 16:17:30 UTC,+5.9942521486,+5.13780888684,+2.56922806482,+2.99726010079,+6.84953735168,+2.99723035894,+3.84760337858,+4.70266774478,+5.12950830424,+1.71022106139,+2.56531583053,+3.8478930839,+5.98453072566,+5.12974020527,+0,+3.016688836,+5.60109441711,+3.87816413432,+0,+4.30936979048
2010-08-16 16:18:00 UTC,+5.98920168761,+5.13348004289,+0,+2.99473472616,+6.84376651931,+2.99470502295,+3.84406543918,+4.69834351978,+5.12479176288,+1.7086484256,+2.56295688547,+3.84435476547,+5.97902797946,+5.12502343143,+3.44629654621,+3.01545586881,+5.59880532469,+3.87657911501,+5.16875162847,+4.30760850516
2010-08-16 16:18:30 UTC,+5.98827866323,+5.13268890155,+0,+2.99427318762,+6.84271183959,+2.99424349148,+3.84346706722,+4.69761216326,+5.12399405388,+1.70838244558,+2.56255791689,+3.84375632938,+5.97809729958,+5.12422568312,+3.44796483548,+3.01691558869,+5.60151539989,+3.87845563228,+5.1712536295,+4.30969370518
2010-08-16 16:19:00 UTC,+5.98980168059,+5.13399430802,+0,+2.99503473978,+6.8444520921,+2.99500503198,+3.84458810414,+4.69898234386,+5.12548854438,+1.7088807534,+2.56330537589,+3.84487748644,+5.97984090815,+5.12572024729,+3.44942379168,+3.01819214631,+5.60388542118,+3.88009668852,+5.17344168526,+4.31151725915
2010-08-16 16:19:30 UTC,+5.99118018781,+5.13517585218,+0,+2.99572403273,+6.84602722245,+2.99569431438,+3.84556964421,+4.70018202527,+5.12679706722,+1.70931705398,+2.56395982438,+3.84585913167,+5.98136754992,+5.12702883461,+3.44903213505,+3.01784945456,+5.60324918915,+3.87965614713,+5.1728543019,+4.31102772628
2010-08-16 16:20:00 UTC,+5.9876523154,+5.13215204719,+2.56639918599,+2.99395999584,+6.84199615274,+2.9939303045,+3.84320131615,+4.69728735062,+5.1236397725,+1.7082643176,+2.56238072557,+3.84349054984,+5.9776839627,+5.1238713843,+3.44887294546,+3.01771016684,+5.60299059144,+3.87947708824,+5.17261555881,+4.3108287547
2010-08-16 16:20:30 UTC,+5.98988495318,+5.1340656825,+2.56735615895,+2.99507637845,+6.84454724225,+2.99504667002,+3.84477649536,+4.6992126039,+5.12573969481,+1.70896449446,+2.56343098702,+3.84506589786,+5.98013392308,+5.1259714101,+3.4482601016,+3.01717394067,+5.60199504896,+3.87878775213,+5.17169645207,+4.31006275924
