# file...... Output/hvac/house_hvac_file_061.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_5B_tm_3_B_5_Meter_106_1201:hvac_load,house_3_6B_tm_3_B_6_Meter_106_1202:hvac_load,house_3_7B_tm_3_B_7_Meter_106_1203:hvac_load,house_3_8B_tm_3_B_8_Meter_106_1204:hvac_load,house_3_9B_tm_3_B_9_Meter_106_1205:hvac_load,house_3_10B_tm_3_B_10_Meter_106_1206:hvac_load,house_3_11B_tm_3_B_11_Meter_106_1207:hvac_load,house_3_12B_tm_3_B_12_Meter_106_1208:hvac_load,house_3_13B_tm_3_B_13_Meter_106_1209:hvac_load,house_3_14B_tm_3_B_14_Meter_106_1210:hvac_load,house_3_15B_tm_3_B_15_Meter_106_1211:hvac_load,house_3_1B_tm_3_B_1_Meter_107_1212:hvac_load,house_3_2B_tm_3_B_2_Meter_107_1213:hvac_load,house_3_3B_tm_3_B_3_Meter_107_1214:hvac_load,house_3_4B_tm_3_B_4_Meter_107_1215:hvac_load,house_3_5B_tm_3_B_5_Meter_107_1216:hvac_load,house_3_6B_tm_3_B_6_Meter_107_1217:hvac_load,house_3_7B_tm_3_B_7_Meter_107_1218:hvac_load,house_3_8B_tm_3_B_8_Meter_107_1219:hvac_load,house_3_9B_tm_3_B_9_Meter_107_1220:hvac_load
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+5.65261368079,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47749744396
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+5.65301995553,+0,+0,+2.17448744607,+0,+0,+0,+0,+0,+2.60884410454,+0,+0,+0,+3.47777093408
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+5.64938384721,+0,+0,+2.17308873767,+0,+0,+0,+0,+0,+2.60710541447,+0,+0,+0,+3.47574167277
2010-08-16 00:23:00 UTC,+4.34214896748,+0,+0,+0,+0,+0,+5.64479934862,+0,+0,+2.17132521019,+0,+0,+0,+0,+0,+2.6050253523,+0,+0,+0,+3.47296867149
2010-08-16 00:23:30 UTC,+4.34558333412,+0,+0,+0,+0,+0,+5.64926402439,+0,+0,+2.17304264523,+0,+0,+0,+0,+0,+2.6070854943,+0,+0,+0,+3.47571511647
2010-08-16 00:24:00 UTC,+4.3443436855,+0,+0,+0,+0,+0,+5.64765248149,+0,+0,+0,+0,+0,+2.60597440085,+0,+0,+2.60603293315,+0,+0,+0,+3.47431191162
2010-08-16 00:24:30 UTC,+4.34428309134,+0,+0,+0,+0,+0,+5.6475737091,+0,+0,+0,+0,+0,+2.60620990022,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+4.34341352757,+0,+0,+0,+0,+0,+5.64644327642,+0,+0,+0,+0,+0,+2.60568831143,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+4.34251237478,+0,+0,+0,+0,+0,+5.64527177801,+0,+0,+0,+0,+0,+2.60514777469,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+4.33785186895,+0,+0,+0,+0,+0,+5.63921312162,+0,+0,+0,+0,+0,+2.60235227305,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04097910174,+0,+0,+0,+0,+0
