# file...... Output/hvac/house_hvac_file_027.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_7A_tm_2_A_7_Meter_49_521:hvac_load,house_2_8A_tm_2_A_8_Meter_49_522:hvac_load,house_2_9A_tm_2_A_9_Meter_49_523:hvac_load,house_2_10A_tm_2_A_10_Meter_49_524:hvac_load,house_2_11A_tm_2_A_11_Meter_49_525:hvac_load,house_2_12A_tm_2_A_12_Meter_49_526:hvac_load,house_2_13A_tm_2_A_13_Meter_49_527:hvac_load,house_2_14A_tm_2_A_14_Meter_49_528:hvac_load,house_2_15A_tm_2_A_15_Meter_49_529:hvac_load,house_2_1B_tm_2_B_1_Meter_49_530:hvac_load,house_2_2B_tm_2_B_2_Meter_49_531:hvac_load,house_2_3B_tm_2_B_3_Meter_49_532:hvac_load,house_2_4B_tm_2_B_4_Meter_49_533:hvac_load,house_2_5B_tm_2_B_5_Meter_49_534:hvac_load,house_2_6B_tm_2_B_6_Meter_49_535:hvac_load,house_2_7B_tm_2_B_7_Meter_49_536:hvac_load,house_2_8B_tm_2_B_8_Meter_49_537:hvac_load,house_2_9B_tm_2_B_9_Meter_49_538:hvac_load,house_2_10B_tm_2_B_10_Meter_49_539:hvac_load,house_2_11B_tm_2_B_11_Meter_49_540:hvac_load
2010-08-16 17:53:30 UTC,+3.84403621475,+2.98998243728,+0,+0,+2.13574702662,+0,+3.84403345169,+4.27121130674,+4.27143116867,+0,+0,+0,+6.45326126159,+1.7212997436,+4.30288876486,+5.16311122808,+5.5931774308,+3.44245623524,+4.73244490226,+3.01204818032
2010-08-16 17:54:00 UTC,+3.84205642298,+2.98844247458,+0,+0,+2.13464702889,+0,+3.84205366343,+4.26901149827,+4.26923119835,+6.44998386449,+0,+0,+6.45035501879,+1.72052449517,+4.30095086638,+5.16078596811,+5.59065846559,+3.44090582058,+4.73031366126,+3.01069163678
2010-08-16 17:54:30 UTC,+3.84008950811,+2.98691252804,+0,+2.56021480464,+2.13355418575,+0,+3.84008675203,+4.26682599773,+4.26704553698,+6.44956834326,+0,+0,+6.44993946843,+1.72041364594,+0,+5.16045348982,+5.59029829027,+3.44068413387,+4.73000892486,+3.01049767082
2010-08-16 17:55:00 UTC,+3.8415346089,+2.98803658633,+0,+2.56117828058,+2.1343571023,+0,+3.84153185027,+4.26843169435,+4.26865135177,+6.44813437684,+0,+0,+6.4485054015,+0,+0,+5.15930610514,+5.58905532297,+3.43991909163,+4.72895727763,+3.00982829307
2010-08-16 17:55:30 UTC,+3.8443090453,+0,+0,+2.56302804962,+2.13589861477,+0,+3.84430628176,+4.27151445728,+4.27173434152,+6.45088302871,+0,+0,+6.451254246,+0,+0,+5.16150543208,+5.59143786436,+3.4413855379,+4.73097309339,+3.011111368
2010-08-16 17:56:00 UTC,+3.84340738134,+0,+0,+2.56242689326,+2.1353976387,+0,+3.8434046194,+4.2705125903,+4.27073240082,+6.45032991035,+0,+0,+6.4507010889,+0,+0,+5.16106285585,+5.5909584194,+3.44109044116,+4.73056744557,+3.01085317153
2010-08-16 17:56:30 UTC,+3.84147685474,+0,+0,+2.5611397748,+2.13432501335,+0,+3.84147409621,+4.2683675219,+4.26858717461,+6.44420688588,+5.15596765079,+3.43766063177,+6.44457763525,+0,+0,+5.15616353299,+5.58565095947,+3.4378237172,+4.72607692084,+3.00799493415
2010-08-16 17:57:00 UTC,+3.84039144549,+0,+2.98709135721,+2.56041611199,+2.13372194604,+0,+3.84038868888,+0,+4.26738105373,+6.44550542646,+5.15700663377,+3.43835337945,+6.44587626684,+1.71932977542,+0,+5.15720255701,+5.58677653919,+3.43851650779,+4.72702924898,+3.00860109493
2010-08-16 17:57:30 UTC,+3.8410422056,+0,+2.98759752824,+2.56084998602,+2.1340835167,+2.9877680908,+0,+0,+4.26810418682,+6.44441734546,+5.15613604286,+3.43777290812,+6.44478810958,+1.7190395064,+0,+5.15633193171,+5.58583338661,+3.43793600051,+4.72623126841,+3.00809317703
2010-08-16 17:58:00 UTC,+3.84345950149,+0,+2.98947773745,+2.56246164277,+0,+2.989648456,+0,+0,+0,+6.45181888448,+5.16205813193,+3.44172149387,+6.45219016737,+1.7210140262,+0,+5.16225425476,+0,+3.44188483075,+4.73165943453,+3.01154822692
