# file...... Output/hvac/house_hvac_file_050.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13A_tm_3_A_13_Meter_82_981:hvac_load,house_3_14A_tm_3_A_14_Meter_82_982:hvac_load,house_3_15A_tm_3_A_15_Meter_82_983:hvac_load,house_3_1C_tm_3_C_1_Meter_83_984:hvac_load,house_3_2C_tm_3_C_2_Meter_83_985:hvac_load,house_3_3C_tm_3_C_3_Meter_83_986:hvac_load,house_3_4C_tm_3_C_4_Meter_83_987:hvac_load,house_3_5C_tm_3_C_5_Meter_83_988:hvac_load,house_3_6C_tm_3_C_6_Meter_83_989:hvac_load,house_3_7C_tm_3_C_7_Meter_83_990:hvac_load,house_3_8C_tm_3_C_8_Meter_83_991:hvac_load,house_3_1C_tm_3_C_1_Meter_84_992:hvac_load,house_3_2C_tm_3_C_2_Meter_84_993:hvac_load,house_3_3C_tm_3_C_3_Meter_84_994:hvac_load,house_3_4C_tm_3_C_4_Meter_84_995:hvac_load,house_3_5C_tm_3_C_5_Meter_84_996:hvac_load,house_3_6C_tm_3_C_6_Meter_84_997:hvac_load,house_3_7C_tm_3_C_7_Meter_84_998:hvac_load,house_3_8C_tm_3_C_8_Meter_84_999:hvac_load,house_3_1C_tm_3_C_1_Meter_85_1000:hvac_load
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+4.34313327469,+0,+3.0402826507,+1.73742309946,+0,+0,+2.60495500832,+0,+0,+0,+0,+3.90739170151,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+4.34739917633,+0,+3.04326887963,+0,+0,+0,+2.60746074987,+0,+0,+0,+0,+3.91115027586,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+4.35116561093,+0,+3.04590547018,+0,+0,+0,+2.60971902963,+0,+0,+0,+0,+3.91453766128,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+4.34846193234,+0,+3.04401283319,+0,+0,+0,+2.60787368599,+0,+0,+0,+0,+3.9117696738,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+4.34440926456,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.90820807473,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+2.17419433401,+4.34793439904,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.9113925457,+3.91149913554,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+2.60976188333,+2.17483628564,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91216001658,+3.91226663319,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+2.60978215263,+2.17485317708,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91220432053,+3.91231093867,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+2.61139776944,+2.17619955264,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91462509646,+3.91473179903,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+2.6083622988,+2.17366994075,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.9100534086,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+2.60984152038,+2.17490265124,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.91260691707,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+2.60925135462,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60687601567
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4.34667327991,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60654333146
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+4.35089003913,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60952595169
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4.35065141577,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60895855068
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+4.35078007253,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60902958387
2010-08-16 00:47:00 UTC,+0,+1.73973704733,+0,+0,+0,+0,+0,+4.35342024812,+0,+0,+0,+0,+0,+0,+5.65679962495,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+1.73993252939,+0,+6.08606509525,+0,+0,+0,+4.34742375076,+0,+0,+0,+0,+0,+0,+5.64902455652,+3.04210420863,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+1.74055915996,+0,+6.08351548905,+0,+0,+0,+4.34560249053,+0,+0,+0,+0,+0,+0,+5.64666946524,+3.0408359157,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+1.73749674469,+0,+6.08475133287,+0,+0,+0,+0,+0,+1.73872640998,+2.60792100171,+0,+0,+0,+5.64783315891,+3.04146260243,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+6.07922460169,+0,+0,+0,+0,+0,+1.73714709791,+2.60555222756,+0,+0,+0,+5.64267731593,+3.03868601394,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+5.64998712356,+0,+0,+6.0795620697,+0,+0,+0,+0,+0,+1.73724353236,+2.60569686739,+0,+0,+0,+5.64252698781,+3.03860505737,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+5.64241854576,+0,+0,+6.08760302426,+0,+0,+0,+0,+0,+1.73954130589,+2.60914324551,+0,+0,+0,+5.65084657007,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+5.64440209501,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.65160642677,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+5.65242886102,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+5.64318520228,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+5.64620688716,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
