# file...... Output/hvac/house_hvac_file_049.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_8B_tm_3_B_8_Meter_80_961:hvac_load,house_3_9B_tm_3_B_9_Meter_80_962:hvac_load,house_3_10B_tm_3_B_10_Meter_80_963:hvac_load,house_3_11B_tm_3_B_11_Meter_80_964:hvac_load,house_3_12B_tm_3_B_12_Meter_80_965:hvac_load,house_3_13B_tm_3_B_13_Meter_80_966:hvac_load,house_3_14B_tm_3_B_14_Meter_80_967:hvac_load,house_3_15B_tm_3_B_15_Meter_80_968:hvac_load,house_3_1A_tm_3_A_1_Meter_82_969:hvac_load,house_3_2A_tm_3_A_2_Meter_82_970:hvac_load,house_3_3A_tm_3_A_3_Meter_82_971:hvac_load,house_3_4A_tm_3_A_4_Meter_82_972:hvac_load,house_3_5A_tm_3_A_5_Meter_82_973:hvac_load,house_3_6A_tm_3_A_6_Meter_82_974:hvac_load,house_3_7A_tm_3_A_7_Meter_82_975:hvac_load,house_3_8A_tm_3_A_8_Meter_82_976:hvac_load,house_3_9A_tm_3_A_9_Meter_82_977:hvac_load,house_3_10A_tm_3_A_10_Meter_82_978:hvac_load,house_3_11A_tm_3_A_11_Meter_82_979:hvac_load,house_3_12A_tm_3_A_12_Meter_82_980:hvac_load
2010-08-16 00:18:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.48084719528,+0,+0,+0,+0,+0,+0,+0,+2.6135766161,+0,+2.61359435713,+0,+0
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.4786743345,+0,+0,+0,+0,+0,+0,+0,+2.61445818932,+0,+2.6144759398,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+2.6133353647,+0,+0,+0,+0,+0,+0,+2.61304541773,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+2.61433799436,+0,+0,+0,+0,+0,+0,+2.614313264,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+4.34419766325,+0,+0,+0,+2.61558291553,+0,+0,+0,+0,+0,+0,+2.61555816713,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+4.34573693207,+0,+0,+0,+2.61492491508,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+4.34712193564,+0,+0,+0,+2.61417314487,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+4.34740399665,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+4.34431183724,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+4.34118777925,+0,+0,+0,+0,+0,+0,+0,+0,+1.30686800815,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.65824307375,+0,+1.30604138391,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.65941002601,+0,+1.30631075658,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.66199050159,+0,+1.3069064189,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.66401431295,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.66271121748,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+5.20363412192,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.66478873818,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+5.21152622271,+0,+0,+0,+0,+0,+3.04010745715,+0,+0,+0,+0,+5.66460553371,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+5.21128065655,+0,+0,+0,+0,+0,+3.03996420797,+0,+0,+0,+0,+5.66274941458,+0,+0,+0,+0,+0,+2.61398079345,+0,+4.79142176632
2010-08-16 00:27:30 UTC,+5.21006785746,+0,+0,+0,+0,+0,+3.03925673075,+0,+0,+0,+0,+0,+0,+0,+2.1778598628,+0,+0,+2.61348137328,+0,+4.79050637618
