# file...... Output/hvac/house_hvac_file_044.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13C_tm_3_C_13_Meter_75_861:hvac_load,house_3_14C_tm_3_C_14_Meter_75_862:hvac_load,house_3_15C_tm_3_C_15_Meter_75_863:hvac_load,house_3_1A_tm_3_A_1_Meter_76_864:hvac_load,house_3_2A_tm_3_A_2_Meter_76_865:hvac_load,house_3_3A_tm_3_A_3_Meter_76_866:hvac_load,house_3_4A_tm_3_A_4_Meter_76_867:hvac_load,house_3_5A_tm_3_A_5_Meter_76_868:hvac_load,house_3_6A_tm_3_A_6_Meter_76_869:hvac_load,house_3_7A_tm_3_A_7_Meter_76_870:hvac_load,house_3_8A_tm_3_A_8_Meter_76_871:hvac_load,house_3_9A_tm_3_A_9_Meter_76_872:hvac_load,house_3_10A_tm_3_A_10_Meter_76_873:hvac_load,house_3_11A_tm_3_A_11_Meter_76_874:hvac_load,house_3_12A_tm_3_A_12_Meter_76_875:hvac_load,house_3_13A_tm_3_A_13_Meter_76_876:hvac_load,house_3_14A_tm_3_A_14_Meter_76_877:hvac_load,house_3_15A_tm_3_A_15_Meter_76_878:hvac_load,house_3_16A_tm_3_A_16_Meter_76_879:hvac_load,house_3_17A_tm_3_A_17_Meter_76_880:hvac_load
2010-08-16 14:58:30 UTC,+2.15753228259,+0,+3.88326296911,+5.66161054042,+5.22569909232,+0,+3.48436098578,+1.74235554621,+4.35549337427,+6.0973130707,+5.66168678343,+2.61324409725,+1.30675967861,+4.35525604499,+5.22574577449,+5.66101154854,+6.09624182094,+5.66104201719,+2.61332003371,+2.17779354842
2010-08-16 14:59:00 UTC,+2.15777502726,+0,+3.88369986868,+5.65779940514,+5.22218148851,+0,+3.48201543145,+1.7411826081,+0,+6.09320859152,+5.65787559277,+2.61148495702,+1.30587998512,+4.35232425138,+5.22222811441,+5.65720094177,+6.09213829723,+5.65723139994,+2.61156082613,+2.17632751758
2010-08-16 14:59:30 UTC,+2.15611339722,+0,+3.88070921428,+5.65920272661,+5.22347672696,+0,+3.48287910237,+0,+0,+6.09471992695,+5.65927893463,+2.61213270082,+1.30620390245,+4.35340378506,+5.22352337358,+5.65860406864,+6.09364928084,+5.65863453066,+0,+2.17686733377
2010-08-16 15:00:00 UTC,+2.15711609096,+0,+3.88251389424,+5.6502469605,+5.21521072924,+0,+3.47736729687,+0,+0,+6.08507483341,+5.65032303839,+2.60799890669,+1.30413671536,+4.34651437904,+5.2152572435,+5.6496495449,+6.08400643341,+5.64967998241,+0,+2.17342231576
2010-08-16 15:00:30 UTC,+2.15868821883,+0,+3.88534345981,+5.64271190967,+5.20825602456,+0,+3.47272986712,+0,+0,+6.07695980765,+5.64278787809,+2.60452088492,+1.30239746029,+4.34071788709,+5.2083024273,+5.64211553998,+6.07589329866,+5.64214595696,+0,+2.17052380467
2010-08-16 15:01:00 UTC,+2.15805593072,+6.04146999844,+3.8842054476,+5.63791829629,+5.20383161335,+0,+3.46977964869,+0,+0,+6.07179722841,+5.63799419508,+2.60230825326,+0,+4.33703030187,+5.20387794504,+5.63732259231,+6.07073192303,+5.63735299628,+0,+2.16867984336
2010-08-16 15:01:30 UTC,+2.15814611245,+6.0417224505,+3.88436775959,+5.64046427852,+5.20618150503,+0,+3.47134656767,+1.73584744344,+0,+6.07453917568,+5.6405402143,+0,+0,+4.33898885083,+5.20622787446,+5.63986822093,+6.07347323095,+5.63989863181,+0,+2.16965920745
2010-08-16 15:02:00 UTC,+2.15508265644,+6.03314670846,+3.87885405443,+5.64579979109,+5.21110607876,+0,+0,+1.73748953357,+0,+6.08028246791,+5.64587580436,+0,+0,+4.34309330303,+5.21115252721,+5.64520299278,+6.07921808021,+5.64523341815,+0,+2.17171162127
2010-08-16 15:02:30 UTC,+2.1548820202,+6.03258505358,+3.87849294294,+5.6508765193,+5.21579179979,+5.65076799244,+0,+1.7390519785,+0,+6.08574994808,+5.65095260632,+0,+0,+4.34699867998,+5.21583832337,+5.65027901645,+6.08468429172,+5.65030945566,+2.60836524453,+2.17366448834
2010-08-16 15:03:00 UTC,+2.15785149418,+6.04089770508,+3.88383749621,+5.64312061464,+5.2086332513,+5.64301227525,+0,+1.73666497376,+4.34126700131,+6.07739707721,+5.64319658899,+0,+1.30249179835,+4.34103229173,+5.20867966008,+5.64252418827,+6.07633335927,+5.64255460636,+2.60478514409,+2.17068102136
2010-08-16 15:03:30 UTC,+2.16184125721,+6.05206652281,+3.89101839832,+5.64221637806,+5.20779865859,+5.64210806052,+0,+1.73638668038,+4.34057135071,+6.07642324221,+5.64229233928,+0,+1.30228308072,+4.34033668925,+5.20784505398,+5.64162007718,+6.07535975024,+5.64165049281,+2.60436775143,+2.17033318832
2010-08-16 15:04:00 UTC,+2.16084334814,+6.04927300748,+3.88922232993,+5.64705344177,+5.2122631738,+5.64694500729,+0,+1.73787536482,+4.34429261849,+6.08163261117,+0,+0,+1.30339958119,+4.34405769947,+0,+5.64645646939,+6.08056791002,+5.64648689818,+2.6066005244,+0
2010-08-16 15:04:30 UTC,+2.16290605902,+6.05504729584,+3.89293486244,+5.64221695748,+5.20779919339,+5.64210863993,+0,+1.73638685871,+4.34057179648,+6.07642386623,+0,+2.60429104904,+1.30228321446,+4.34033713499,+0,+5.64162065652,+6.07536037412,+5.64165107216,+2.60436801889,+0
2010-08-16 15:05:00 UTC,+2.16537693631,+6.061964193,+3.89738202592,+5.65015071728,+5.2151176246,+5.65004220795,+0,+0,+4.34667542584,+6.08496828164,+0,+2.60795310269,+1.3041141855,+4.34644034196,+0,+5.64955331508,+6.08390280654,+5.64958375232,+2.6080302167,+0
2010-08-16 15:05:30 UTC,+2.16741123062,+6.06765893371,+3.90104341356,+5.65430431196,+5.21895130529,+5.65419570225,+0,+0,+4.34987088454,+6.08944157535,+0,+2.60987031306,+1.30507292578,+4.34963557956,+0,+0,+6.08837506242,+5.653736782,+2.60994750252,+0
2010-08-16 15:06:00 UTC,+2.16987314781,+6.07455074899,+3.90547445051,+5.6475440981,+5.2127117699,+5.64743565178,+3.47570382638,+0,+4.34467009197,+6.08216103293,+0,+2.60674994308,+1.30351252089,+4.34443514686,+0,+0,+6.08109620929,+5.64697748782,+2.60682700973,+2.17238260455
2010-08-16 15:06:30 UTC,+2.17469902563,+6.08805680943,+0,+5.64624998648,+0,+5.64614157143,+3.4749073684,+0,+4.3436745013,+6.08076731453,+0,+2.60615260889,+1.30321381171,+4.34343962505,+0,+0,+6.07970281419,+0,+2.60622965204,+2.17188479814
2010-08-16 15:07:00 UTC,+2.17666336864,+6.09355572596,+0,+5.64615238984,+0,+5.64604397716,+3.47484730274,+1.73759805152,+4.34359941785,+6.08066220593,+0,+2.60610756035,+1.30319128425,+4.34336454683,+0,+0,+6.07959773009,+0,+2.60618460171,+2.17184725558
2010-08-16 15:07:30 UTC,+2.17594682477,+6.09154985681,+0,+5.64885292957,+0,+5.64874445159,+3.47650934375,+1.73842918623,+4.34567700709,+6.08357060421,+0,+2.6073540717,+1.30381462781,+4.34544199226,+5.21397055952,+0,+6.08250545328,+0,+2.60743116214,+2.17288607333
2010-08-16 15:08:00 UTC,+2.17439319154,+6.0872006676,+0,+5.64664904283,+0,+5.64654061814,+3.47515296666,+1.73775090448,+4.34398150474,+6.08119708592,+0,+2.60633680473,+1.30330592259,+0,+5.21193638256,+0,+6.08012675207,+0,+2.60641385511,+2.17203830327
2010-08-16 15:08:30 UTC,+0,+6.08879066505,+0,+5.64741300711,+0,+5.64730456396,+3.47562314674,+1.73798602682,+4.34456924058,+6.08201985197,+0,+2.60668943429,+1.30348226224,+0,+5.21264151796,+0,+6.08094932561,+0,+2.60676649856,+2.17233217774
2010-08-16 15:09:00 UTC,+0,+6.08101419469,+3.90963222269,+5.63974824366,+0,+5.63963998581,+3.47090588562,+1.73562707211,+4.33867255633,+6.07376513726,+5.63982081912,+2.60315154357,+0,+0,+5.20556697773,+0,+6.07269654244,+0,+2.60322846853,+2.16938377
2010-08-16 15:09:30 UTC,+0,+6.08864718114,+3.91453979456,+5.63247457971,+0,+5.63236649778,+3.46642932568,+1.73338848433,+4.33307675388,+6.06593162449,+5.63254705809,+2.59979417596,+0,+0,+5.19885342076,+5.63187963193,+6.06486486365,+0,+2.59986978853,+2.16658580653
2010-08-16 15:10:00 UTC,+0,+6.07956881613,+3.90870292727,+5.6329433628,+0,+5.63283180858,+3.46671783723,+1.73353275998,+4.33343739994,+6.06643648953,+5.63301584746,+2.60001055624,+0,+0,+5.19928610523,+5.63234834978,+6.06536961025,+0,+2.60008617717,+2.16676613358
2010-08-16 15:10:30 UTC,+0,+6.08068221347,+3.90941877784,+5.63245191877,+0,+5.63234037705,+3.46641537906,+0,+4.33305932029,+6.06590721935,+5.63252439685,+2.59978371615,+0,+0,+5.19883250482,+5.63185697413,+6.06484046422,+5.63188736332,+2.59985932833,+2.16657708954
2010-08-16 15:11:00 UTC,+0,+6.07333919289,+3.90469763712,+5.63494461712,+5.20108271442,+5.63483301205,+3.46794950466,+0,+4.33497701245,+6.06859177901,+5.63501712849,+2.60093429241,+1.30060428548,+0,+5.20113325335,+5.63434932608,+0,+5.63437972201,+2.6010099489,+2.16753595696
2010-08-16 15:11:30 UTC,+2.16514349389,+6.06130900901,+3.89696291903,+5.6423845373,+5.20794960385,+5.64227274327,+3.47252838651,+0,+4.34070071956,+6.07660434453,+5.64245714795,+2.60436840028,+1.3023215816,+0,+5.20800026419,+5.64178821313,+0,+5.64181862921,+0,+0
2010-08-16 15:12:00 UTC,+2.16526007745,+6.0616353692,+3.89717274993,+5.64673759959,+5.21196738872,+5.64662569504,+3.47520746873,+0,+4.34404963357,+6.08129245884,+5.64681026837,+2.60637768064,+1.30332636344,+0,+5.21201812002,+5.64614067111,+0,+5.64617109904,+0,+0
2010-08-16 15:12:30 UTC,+2.16454800615,+0,+3.89589114068,+5.64959733658,+5.21460686582,+5.64948535941,+3.47696748731,+1.73865828946,+4.346249697,+6.08437230766,+5.64967004356,+2.60769767402,+1.30398645317,+4.34601464256,+5.2146576437,+5.64900001115,+0,+5.64903044688,+0,+0
2010-08-16 15:13:00 UTC,+2.16336818059,+0,+3.893767652,+5.65138870691,+5.21626026302,+5.65127668427,+3.47806998204,+1.73920961253,+4.34762784058,+6.0863015584,+5.65146143781,+2.6085245322,+1.30439994052,+4.34739269079,+5.21631107007,+5.65079113291,+0,+5.65082157353,+0,+0
2010-08-16 15:13:30 UTC,+2.16094471355,+0,+3.88940581669,+5.6480252615,+5.21315587361,+5.64791332426,+3.47599995727,+1.73817445796,+4.34504026235,+6.08267923111,+5.64809794747,+2.60697203779,+1.3036235839,+4.34480529164,+5.21320278416,+5.64742815434,+0,+5.64745858577,+0,+0
2010-08-16 15:14:00 UTC,+2.16054193763,+0,+3.88868088747,+5.65106376574,+5.2159603491,+5.65095175134,+3.47786999778,+1.73910932017,+4.34737785569,+6.08595160678,+5.65113649231,+2.60837454634,+1.30432493704,+4.34714272317,+5.21600730507,+5.65046623677,+0,+5.6504966765,+0,+2.17373651657
2010-08-16 15:14:30 UTC,+2.15906363699,+0,+3.88602019365,+5.64987307589,+5.21486136738,+5.64976109172,+3.47713549366,+1.7387428663,+4.34646182981,+6.08466927043,+5.64994578656,+2.6078249494,+1.30405009984,+4.34622676067,+5.21490830556,+5.64927571215,+0,+5.64930614864,+2.60790087103,+2.17327849343
2010-08-16 15:15:00 UTC,+2.16066420956,+0,+3.88890095646,+5.64408993386,+5.20952364897,+5.64397809653,+3.47357627555,+1.73696301158,+4.34201272157,+6.07844100422,+5.64416256728,+2.60515557482,+1.30271522437,+4.34177796037,+5.20957050068,+5.64349337293,+0,+5.64352379365,+2.60523139376,+2.17105388978
2010-08-16 15:15:30 UTC,+2.16051389173,+0,+3.88863040953,+5.63874121578,+5.20458689484,+5.63862951427,+3.47028442246,+1.73531685777,+4.33789782594,+0,+5.63881377782,+2.60268672109,+1.30148062343,+4.33766334956,+5.2046336665,+5.63814539743,+6.07161225806,+5.63817078852,+2.60276244503,+2.16899639619
2010-08-16 15:16:00 UTC,+2.15922542279,+6.04474215452,+3.88631138101,+5.64249615604,+5.20805262552,+5.64238435916,+3.47259538965,+0,+4.34078659059,+0,+5.6425687682,+2.60441992114,+1.30234734569,+4.34055191421,+5.20809945339,+5.64189981625,+6.07565526688,+5.64192521092,+2.60449571179,+2.17044081066
2010-08-16 15:16:30 UTC,+2.15857557537,+6.04292299307,+0,+5.64372375914,+5.20918567737,+5.6436119311,+3.4733509144,+0,+0,+0,+5.64379638769,+2.60498655643,+1.30263070327,+4.34149627299,+5.20923252361,+5.64312724899,+6.07697704844,+5.64315264483,+2.60506236888,+2.17091303323
2010-08-16 15:17:00 UTC,+2.15818724206,+6.04183590553,+0,+5.64193425875,+5.20753400626,+5.64182247617,+3.47224957151,+0,+0,+0,+5.64200686339,+2.60416056133,+1.30221764747,+4.34011966318,+5.20758082571,+5.64133324958,+6.0750502626,+5.64136339125,+2.60423634198,+2.17022466533
2010-08-16 15:17:30 UTC,+2.1604741415,+6.04823777665,+0,+5.64373034426,+5.2091917553,+5.64361851605,+3.4733549672,+0,+0,+0,+5.64380297289,+2.60498959598,+0,+4.34150133873,+5.20923860163,+5.64312908266,+6.07698413875,+5.64315922904,+2.60506540854,+2.17091556633
