# file...... Output/hvac/house_hvac_file_064.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_4A_tm_3_A_4_Meter_113_1261:hvac_load,house_3_5A_tm_3_A_5_Meter_113_1262:hvac_load,house_3_6A_tm_3_A_6_Meter_113_1263:hvac_load,house_3_7A_tm_3_A_7_Meter_113_1264:hvac_load,house_3_8A_tm_3_A_8_Meter_113_1265:hvac_load,house_3_9A_tm_3_A_9_Meter_113_1266:hvac_load,house_3_10A_tm_3_A_10_Meter_113_1267:hvac_load,house_3_11A_tm_3_A_11_Meter_113_1268:hvac_load,house_3_12A_tm_3_A_12_Meter_113_1269:hvac_load,house_3_13A_tm_3_A_13_Meter_113_1270:hvac_load,house_3_14A_tm_3_A_14_Meter_113_1271:hvac_load,house_3_15A_tm_3_A_15_Meter_113_1272:hvac_load,house_3_1A_tm_3_A_1_Meter_114_1273:hvac_load,house_3_2A_tm_3_A_2_Meter_114_1274:hvac_load,house_3_3A_tm_3_A_3_Meter_114_1275:hvac_load,house_3_4A_tm_3_A_4_Meter_114_1276:hvac_load,house_3_5A_tm_3_A_5_Meter_114_1277:hvac_load,house_3_6A_tm_3_A_6_Meter_114_1278:hvac_load,house_3_7A_tm_3_A_7_Meter_114_1279:hvac_load,house_3_8A_tm_3_A_8_Meter_114_1280:hvac_load
2010-08-16 00:40:00 UTC,+0,+3.04129022725,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.08196675341,+0,+0,+0,+3.90977045757,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+3.04193525395,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47656336746,+0,+3.91052535476,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+3.04314568832,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.4773280802,+0,+3.91189381214,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.47586198569,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4.34148898826,+0,+0,+0,+0,+0,+3.47288704399,+0,+0,+0,+0,+0,+5.20877254803
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+4.34547238905,+0,+1.73841519222,+0,+0,+0,+3.47609201987,+0,+0,+0,+0,+0,+5.21357936669
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+4.34318883404,+0,+1.73750162462,+0,+0,+0,+3.47426550406,+0,+0,+0,+0,+0,+5.21083996062
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+4.34819005456,+0,+1.73950243173,+0,+0,+0,+3.47826576197,+0,+0,+0,+0,+0,+5.21683954225
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+2.60626311041,+0,+4.34339363688,+0,+1.73758355883,+0,+0,+4.77640353695,+3.47406226941,+0,+0,+0,+0,+3.47385712349,+5.21053514951
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+2.6063080902,+0,+4.34346859525,+0,+0,+0,+0,+4.77668889967,+0,+0,+0,+0,+0,+3.47406466762,+5.21084644717
