# file...... Output/hvac/house_hvac_file_009.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_8A_tm_0_A_8_Meter_20_161:hvac_load,house_0_9A_tm_0_A_9_Meter_20_162:hvac_load,house_0_10A_tm_0_A_10_Meter_20_163:hvac_load,house_0_11A_tm_0_A_11_Meter_20_164:hvac_load,house_0_12A_tm_0_A_12_Meter_20_165:hvac_load,house_0_13A_tm_0_A_13_Meter_20_166:hvac_load,house_0_14A_tm_0_A_14_Meter_20_167:hvac_load,house_0_15A_tm_0_A_15_Meter_20_168:hvac_load,house_1_1B_tm_1_B_1_Meter_22_169:hvac_load,house_1_2B_tm_1_B_2_Meter_22_170:hvac_load,house_1_3B_tm_1_B_3_Meter_22_171:hvac_load,house_1_4B_tm_1_B_4_Meter_22_172:hvac_load,house_1_5B_tm_1_B_5_Meter_22_173:hvac_load,house_1_6B_tm_1_B_6_Meter_22_174:hvac_load,house_1_7B_tm_1_B_7_Meter_22_175:hvac_load,house_1_8B_tm_1_B_8_Meter_22_176:hvac_load,house_1_9B_tm_1_B_9_Meter_22_177:hvac_load,house_1_10B_tm_1_B_10_Meter_22_178:hvac_load,house_1_11B_tm_1_B_11_Meter_22_179:hvac_load,house_1_12B_tm_1_B_12_Meter_22_180:hvac_load
2010-08-16 00:19:00 UTC,+0,+0,+3.88481817347,+0,+0,+0,+0,+2.15861061056,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58898588626,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+3.8848080537,+0,+0,+0,+0,+2.15860498722,+0,+0,+0,+0,+0,+0,+5.17738425136,+0,+0,+2.58928451499,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+3.884885185,+0,+0,+0,+0,+2.15864784752,+0,+0,+0,+0,+0,+0,+5.17540326076,+0,+0,+2.58829372787,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+3.88494083325,+0,+0,+0,+0,+2.15867877011,+0,+0,+0,+0,+0,+0,+5.17487982934,+0,+0,+2.58803193508,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+3.88456647338,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17532592419,+0,+0,+2.58825504822,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+3.88234847212,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17746797625,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17897077811,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17613097395,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31088729533,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31390445582,+0,+0,+0,+0,+0,+0,+0
