# file...... Output/hvac/house_hvac_file_017.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_2B_tm_2_B_2_Meter_38_321:hvac_load,house_2_3B_tm_2_B_3_Meter_38_322:hvac_load,house_2_4B_tm_2_B_4_Meter_38_323:hvac_load,house_2_5B_tm_2_B_5_Meter_38_324:hvac_load,house_2_6B_tm_2_B_6_Meter_38_325:hvac_load,house_2_7B_tm_2_B_7_Meter_38_326:hvac_load,house_2_8B_tm_2_B_8_Meter_38_327:hvac_load,house_2_1B_tm_2_B_1_Meter_39_328:hvac_load,house_2_2B_tm_2_B_2_Meter_39_329:hvac_load,house_2_3B_tm_2_B_3_Meter_39_330:hvac_load,house_2_4B_tm_2_B_4_Meter_39_331:hvac_load,house_2_5B_tm_2_B_5_Meter_39_332:hvac_load,house_2_6B_tm_2_B_6_Meter_39_333:hvac_load,house_2_7B_tm_2_B_7_Meter_39_334:hvac_load,house_2_8B_tm_2_B_8_Meter_39_335:hvac_load,house_2_1C_tm_2_C_1_Meter_41_336:hvac_load,house_2_2C_tm_2_C_2_Meter_41_337:hvac_load,house_2_3C_tm_2_C_3_Meter_41_338:hvac_load,house_2_4C_tm_2_C_4_Meter_41_339:hvac_load,house_2_5C_tm_2_C_5_Meter_41_340:hvac_load
2010-08-16 14:24:30 UTC,+0,+0,+0,+4.29731855714,+5.58597544994,+2.57854780138,+5.1570565975,+0,+0,+5.58463452816,+5.15486687785,+2.1482995085,+0,+4.72544490103,+4.72581927448,+4.28680529872,+3.85851706873,+5.57256965844,+0,+4.28685584898
2010-08-16 14:25:00 UTC,+4.72461493604,+0,+0,+4.29541092608,+5.58349584304,+2.57740313854,+5.15476727293,+0,+4.72321129137,+5.58194515879,+5.15238451768,+2.14726491183,+0,+4.72316927947,+4.72354343931,+4.28588479953,+3.85768850302,+5.57137308333,+0,+4.28593533045
2010-08-16 14:25:30 UTC,+4.72564170362,+0,+3.86702752422,+4.29634443277,+5.58470924833,+2.57796328376,+5.15588756283,+3.00669282483,+4.72414785132,+5.58305199808,+5.15340616008,+2.14769071137,+0,+4.72410583634,+4.72448008409,+4.28423350414,+3.85620212829,+5.5692265318,+0,+4.28428400037
2010-08-16 14:26:00 UTC,+4.72438731301,+0,+3.86600100912,+4.29520397795,+5.5832268445,+2.57727896053,+5.15451891702,+3.00589483756,+4.72289409362,+5.58157029017,+5.15203850388,+2.14712070038,+0,+4.72285208275,+4.72322621282,+4.28615529189,+3.85793198037,+5.5717247017,+3.00061568709,+4.2862058285
2010-08-16 14:26:30 UTC,+4.72277809821,+2.57652968915,+3.86468412796,+4.29374092745,+5.58132511934,+2.57640106564,+5.15276312808,+3.00480925204,+4.72118847598,+5.57955456803,+5.15017793823,+2.14634525482,+2.57556667587,+4.7211464707,+4.72152044065,+4.28677524521,+3.85849001674,+5.5725305913,+3.00104971483,+4.28682579483
2010-08-16 14:27:00 UTC,+4.721941862,+2.57607345638,+3.86399980435,+4.29298064624,+5.58033687872,+2.57594486335,+5.15185072393,+3.0043529139,+4.72047150031,+5.57870723642,+5.14939582842,+2.14601928752,+2.57517552438,+4.72042949737,+4.72080340002,+4.28695636742,+3.85865304966,+5.57276603562,+3.00117651806,+4.28700692085
2010-08-16 14:27:30 UTC,+4.7242136883,+2.57731291672,+3.86585892546,+4.2950461235,+5.58302165966,+2.57718424088,+5.15432947783,+3.00579817865,+4.72274222798,+5.5813908133,+5.15187284191,+2.14705165586,+2.57641433702,+4.72270021762,+4.72307433342,+4.28715149698,+3.85882869092,+5.57301968842,+3.00131312776,+4.2872020545
2010-08-16 14:28:00 UTC,+4.72592875051,+2.57824861835,+3.8672624255,+4.2966054073,+5.58504847234,+2.57811988,+5.15620075515,+3.00688924767,+4.72445646107,+5.58341671729,+5.1537428057,+2.14783101834,+2.57734954981,+4.72441444508,+4.72478872179,+4.28945041349,+0,+5.57600809548,+3.00292259341,+4.28950101928
2010-08-16 14:28:30 UTC,+4.72714262046,+2.57891088009,+3.86825578103,+4.29770902194,+5.58648299001,+2.5787820975,+5.1575251895,+3.00766147385,+4.72566974423,+5.58485059183,+5.15506631043,+2.14838262789,+2.57801146559,+4.72562772425,+4.72600211486,+4.29052196102,+0,+5.57740102134,+3.00367278112,+4.2905725893
2010-08-16 14:29:00 UTC,+4.7284746374,+2.57963760028,+3.86934582064,+4.2989200523,+5.58805713052,+0,+5.15897853211,+3.00846336086,+4.72692962907,+5.58633954087,+5.15644065042,+2.1489554245,+2.57869880522,+4.72688760494,+4.72726211379,+4.29250511114,+0,+5.57997895745,+3.00506117943,+4.29255578101
2010-08-16 14:29:30 UTC,+4.72514837347,+2.57782286115,+3.86662381355,+4.29589591158,+5.58412624453,+0,+5.15534929806,+3.00634735912,+4.72360507288,+5.58241053515,+5.15281407256,+2.14744394145,+2.57688506856,+4.72356305969,+4.72393725647,+4.29150154753,+0,+5.57867440525,+3.00435858712,+4.29155219636
2010-08-16 14:30:00 UTC,+4.72451988741,+2.57747997248,+3.86610949973,+4.29532451066,+5.58338351722,+0,+5.15466356685,+3.005947548,+4.72297690963,+5.58166816326,+5.15212884337,+2.14715835202,+2.57654236937,+4.7229348985,+4.72330903633,+4.29388447888,+0,+5.5817720249,+3.00602687123,+4.29393517768
2010-08-16 14:30:30 UTC,+4.72266924479,+2.57647030104,+3.86459504912,+4.29364196115,+5.5811964794,+0,+5.15264435984,+3.00477026242,+4.72112721741,+5.57948217183,+5.15011111459,+2.14631740411,+2.57553325581,+4.72108521234,+4.72145917654,+4.29308584618,+0,+5.58073386643,+3.00546775054,+4.29313652823
2010-08-16 14:31:00 UTC,+4.72170945656,+2.57594666088,+3.86380961821,+4.29276935008,+5.58006222846,+0,+5.15159715,+3.00415969355,+4.72016792217,+5.57834846365,+5.14906467152,+2.14588126811,+2.57500990503,+4.72012592023,+4.72049979438,+4.29148235926,+0,+5.57864946201,+3.00434515348,+0
2010-08-16 14:31:30 UTC,+4.72305121541,+2.57667869611,+3.86490763006,+4.29398923753,+5.58164788162,+2.57655006265,+5.15306112196,+3.00505864975,+4.72158031718,+5.5800176513,+5.15060537652,+2.14652340232,+2.5757804478,+4.72153831062,+4.72191231735,+0,+0,+5.58322202275,+3.00680779611,+0
2010-08-16 14:32:00 UTC,+4.72289464654,+2.57659327548,+3.86477950389,+4.29384688977,+0,+2.57646464772,+5.15289029217,+3.00486070608,+4.72126931794,+5.57965010816,+5.15026612433,+2.146382009,+2.57561077984,+4.7212273124,+4.72160128996,+0,+3.86718847083,+5.58509248574,+3.00781517073,+0
