# file...... Output/hvac/house_hvac_file_041.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_6A_tm_3_A_6_Meter_70_801:hvac_load,house_3_7A_tm_3_A_7_Meter_70_802:hvac_load,house_3_8A_tm_3_A_8_Meter_70_803:hvac_load,house_3_1A_tm_3_A_1_Meter_71_804:hvac_load,house_3_2A_tm_3_A_2_Meter_71_805:hvac_load,house_3_3A_tm_3_A_3_Meter_71_806:hvac_load,house_3_4A_tm_3_A_4_Meter_71_807:hvac_load,house_3_5A_tm_3_A_5_Meter_71_808:hvac_load,house_3_6A_tm_3_A_6_Meter_71_809:hvac_load,house_3_7A_tm_3_A_7_Meter_71_810:hvac_load,house_3_8A_tm_3_A_8_Meter_71_811:hvac_load,house_3_9A_tm_3_A_9_Meter_71_812:hvac_load,house_3_10A_tm_3_A_10_Meter_71_813:hvac_load,house_3_11A_tm_3_A_11_Meter_71_814:hvac_load,house_3_12A_tm_3_A_12_Meter_71_815:hvac_load,house_3_13A_tm_3_A_13_Meter_71_816:hvac_load,house_3_14A_tm_3_A_14_Meter_71_817:hvac_load,house_3_15A_tm_3_A_15_Meter_71_818:hvac_load,house_3_1C_tm_3_C_1_Meter_73_819:hvac_load,house_3_2C_tm_3_C_2_Meter_73_820:hvac_load
2010-08-16 00:23:30 UTC,+1.30575353476,+0,+0,+5.22160223167,+0,+2.61090261664,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.79223347892,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+5.22338870176,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.79027478264,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+5.22552976517,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78812852515,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+5.22765127729,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7847008375,+4.78432227735
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78988974778,+4.7895106764
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78987408726,+4.78949501742
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61421610491,+0,+0,+0,+0,+0,+4.78585254349,+4.78547386991
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.6136548563,+0,+0,+0,+0,+0,+4.7860713448,+4.78569264966
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.22407531203,+0,+0,+0,+2.61256617125,+0,+0,+0,+0,+0,+0,+4.78671840825
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.2237839991,+0,+0,+0,+2.61242047831,+0,+0,+0,+0,+0,+0,+4.78640891245
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.22340449782,+0,+0,+0,+2.61223068016,+0,+0,+0,+0,+0,+0,+4.78758458173
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.22758517509,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78808477026
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.22284617732,+0,+0,+5.22320773996,+0,+0,+0,+3.91769096039,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.2232240822,+0,+0,+5.22358567804,+0,+0,+0,+3.91797443876,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.22012876137,+0,+0,+5.22049008569,+0,+0,+0,+3.91565254159,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.22321598003,+0,+0,+4.35266327502,+3.91769714103,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.22468829717,+0,+0,+4.35389019623,+3.91880147538,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.22706866873,+0,+0,+4.35587382346,+3.92058691007,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21663242142,+0,+0,+4.34717701978,+3.91275904049,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.3492036974,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34863735073,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34841714178,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+1.30440594215,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+1.30437429111,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+1.30431446064,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+5.65157848411,+0,+1.30447771448,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+5.65139216282,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+1.30597149413,+0,+5.65751687533,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+1.30552679212,+0,+5.65559056344,+0,+0,+2.61045569306,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.52518563109,+0,+0
2010-08-16 00:39:00 UTC,+1.30559114211,+0,+5.65586930778,+0,+0,+2.61058434928,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.52550721255,+0,+0
2010-08-16 00:39:30 UTC,+1.30585321848,+0,+5.6570045417,+0,+0,+2.61110832367,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.52681690796,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+5.65310990762,+5.21811112429,+0,+2.6091569841,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.52193945501,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+5.6534604014,+5.21843462365,+0,+2.60931874109,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.5223437732,+0,+0
