# file...... Output/house_1_1B_tm_1_B_1_Meter_22_169.csv
# date...... Tue Dec  5 21:17:54 2017
# user...... yingying
# host...... (null)
# target.... house 1231
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_state, air_temperature, hvac_load, total_load
2010-08-16 00:01:46 UTC,OFF,+74.1926948365,+0,+1.3615
2010-08-16 00:01:47 UTC,OFF,+74.193851817,+0,+1.3615
2010-08-16 00:01:48 UTC,OFF,+74.1950059921,+0,+1.3615
2010-08-16 00:01:49 UTC,OFF,+74.1961573708,+0,+1.3615
2010-08-16 00:01:50 UTC,OFF,+74.197305962,+0,+1.3615
2010-08-16 00:01:51 UTC,OFF,+74.1984517748,+0,+1.3615
2010-08-16 00:01:52 UTC,OFF,+74.1995948181,+0,+1.3615
2010-08-16 00:01:53 UTC,OFF,+74.2007351009,+0,+1.3615
2010-08-16 00:01:54 UTC,OFF,+74.2018726319,+0,+1.3615
2010-08-16 00:01:55 UTC,OFF,+74.2030074202,+0,+1.3615
2010-08-16 00:01:56 UTC,OFF,+74.2041394744,+0,+1.3615
2010-08-16 00:01:57 UTC,OFF,+74.2052688034,+0,+1.3615
2010-08-16 00:01:58 UTC,OFF,+74.206395416,+0,+1.3615
2010-08-16 00:01:59 UTC,OFF,+74.2075193209,+0,+1.3615
2010-08-16 00:02:00 UTC,OFF,+74.2086405269,+0,+1.3615
2010-08-16 00:02:01 UTC,OFF,+74.2097486023,+0,+1.3615
2010-08-16 00:02:02 UTC,OFF,+74.2108540252,+0,+1.3615
2010-08-16 00:02:03 UTC,OFF,+74.2119568041,+0,+1.3615
2010-08-16 00:02:04 UTC,OFF,+74.2130569475,+0,+1.3615
2010-08-16 00:02:05 UTC,OFF,+74.2141544638,+0,+1.3615
2010-08-16 00:02:06 UTC,OFF,+74.2152493616,+0,+1.3615
2010-08-16 00:02:07 UTC,OFF,+74.2163416492,+0,+1.3615
2010-08-16 00:02:08 UTC,OFF,+74.217431335,+0,+1.3615
2010-08-16 00:02:09 UTC,OFF,+74.2185184275,+0,+1.3615
2010-08-16 00:02:10 UTC,OFF,+74.219602935,+0,+1.3615
2010-08-16 00:02:11 UTC,OFF,+74.2206848657,+0,+1.3615
2010-08-16 00:02:12 UTC,OFF,+74.221764228,+0,+1.3615
2010-08-16 00:02:13 UTC,OFF,+74.2228410301,+0,+1.3615
2010-08-16 00:02:14 UTC,OFF,+74.2239152803,+0,+1.3615
2010-08-16 00:02:15 UTC,OFF,+74.2249869868,+0,+1.3615
2010-08-16 00:02:16 UTC,OFF,+74.2260561578,+0,+1.3615
2010-08-16 00:02:17 UTC,OFF,+74.2271228014,+0,+1.3615
2010-08-16 00:02:18 UTC,OFF,+74.2281869257,+0,+1.3615
2010-08-16 00:02:19 UTC,OFF,+74.2292485389,+0,+1.3615
2010-08-16 00:02:20 UTC,OFF,+74.230307649,+0,+1.3615
2010-08-16 00:02:21 UTC,OFF,+74.2313642641,+0,+1.3615
2010-08-16 00:02:22 UTC,OFF,+74.2324183922,+0,+1.3615
2010-08-16 00:02:23 UTC,OFF,+74.2334700414,+0,+1.3615
2010-08-16 00:02:24 UTC,OFF,+74.2345192195,+0,+1.3615
2010-08-16 00:02:25 UTC,OFF,+74.2355659346,+0,+1.3615
2010-08-16 00:02:26 UTC,OFF,+74.2366101945,+0,+1.3615
2010-08-16 00:02:27 UTC,OFF,+74.2376520071,+0,+1.3615
2010-08-16 00:02:28 UTC,OFF,+74.2386913804,+0,+1.3615
