# file...... Output/DG_57.csv
# date...... Thu Dec  7 09:03:37 2017
# user...... yingying
# host...... (null)
# target.... load 20
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,constant_power_A_real,constant_power_B_real,constant_power_C_real
2010-08-16 00:32:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:32:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:33:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:33:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:34:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:34:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:35:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:35:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:36:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:36:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:37:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:37:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:38:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:38:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:39:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:39:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:40:00 UTC,-6666.76747994,-6666.76747994,-6666.76747994
2010-08-16 00:40:30 UTC,-6666.76747994,-6666.76747994,-6666.76747994
2010-08-16 00:41:00 UTC,-6666.76747994,-6666.76747994,-6666.76747994
2010-08-16 00:41:30 UTC,-6666.76747994,-6666.76747994,-6666.76747994
2010-08-16 00:42:00 UTC,-6666.76747994,-6666.76747994,-6666.76747994
2010-08-16 00:42:30 UTC,-6666.76747994,-6666.76747994,-6666.76747994
2010-08-16 00:43:00 UTC,-6666.76747994,-6666.76747994,-6666.76747994
2010-08-16 00:43:30 UTC,-6666.76747994,-6666.76747994,-6666.76747994
2010-08-16 00:44:00 UTC,-6666.76747994,-6666.76747994,-6666.76747994
2010-08-16 00:44:30 UTC,-6666.76747994,-6666.76747994,-6666.76747994
2010-08-16 00:45:00 UTC,-6666.73792079,-6666.73792079,-6666.73792079
2010-08-16 00:45:30 UTC,-6666.73792079,-6666.73792079,-6666.73792079
2010-08-16 00:46:00 UTC,-6666.73792079,-6666.73792079,-6666.73792079
2010-08-16 00:46:30 UTC,-6666.73792079,-6666.73792079,-6666.73792079
2010-08-16 00:47:00 UTC,-6666.73792079,-6666.73792079,-6666.73792079
2010-08-16 00:47:30 UTC,-6666.73792079,-6666.73792079,-6666.73792079
2010-08-16 00:48:00 UTC,-6666.73792079,-6666.73792079,-6666.73792079
2010-08-16 00:48:30 UTC,-6666.73792079,-6666.73792079,-6666.73792079
2010-08-16 00:49:00 UTC,-6666.73792079,-6666.73792079,-6666.73792079
2010-08-16 00:49:30 UTC,-6666.73792079,-6666.73792079,-6666.73792079
2010-08-16 00:50:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:50:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:51:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:51:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:52:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:52:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:53:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:53:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:54:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:54:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:55:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:55:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:56:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:56:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:57:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:57:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:58:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:58:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:59:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 00:59:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 01:00:00 UTC,-6666.76200066,-6666.76200066,-6666.76200066
2010-08-16 01:00:30 UTC,-6666.76200066,-6666.76200066,-6666.76200066
2010-08-16 01:01:00 UTC,-6666.76200066,-6666.76200066,-6666.76200066
2010-08-16 01:01:30 UTC,-6666.76200066,-6666.76200066,-6666.76200066
2010-08-16 01:02:00 UTC,-6666.76200066,-6666.76200066,-6666.76200066
2010-08-16 01:02:30 UTC,-6666.76200066,-6666.76200066,-6666.76200066
2010-08-16 01:03:00 UTC,-6666.76200066,-6666.76200066,-6666.76200066
2010-08-16 01:03:30 UTC,-6666.76200066,-6666.76200066,-6666.76200066
2010-08-16 01:04:00 UTC,-6666.76200066,-6666.76200066,-6666.76200066
2010-08-16 01:04:30 UTC,-6666.76200066,-6666.76200066,-6666.76200066
2010-08-16 01:05:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 01:05:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 01:06:00 UTC,-6666.66666667,-6666.66666667,-6666.66666667
2010-08-16 01:06:30 UTC,-6666.66666667,-6666.66666667,-6666.66666667
