# file...... Output/total_feeder_load_Meter_1.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# target.... meter 225
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,measured_real_power, measured_power
2010-08-16 01:04:00 UTC,+1072654.55069,+1.07265e+06+416568j
2010-08-16 01:04:30 UTC,+1073858.74643,+1.07386e+06+416790j
2010-08-16 01:05:00 UTC,+1077387.0063,+1.07739e+06+418255j
2010-08-16 01:05:30 UTC,+1415514.82488,+1.41551e+06+553220j
2010-08-16 01:06:00 UTC,+1386358.76821,+1.38636e+06+541371j
2010-08-16 01:06:30 UTC,+1416786.03069,+1.41679e+06+554116j
2010-08-16 01:07:00 UTC,+1453159.6175,+1.45316e+06+568737j
2010-08-16 01:07:30 UTC,+1473599.56261,+1.4736e+06+576894j
2010-08-16 01:08:00 UTC,+1454932.00136,+1.45493e+06+570305j
2010-08-16 01:08:30 UTC,+1414143.29931,+1.41414e+06+554745j
2010-08-16 01:09:00 UTC,+1433720.89706,+1.43372e+06+562226j
2010-08-16 01:09:30 UTC,+1325989.14239,+1.32599e+06+518346j
2010-08-16 01:10:00 UTC,+1227064.31062,+1.22706e+06+478324j
2010-08-16 01:10:30 UTC,+1400391.57852,+1.40039e+06+547743j
2010-08-16 01:11:00 UTC,+1369559.54414,+1.36956e+06+534620j
2010-08-16 01:11:30 UTC,+1331408.04023,+1.33141e+06+519453j
2010-08-16 01:12:00 UTC,+1320738.11111,+1.32074e+06+515149j
2010-08-16 01:12:30 UTC,+1250481.13946,+1.25048e+06+487329j
2010-08-16 01:13:00 UTC,+1208139.83583,+1.20814e+06+470668j
2010-08-16 01:13:30 UTC,+1206636.88052,+1.20664e+06+469948j
2010-08-16 01:14:00 UTC,+1096510.41408,+1.09651e+06+425600j
2010-08-16 01:14:30 UTC,+1025351.09756,+1.02535e+06+397533j
2010-08-16 01:15:00 UTC,+1015063.50789,+1.01506e+06+393886j
2010-08-16 01:15:30 UTC,+1403307.03719,+1.40331e+06+549145j
2010-08-16 01:16:00 UTC,+1391531.23282,+1.39153e+06+543904j
2010-08-16 01:16:30 UTC,+1361675.14944,+1.36168e+06+532267j
2010-08-16 01:17:00 UTC,+1337659.58245,+1.33766e+06+522928j
2010-08-16 01:17:30 UTC,+1294290.34117,+1.29429e+06+505593j
2010-08-16 01:18:00 UTC,+1258171.9182,+1.25817e+06+490888j
2010-08-16 01:18:30 UTC,+1196686.57076,+1.19669e+06+466229j
2010-08-16 01:19:00 UTC,+1118493.04127,+1.11849e+06+435446j
2010-08-16 01:19:30 UTC,+1025915.31601,+1.02592e+06+398399j
2010-08-16 01:20:00 UTC,+1040476.59478,+1.04048e+06+403998j
2010-08-16 01:20:30 UTC,+1191104.23688,+1.1911e+06+464469j
2010-08-16 01:21:00 UTC,+1243514.02264,+1.24351e+06+485850j
2010-08-16 01:21:30 UTC,+1203360.26148,+1.20336e+06+469617j
2010-08-16 01:22:00 UTC,+1220031.81281,+1.22003e+06+475978j
2010-08-16 01:22:30 UTC,+1164513.60637,+1.16451e+06+453232j
2010-08-16 01:23:00 UTC,+1149463.22421,+1.14946e+06+447412j
2010-08-16 01:23:30 UTC,+1078610.27728,+1.07861e+06+419215j
2010-08-16 01:24:00 UTC,+1033927.73255,+1.03393e+06+401308j
2010-08-16 01:24:30 UTC,+980364.230486,+980364+379962j
2010-08-16 01:25:00 UTC,+925492.334935,+925492+358239j
2010-08-16 01:25:30 UTC,+1523746.72225,+1.52375e+06+598256j
2010-08-16 01:26:00 UTC,+1518925.97283,+1.51893e+06+597137j
2010-08-16 01:26:30 UTC,+1497973.1141,+1.49797e+06+588557j
2010-08-16 01:27:00 UTC,+1467230.83373,+1.46723e+06+575100j
2010-08-16 01:27:30 UTC,+1395251.44742,+1.39525e+06+545279j
2010-08-16 01:28:00 UTC,+1330147.88276,+1.33015e+06+519251j
2010-08-16 01:28:30 UTC,+1260387.7341,+1.26039e+06+491596j
2010-08-16 01:29:00 UTC,+1141083.6148,+1.14108e+06+443665j
2010-08-16 01:29:30 UTC,+1004386.55347,+1.00439e+06+389458j
2010-08-16 01:30:00 UTC,+957258.53327,+957259+370986j
