# file...... Output/Qh/house_Qh_file_024.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_5B_tm_2_B_5_Meter_48_461:Qh,house_2_6B_tm_2_B_6_Meter_48_462:Qh,house_2_7B_tm_2_B_7_Meter_48_463:Qh,house_2_8B_tm_2_B_8_Meter_48_464:Qh,house_2_9B_tm_2_B_9_Meter_48_465:Qh,house_2_10B_tm_2_B_10_Meter_48_466:Qh,house_2_11B_tm_2_B_11_Meter_48_467:Qh,house_2_12B_tm_2_B_12_Meter_48_468:Qh,house_2_13B_tm_2_B_13_Meter_48_469:Qh,house_2_14B_tm_2_B_14_Meter_48_470:Qh,house_2_15B_tm_2_B_15_Meter_48_471:Qh,house_2_16B_tm_2_B_16_Meter_48_472:Qh,house_2_17B_tm_2_B_17_Meter_48_473:Qh,house_2_18B_tm_2_B_18_Meter_48_474:Qh,house_2_19B_tm_2_B_19_Meter_48_475:Qh,house_2_20B_tm_2_B_20_Meter_48_476:Qh,house_2_21B_tm_2_B_21_Meter_48_477:Qh,house_2_22B_tm_2_B_22_Meter_48_478:Qh,house_2_23B_tm_2_B_23_Meter_48_479:Qh,house_2_24B_tm_2_B_24_Meter_48_480:Qh
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,-34711.2815991,+0,+0,+0,+0,+0,+0,+0,-21695.9709829,+0,-17356.4293022,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,-34716.1902544,+0,+0,+0,+0,+0,+0,+0,-21699.0391456,+0,-17358.8837732,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,-34694.7269946,+0,+0,+0,+0,+0,+0,+0,-21685.6235012,-43363.5405945,-17348.1515166,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43365.4769654,-17348.9262217,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43328.0192216,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43375.8259976,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43383.154275,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47715.961438,+0,-43376.362829,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47710.9461878,+0,-43371.8037626,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47691.482911,+0,-43354.1108524,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47677.5696515,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47684.8573068,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65009.085924,+0,-47681.0833852,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65019.8640864,+0,-47688.9889864,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65039.3131339,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65037.7475462,+0,+0,+0,+0,+0,+0,-43366.0779263,+0,+0
2010-08-16 00:32:00 UTC,-17356.1081135,+0,+0,+0,+0,+0,+0,+0,+0,-39046.3013336,-65064.7213772,+0,+0,+0,+0,+0,+0,-43384.0643826,+0,+0
2010-08-16 00:32:30 UTC,-17371.3281976,+0,+0,+0,+0,+0,+0,+0,+0,-39080.5411559,-65121.7738956,+0,+0,+0,+0,+0,+0,-43422.1076474,+0,+0
2010-08-16 00:33:00 UTC,-17362.6045769,+0,+0,+0,+0,+0,+0,+0,+0,-39060.9160853,-65089.0733836,+0,+0,+0,+0,+0,+0,-43400.3025762,-56411.5281604,+0
2010-08-16 00:33:30 UTC,-17372.4500421,+0,+0,+0,+0,+0,+0,+0,+0,-39083.0649105,+0,+0,+0,+0,+0,+0,+0,-43424.9117469,-56443.5137237,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39080.708314,+0,+0,+0,+0,+0,+0,+0,-43422.2933738,-56440.1105153,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39079.1783608,+0,+0,+0,+0,+0,+0,+0,-43420.5934697,-56437.9010792,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56464.9738432,+0,+0,+0,+0,+0,+0,-56447.2076513,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56429.8721539,+0,+0,+0,+0,+0,+0,-56427.3254914,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56410.6599839,+0,+0,+0,+0,+0,+0,-56408.1144646,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56393.7333179,+0,+0,+0,+0,+0,+0,-56391.1888059,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,-34697.3160014,+0,+0,+0,+0,+0,+0,+0,-56372.8870613,+0,-21687.0063929,+0,+0,+0,+0,-56370.3437901,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,-34700.3375488,+0,+0,+0,+0,+0,+0,+0,-56377.7959719,+0,-21688.8949975,+0,+0,-39034.3056064,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,-34668.4134538,+0,+0,+0,+0,+0,+0,+0,-56325.9309841,+0,-21668.9409852,+0,+0,-38998.3950664,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,-34678.0142727,+0,+0,+0,+0,+0,+0,+0,-56341.5288059,+0,-21674.941934,+0,+0,-39009.1947644,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,-34687.1586819,+0,+0,+0,-34687.2726821,+0,+0,+0,-56356.3851289,+0,-21680.657606,+0,+0,-39019.4810599,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,-34699.6207125,+0,+0,+0,-34699.7348169,+0,+0,+0,-56376.6313747,+0,+0,+0,+0,-39033.4992568,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,-34708.1288804,+0,+0,+0,-34708.2430559,+0,+0,+0,+0,+0,+0,+0,+0,-39043.0698619,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,-34710.9064298,+0,+0,+0,+0,+0,+0,+0,-17355.9962465,-39046.0657933,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,-34713.1353035,+0,+0,+0,+0,+0,+0,+0,-17357.1107284,-39048.5729714,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,-34717.8702776,+0,+0,+0,+0,+0,+0,+0,-17359.4783109,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,-34736.7014009,+0,+0,+0,+0,+0,+0,+0,-17368.8942521,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,-34715.2866129,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,-34728.31547,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,-34721.3539248,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,-34721.6238302,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56419.8151992
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,-34717.5504132,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56413.196288
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,-34704.2213043,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56391.537767
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,-56382.7074161,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56385.7174311
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,-56384.1269603,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56387.137073
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,-56345.5364211,+0,+0,+0,+0,+0,-47678.5313468,+0,+0,+0,+0,+0,+0,-56348.5438794
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,-17342.5198875,+0,-56355.5807582,+0,+0,+0,+0,+0,-47687.030736,+0,+0,+0,+0,+0,+0,-56358.5889074
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,-17357.4181854,+0,-56403.9922839,+0,+0,+0,+0,+0,-47727.995948,+0,+0,+0,+0,+0,+0,-56407.0037629
2010-08-16 00:49:30 UTC,+0,-52006.0459144,-30340.9051878,+0,-17338.2288778,+0,-56341.6372646,+0,+0,+0,+0,+0,-47675.2319305,+0,-43339.3380504,+0,+0,-43341.6464598,+0,-56344.6444546
2010-08-16 00:50:00 UTC,+0,-51989.3692952,-30331.1755556,+0,-17332.6688921,+0,-56323.5702754,+0,+0,+0,+0,+0,-47659.943876,+0,-43325.4405873,+0,+0,-43327.7480527,+0,-56326.5762225
2010-08-16 00:50:30 UTC,+0,-51980.6952943,-30326.1148872,+0,+0,+0,-56314.1731021,+0,+0,+0,+0,+0,-47651.9921084,+0,-43318.2121073,+0,+0,-43320.5190817,+0,+0
2010-08-16 00:51:00 UTC,+0,-51919.8582919,-30290.6207822,+0,+0,+0,-56248.2639719,+0,+0,+0,+0,+0,-47596.2206474,-21637.5991248,-43267.513583,+0,+0,-43269.8171128,+0,+0
2010-08-16 00:51:30 UTC,+0,-51980.3079073,-30325.8888743,+0,+0,+0,-56313.7534177,+0,+0,+0,+0,+0,+0,-21662.7926762,-43317.8892783,+0,+0,-43320.1962308,+0,+0
2010-08-16 00:52:00 UTC,-17343.766125,-52019.9269934,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21679.3046991,-43350.9058497,+0,+0,-43353.2150448,+0,+0
2010-08-16 00:52:30 UTC,-17350.1382052,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21687.2696066,-43366.8320599,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,-17342.7188345,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21677.9956175,-43348.2882792,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,-17343.3188256,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43349.7878812,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,-34703.9611606,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,-34675.9145086,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,-34661.7444448,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,-34667.9767976,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17334.5874869,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,-34679.839673,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17340.5192135,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,-34699.3053404,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17350.2525211,+0,+0,+0,+0
2010-08-16 00:59:30 UTC,+0,+0,+0,-34705.7717397,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17353.4858782,+0,+0,+0,+0
2010-08-16 01:00:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39086.625115,+0,+0,+0
2010-08-16 01:01:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39085.8343246,+0,+0,+0
2010-08-16 01:01:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65115.700529,+0,+0,+0,+0,+0,-39075.4031997,+0,+0,+0
2010-08-16 01:02:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65117.1876791,+0,+0,+0,+0,+0,-39076.2956588,+0,+0,+0
2010-08-16 01:02:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39030.3476757,-65038.1384028,-56369.9268036,+0,+0,+0,+0,-39028.8571123,+0,+0,+0
2010-08-16 01:03:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39007.9837089,-65000.8741754,-56337.6286305,+0,+0,+0,+0,-39006.4943415,+0,+0,+0
2010-08-16 01:03:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39009.9061863,-65004.0775264,-56340.4050838,+0,+0,+0,+0,-39008.4167161,+0,+0,+0
2010-08-16 01:04:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39008.8944112,-65002.3916439,-56338.9438721,+0,+0,+0,+0,+0,+0,-56336.4026216,+0
2010-08-16 01:04:30 UTC,+0,+0,+0,+0,+0,+0,+0,-34672.9670262,+0,-39004.8783554,-64995.6998431,-56333.1438607,+0,+0,+0,+0,+0,+0,-56330.6029556,+0
2010-08-16 01:05:00 UTC,+0,+0,+0,+0,+0,+0,+0,-34666.8966123,+0,-38998.049605,+0,-56323.2817394,+0,-21667.9217415,+0,+0,+0,+0,-56320.7414215,+0
2010-08-16 01:05:30 UTC,+0,+0,+0,+0,+0,-34662.8458575,+0,-34663.3358892,+0,-38994.0440645,+0,-56317.4969142,+0,-21665.6961461,+0,+0,+0,+0,-56314.9569408,+0
2010-08-16 01:06:00 UTC,+0,+0,+0,+0,+0,-34680.0796916,+0,-34680.4925569,+0,+0,+0,-56345.3699954,+0,-21676.4197546,+0,+0,+0,+0,-56343.1330934,+0
2010-08-16 01:06:30 UTC,+0,+0,+0,+0,+0,-34711.9138933,+0,-34712.3271909,+0,+0,+0,-56397.0892103,+0,-21696.3176831,+0,+0,+0,-43387.2356236,-56394.8497925,+0
