# file...... Output/Qh/house_Qh_file_022.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_9C_tm_2_C_9_Meter_47_421:Qh,house_2_10C_tm_2_C_10_Meter_47_422:Qh,house_2_11C_tm_2_C_11_Meter_47_423:Qh,house_2_12C_tm_2_C_12_Meter_47_424:Qh,house_2_13C_tm_2_C_13_Meter_47_425:Qh,house_2_14C_tm_2_C_14_Meter_47_426:Qh,house_2_15C_tm_2_C_15_Meter_47_427:Qh,house_2_1A_tm_2_A_1_Meter_48_428:Qh,house_2_2A_tm_2_A_2_Meter_48_429:Qh,house_2_3A_tm_2_A_3_Meter_48_430:Qh,house_2_4A_tm_2_A_4_Meter_48_431:Qh,house_2_5A_tm_2_A_5_Meter_48_432:Qh,house_2_6A_tm_2_A_6_Meter_48_433:Qh,house_2_7A_tm_2_A_7_Meter_48_434:Qh,house_2_8A_tm_2_A_8_Meter_48_435:Qh,house_2_9A_tm_2_A_9_Meter_48_436:Qh,house_2_10A_tm_2_A_10_Meter_48_437:Qh,house_2_11A_tm_2_A_11_Meter_48_438:Qh,house_2_12A_tm_2_A_12_Meter_48_439:Qh,house_2_13A_tm_2_A_13_Meter_48_440:Qh
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,-52118.6868052,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,-56397.8912433,+0,-52065.590952,+0,-47727.1202835,+0,+0,+0,-39093.2273522,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,-56368.1754488,+0,-52038.1570044,+0,-47701.9722663,+0,-52075.5388587,+0,-39059.7588001,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,-56363.5376324,+0,-52033.8753214,+0,-47698.0473541,+0,-52076.5006641,+0,-39060.4802269,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,-56391.47497,+0,-52059.6673782,+0,-47721.6902907,+0,-52073.1149758,+0,-39057.9407041,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,-47718.0558998,-56390.8783319,+0,-52059.1165554,+0,-47721.1853652,+0,-52065.2628663,+0,-39052.0510269,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,-47712.0826221,-56383.8194434,+0,-52052.599712,+0,-47715.211537,+0,-52080.2455195,+0,-39063.2891524,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,-47714.3321103,-56386.4777637,+0,-52055.0539028,+0,+0,+0,-52083.704598,+0,+0,+0,+0,+0,+0,-34723.2780968,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,-47727.6769594,-56402.247967,+0,-52069.6131272,+0,+0,+0,-52065.9975293,+0,+0,+0,+0,+0,+0,-34711.4731153,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,-47774.1463737,+0,+0,+0,+0,+0,+0,-52035.602074,+0,+0,+0,+0,+0,+0,-34691.2090166,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,-47760.7068648,+0,+0,+0,+0,+0,-21694.1239347,+0,+0,+0,+0,+0,+0,+0,-34708.8113696,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,-47748.2402332,+0,+0,+0,+0,+0,-21697.0910103,+0,+0,+0,+0,+0,+0,+0,-34713.5583612,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,-47711.7681142,+0,+0,+0,+0,+0,-21703.3340319,+0,+0,+0,+0,+0,+0,+0,-34723.5465026,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,-47744.3195268,+0,+0,+0,+0,+0,-21679.5120479,+0,+0,+0,+0,+0,+0,+0,-34685.4339733,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,-47742.7891192,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34697.3915252,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30364.10378,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30382.9389755,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30370.2451619,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30371.3971828,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30370.7591133,-34709.7016871,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34722.8235594,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34717.2860222,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34722.781469,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34729.1698433,+0
