# file...... Output/Qh/house_Qh_file_042.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3C_tm_3_C_3_Meter_73_821:Qh,house_3_4C_tm_3_C_4_Meter_73_822:Qh,house_3_5C_tm_3_C_5_Meter_73_823:Qh,house_3_6C_tm_3_C_6_Meter_73_824:Qh,house_3_7C_tm_3_C_7_Meter_73_825:Qh,house_3_8C_tm_3_C_8_Meter_73_826:Qh,house_3_9C_tm_3_C_9_Meter_73_827:Qh,house_3_10C_tm_3_C_10_Meter_73_828:Qh,house_3_11C_tm_3_C_11_Meter_73_829:Qh,house_3_12C_tm_3_C_12_Meter_73_830:Qh,house_3_13C_tm_3_C_13_Meter_73_831:Qh,house_3_14C_tm_3_C_14_Meter_73_832:Qh,house_3_15C_tm_3_C_15_Meter_73_833:Qh,house_3_1C_tm_3_C_1_Meter_74_834:Qh,house_3_2C_tm_3_C_2_Meter_74_835:Qh,house_3_3C_tm_3_C_3_Meter_74_836:Qh,house_3_4C_tm_3_C_4_Meter_74_837:Qh,house_3_5C_tm_3_C_5_Meter_74_838:Qh,house_3_6C_tm_3_C_6_Meter_74_839:Qh,house_3_7C_tm_3_C_7_Meter_74_840:Qh
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35094.777615,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,-17544.3668694,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35078.2367372,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,-17549.0488441,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,-17552.6705287,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21935.6625971
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,-17560.7408307,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21945.7460959
2010-08-16 00:21:30 UTC,+0,-61434.686823,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21938.2977118
2010-08-16 00:22:00 UTC,+0,-61436.4962475,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21938.5361116
2010-08-16 00:22:30 UTC,+0,-61412.2422172,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,-61435.7614357,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,-61406.9037132,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,-61381.8054726,+0,+0,-61382.9560782,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,-61354.3038701,+0,+0,-61355.4537744,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,-61310.3823445,+0,+0,-61311.5311283,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43779.5856939,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,-61378.0222127,+0,+0,+0,-17538.8049938,+0,+0,+0,+0,+0,+0,+0,-43828.3702598,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,-61377.8215376,+0,+0,+0,-17538.7476492,+0,+0,+0,+0,+0,+0,+0,-43826.0035592,+0,-43822.4719097,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,-61326.2891751,+0,+0,+0,-17524.0218343,+0,+0,+0,+0,+0,+0,+0,-43789.2165219,+0,-43785.6887499,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,-61329.0929115,+0,+0,+0,-17524.823026,+0,+0,+0,+0,+0,+0,+0,-43796.691749,+0,-43793.163189,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,-61342.2383542,+0,+0,+0,+0,+0,-21910.4174032,+0,+0,+0,+0,+0,-43805.4823212,+0,-43801.9528346,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21909.0006749,+0,+0,+0,+0,+0,-43799.2146282,+0,-43795.6858022,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56973.0449836,+0,+0,-21914.3823443,+0,+0,+0,+0,+0,-43811.7208258,+0,-43808.1906816,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56978.997468,+0,+0,-21916.6719755,+0,+0,+0,+0,-43816.1256128,+0,+0,-43812.7665793,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,-57006.8344938,+0,+0,+0,+0,+0,+0,+0,-43836.573563,+0,+0,-43833.2125638,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,-57002.9445604,+0,+0,+0,+0,+0,+0,+0,-43832.4430635,+0,+0,-43829.0824616,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,-57040.8845727,+0,+0,+0,+0,+0,+0,+0,-43864.6505182,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56992.099589,+0,+0,+0,+0,+0,+0,+0,-43825.6775204,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56963.3406846,+0,+0,+0,+0,+0,+0,+0,-43805.3578117,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56889.8779263,+0,+0,+0,+0,+0,+0,+0,-43746.2167779,+0,+0,+0,-21875.8260389
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56949.6160578,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21900.4717069
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21896.0287577
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21894.5339415
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26264.1205178,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26292.6509949,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30693.5853984,+0,-26302.2264949,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,-17524.4624588,+0,+0,+0,+0,-30665.2217287,+0,-26277.5806297,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,-17504.2426259,+0,+0,+0,+0,-30629.8408968,+0,-26246.3376786,-30622.2928644,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,-17500.1522854,+0,+0,+0,+0,-30622.6835851,+0,-26237.0324052,-30611.4359747,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,-17498.8697113,+0,+0,+0,+0,-30620.4393264,-52488.6947882,+0,-30609.9401695,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30650.3479419,-52539.9628307,+0,-30640.6884015,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52585.6775155,+0,-30666.9366562,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,-52553.778564,+0,+0,-17520.8414972,+0,+0,+0,-52555.7122839,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,-61242.8294017,+0,+0,+0,-52492.7672618,+0,+0,-17500.5002692,+0,+0,+0,-52494.6981068,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,-61294.8223098,+0,+0,+0,-52537.331616,+0,+0,-17515.3580685,+0,+0,+0,-52539.2645609,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,-61313.4562542,+0,+0,+0,-52553.3032114,+0,+0,-17520.6830142,+0,+0,+0,-52555.2369089,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,-61318.1538236,+0,+0,+0,-52557.3296096,+0,+0,+0,+0,-21902.2250072,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,-61356.5690776,+0,+0,+0,-52590.2562343,+0,+0,+0,+0,-21915.9469812,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,-61282.474432,+0,-52525.2906997,+0,-52526.7479572,+0,+0,+0,+0,-21889.4802868,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,-61308.2293504,+0,-52547.3650177,+0,-52548.8231083,+0,+0,+0,+0,-21898.679974,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,-61291.2405338,+0,-52532.8040495,+0,-52534.2615907,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21885.4470788
2010-08-16 00:43:30 UTC,+0,+0,+0,-52575.9309232,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21903.3408032
2010-08-16 00:44:00 UTC,+0,+0,+0,-52542.1674711,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21889.2773857
2010-08-16 00:44:30 UTC,+0,+0,+0,-52518.3973503,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21879.7030986
2010-08-16 00:45:00 UTC,+0,+0,+0,-52519.1913117,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,-52567.0398743,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,-52569.3292782,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39431.3369611,+0,+0,+0,+0,+0,-43803.1658061,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39460.5292064,+0,+0,+0,+0,+0,-43835.259004,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39411.5510183,+0,+0,+0,+0,+0,-43776.8387421,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,-61271.0876089,+0,+0,+0,+0,-39388.8492869,+0,+0,+0,+0,+0,-43750.2424932,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,-61284.0999356,+0,+0,+0,+0,-39397.2144196,+0,+0,+0,+0,+0,-43759.5315329,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,-61233.07606,+0,+0,+0,+0,-39364.4130997,+0,+0,+0,+0,+0,-43721.9218083,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,-61243.2809198,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43727.8611341,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,-61316.3105838,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,-61309.3743458,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43775.2091366,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,-61308.45797,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43775.7991926,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,-61340.1112222,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43799.2076413,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,-17533.5030532,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43815.413584,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+0,-17531.761399,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43811.0624004,+0,+0,+0
