# file...... Output/Qh/house_Qh_file_032.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_10A_tm_0_A_10_Meter_53_621:Qh,house_0_11A_tm_0_A_11_Meter_53_622:Qh,house_0_12A_tm_0_A_12_Meter_53_623:Qh,house_0_13A_tm_0_A_13_Meter_53_624:Qh,house_0_14A_tm_0_A_14_Meter_53_625:Qh,house_0_15A_tm_0_A_15_Meter_53_626:Qh,house_0_1A_tm_0_A_1_Meter_55_627:Qh,house_0_2A_tm_0_A_2_Meter_55_628:Qh,house_0_3A_tm_0_A_3_Meter_55_629:Qh,house_0_4A_tm_0_A_4_Meter_55_630:Qh,house_0_5A_tm_0_A_5_Meter_55_631:Qh,house_0_6A_tm_0_A_6_Meter_55_632:Qh,house_0_7A_tm_0_A_7_Meter_55_633:Qh,house_0_8A_tm_0_A_8_Meter_55_634:Qh,house_0_1B_tm_0_B_1_Meter_56_635:Qh,house_0_2B_tm_0_B_2_Meter_56_636:Qh,house_0_3B_tm_0_B_3_Meter_56_637:Qh,house_0_4B_tm_0_B_4_Meter_56_638:Qh,house_0_5B_tm_0_B_5_Meter_56_639:Qh,house_0_6B_tm_0_B_6_Meter_56_640:Qh
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17386.8080314,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17383.689932,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34759.5727107,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34738.1020192,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34715.1517253,+0,-56398.4220158,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34733.3826291,+0,-56428.0381641,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34726.4359297,+0,-56416.7532343,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56420.0645468,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56408.0477081,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56400.9392279,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56367.4554624,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56423.70398,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,-26080.5809,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56427.7012332,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,-26076.7153616,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52126.0486183,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,-26075.1451797,+0,-69516.9182424,+0,+0,+0,+0,+0,+0,+0,+0,-52124.0196801,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,-26072.0958319,+0,-69508.7891074,+0,+0,+0,+0,+0,-26062.1804823,+0,+0,-52115.9419357,+0,-30367.2616375,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,-26080.5441747,+0,-69531.3112076,+0,-39102.0241798,+0,+0,+0,-26070.3245146,+0,+0,-52132.2265807,+0,-30351.6215059,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,-69510.7846309,+0,-39085.909281,+0,-52108.281986,-17373.1833328,-26059.5799774,+0,+0,-52110.7420184,+0,-30352.1418472,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,-60820.6489476,+0,+0,+0,-69499.2162312,+0,-39081.2703957,+0,-52102.0977017,-17371.1213488,-26056.4870215,+0,+0,-52104.5574047,+0,-30352.7480874,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,-60796.7267585,+0,+0,+0,-69471.8815436,+0,-39066.7794338,+0,-52082.7792197,-17364.6801174,+0,+0,+0,-52085.237893,+0,-30354.7878511,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,-60814.3592421,+0,+0,+0,-69492.0292995,+0,-39078.601947,+0,-52098.5402856,-17369.9352236,+0,+0,+0,-52100.9997991,+0,-30360.0733048,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,-60831.1051116,+0,+0,+0,+0,+0,-39089.1477733,+0,-52112.5993494,+0,+0,+0,+0,-52115.0596121,+0,-30357.0431923,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,-60844.3757955,-52151.0817862,+0,+0,+0,+0,-39101.5063044,+0,-52129.0750024,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
