# file...... Output/Qh/house_Qh_file_009.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_8A_tm_0_A_8_Meter_20_161:Qh,house_0_9A_tm_0_A_9_Meter_20_162:Qh,house_0_10A_tm_0_A_10_Meter_20_163:Qh,house_0_11A_tm_0_A_11_Meter_20_164:Qh,house_0_12A_tm_0_A_12_Meter_20_165:Qh,house_0_13A_tm_0_A_13_Meter_20_166:Qh,house_0_14A_tm_0_A_14_Meter_20_167:Qh,house_0_15A_tm_0_A_15_Meter_20_168:Qh,house_1_1B_tm_1_B_1_Meter_22_169:Qh,house_1_2B_tm_1_B_2_Meter_22_170:Qh,house_1_3B_tm_1_B_3_Meter_22_171:Qh,house_1_4B_tm_1_B_4_Meter_22_172:Qh,house_1_5B_tm_1_B_5_Meter_22_173:Qh,house_1_6B_tm_1_B_6_Meter_22_174:Qh,house_1_7B_tm_1_B_7_Meter_22_175:Qh,house_1_8B_tm_1_B_8_Meter_22_176:Qh,house_1_9B_tm_1_B_9_Meter_22_177:Qh,house_1_10B_tm_1_B_10_Meter_22_178:Qh,house_1_11B_tm_1_B_11_Meter_22_179:Qh,house_1_12B_tm_1_B_12_Meter_22_180:Qh
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43384.2734391,+0,+0,+0,+0,-47724.0889603,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,-60783.3640965,+0,+0,+0,+0,+0,-43392.42413,+0,+0,+0,+0,-47733.0550524,+0,+0,+0,-21698.8255052
2010-08-16 00:31:30 UTC,-21712.5213465,-39080.0874998,+0,+0,-60784.4996267,+0,+0,+0,+0,+0,-43390.7854864,+0,+0,+0,+0,-47731.2524777,+0,+0,+0,-21698.0060605
2010-08-16 00:32:00 UTC,-21718.0993529,-39090.1271669,+0,+0,-60800.1146799,+0,+0,+0,+0,+0,-43413.1175006,+0,+0,+0,+0,+0,+0,+0,+0,-21709.1737434
2010-08-16 00:32:30 UTC,-21698.5938996,-39055.0199544,+0,+0,-60745.5111779,+0,+0,+0,+0,+0,-43445.1711158,+0,+0,+0,+0,+0,+0,+0,+0,-21725.202956
2010-08-16 00:33:00 UTC,-21704.9042832,-39066.3778026,+0,+0,-60763.1764447,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,-39070.5839394,+0,+0,-60769.7183997,+0,+0,+0,+0,+0,+0,-65170.9047251,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,-39084.4641908,+0,+0,-60791.3068507,+0,+0,+0,+0,+0,+0,-65176.2605967,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65168.94854,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65165.8371755,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,-39082.3464559,+0,+0,+0,+0,-21716.2195706,+0,+0,+0,-65141.2838045,+0,+0,+0,+0,-30402.2147742,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,-39089.8275846,+0,+0,+0,+0,-21720.3766845,+0,+0,+0,-65126.41822,+0,+0,+0,+0,-30395.2766905,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,-39093.527157,+0,+0,+0,+0,-21722.4324633,+0,+0,+0,-65118.8838941,+0,+0,+0,+0,-30391.7602606,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,-39100.1379703,+0,+0,+0,+0,-21726.1059602,+0,+0,+0,+0,+0,+0,+0,+0,-30389.1163515,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,-39101.7204476,+0,+0,-30416.1817663,+0,-21726.9853113,+0,+0,+0,+0,+0,+0,+0,+0,-30384.0535742,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,-39115.4340622,+0,+0,-30426.8496062,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30360.9686712,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,-39110.1684657,+0,+0,-30422.7534914,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,-30421.4063732,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,-30428.3117426,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43400.7313177,-52079.9707435,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43390.9167716,-52068.1935724,+0,+0,+0,-26038.9140246,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43413.6545733,-52095.4782759,-52093.200565,+0,+0,-26052.559583,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43397.3931704,-52075.9650633,-52073.6885148,+0,+0,-26042.8006835,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43413.7751173,-52095.6229253,-52093.345206,+0,+0,-26052.6319245,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43395.4925237,-52073.6843424,-52071.4079299,+0,+0,-26041.6600548,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52083.442993,-52081.1659992,+0,+0,-26046.5405269,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,-39088.8635256,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52106.9722796,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,-39079.2894065,+0,+0,+0,+0,+0,+0,-43419.8242118,+0,+0,+0,-52096.4086837,+0,+0,+0,+0,-21712.5276023
