# file...... Output/Qh/house_Qh_file_060.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_103_1181:Qh,house_3_1C_tm_3_C_1_Meter_104_1182:Qh,house_3_2C_tm_3_C_2_Meter_104_1183:Qh,house_3_3C_tm_3_C_3_Meter_104_1184:Qh,house_3_4C_tm_3_C_4_Meter_104_1185:Qh,house_3_5C_tm_3_C_5_Meter_104_1186:Qh,house_3_6C_tm_3_C_6_Meter_104_1187:Qh,house_3_7C_tm_3_C_7_Meter_104_1188:Qh,house_3_8C_tm_3_C_8_Meter_104_1189:Qh,house_3_9C_tm_3_C_9_Meter_104_1190:Qh,house_3_10C_tm_3_C_10_Meter_104_1191:Qh,house_3_11C_tm_3_C_11_Meter_104_1192:Qh,house_3_12C_tm_3_C_12_Meter_104_1193:Qh,house_3_13C_tm_3_C_13_Meter_104_1194:Qh,house_3_14C_tm_3_C_14_Meter_104_1195:Qh,house_3_15C_tm_3_C_15_Meter_104_1196:Qh,house_3_1B_tm_3_B_1_Meter_106_1197:Qh,house_3_2B_tm_3_B_2_Meter_106_1198:Qh,house_3_3B_tm_3_B_3_Meter_106_1199:Qh,house_3_4B_tm_3_B_4_Meter_106_1200:Qh
2010-08-16 00:28:30 UTC,+0,+0,+0,-26286.8864871,+0,+0,+0,-39429.677689,+0,+0,+0,+0,+0,+0,+0,+0,-17481.3517496,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,-26292.4047946,+0,+0,+0,-39437.9549501,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,-39451.1167213,+0,+0,-21918.2824684,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,-39451.25732,+0,+0,-21918.3605835,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,-57035.8716888,+0,+0,+0,+0,+0,+0,+0,+0,-21934.9182779,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,-56974.7702778,+0,+0,+0,+0,+0,+0,+0,+0,-21915.1608535,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,-56916.6986837,+0,+0,-61289.0089947,+0,+0,+0,+0,+0,+0,-61289.6374999,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,-21875.1720067,-56839.2152465,+0,+0,-61205.5754022,+0,+0,+0,+0,+0,+0,-61206.2029058,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,-21894.3927173,-56889.9115066,+0,+0,-61260.1647597,+0,+0,+0,+0,+0,+0,-61260.7929187,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,-21891.0048502,-56881.111598,+0,+0,-61250.6890832,+0,+0,+0,+0,+0,+0,-61251.3171285,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,-21890.1286804,-56878.372615,+0,+0,-61247.7397664,+0,+0,+0,+0,+0,+0,-61248.3677763,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,-21888.0449871,-56872.9603551,+0,+0,-61241.9118852,+0,+0,+0,+0,+0,+0,-61242.5398251,+0,+0,+0,+0,+0,+0,-35049.7663343,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,-61246.3362714,+0,+0,+0,+0,+0,+0,-61246.9642643,+0,+0,-30628.3012134,+0,+0,+0,-35033.1778934,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,-61281.1091476,+0,+0,+0,-56903.1985748,+0,+0,-61281.737558,+0,-52527.01333,-30645.6912408,+0,+0,+0,-35021.3312676,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-56943.8348918,+0,+0,+0,+0,-52564.5246692,-30667.5773012,+0,+0,+0,-35007.6053959,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-56883.9716668,+0,+0,+0,+0,-52509.2649926,-30635.3359406,-52513.1577219,+0,+0,-34997.9802903,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,-56812.7205159,+0,+0,-56811.8452122,+0,+0,+0,+0,-52442.6851418,+0,-52446.5715604,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,-56810.7695695,+0,+0,-56809.8942973,+0,+0,+0,+0,-52440.8842545,+0,-52444.7705023,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,-56810.2270772,+0,+0,-56809.3518138,+0,+0,+0,+0,-52440.3834885,+0,-52444.2696888,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,-56862.2297855,-17499.2447805,+0,-56861.3536819,+0,+0,+0,+0,-52488.3863557,+0,-52492.2771064,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,-56911.9801112,-17514.5561098,+0,-56911.1032037,+0,+0,+0,+0,-52534.3100842,+0,-52538.2051867,+0,-21842.2803454,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,-56885.5476733,-17506.4211729,+0,-56884.671193,+0,+0,+0,+0,-52509.9107244,+0,-52513.8035148,+0,-21850.5181929,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,-56851.174572,-17495.8423902,+0,-56850.2986471,+0,+0,+0,+0,+0,+0,+0,+0,-21868.9046684,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,-56909.3592803,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21875.3414877,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,-56926.7224096,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,-26268.5341506,+0,-56906.871247,+0,+0,+0,-65654.480912,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,-26289.7046748,+0,+0,+0,+0,+0,-65707.3906508,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,-26260.8202771,+0,+0,+0,+0,+0,-65635.2022647,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,-26273.7139247,+0,+0,+0,+0,+0,-65667.4262915,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,-21898.3787588,+0,+0,-26265.2568287,+0,+0,+0,+0,+0,-65646.2901694,-21888.3458238,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,-21913.7184917,+0,+0,+0,+0,+0,+0,+0,+0,-65695.7201933,-21904.8282458,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,-21897.7061305,+0,+0,+0,+0,+0,+0,+0,+0,-65640.8158184,-21886.5204029,+0,-52524.2164309,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,-21887.2151378,+0,+0,+0,+0,+0,+0,+0,+0,-65610.4485223,-21876.3944397,+0,-52499.9161187,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,-21891.1054514,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52518.4666357,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52565.7951327,+0,+0,+0,-17507.4380956,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52564.3504265,+0,+0,+0,-17511.774957,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52556.0662473,+0,+0,+0,-17511.5833505,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52590.9035617,+0,+0,+0,-17508.9173798,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52521.4286674,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52493.2404445,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52500.8664123,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,-17506.5315921,-39387.633384,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,-17519.2554632,-39416.2601712,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,-17521.7827703,-39421.9462304,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+0,-17519.6810511,-39417.2176799,+0,+0,+0,+0,+0,+0,-30658.9170119,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,-57013.7330445,+0,+0,+0,+0,+0,-39472.4734079,+0,+0,+0,+0,+0,+0,-30701.895706,+0,+0,+0,+0,+0
