# file...... Output/Qh/house_Qh_file_044.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13C_tm_3_C_13_Meter_75_861:Qh,house_3_14C_tm_3_C_14_Meter_75_862:Qh,house_3_15C_tm_3_C_15_Meter_75_863:Qh,house_3_1A_tm_3_A_1_Meter_76_864:Qh,house_3_2A_tm_3_A_2_Meter_76_865:Qh,house_3_3A_tm_3_A_3_Meter_76_866:Qh,house_3_4A_tm_3_A_4_Meter_76_867:Qh,house_3_5A_tm_3_A_5_Meter_76_868:Qh,house_3_6A_tm_3_A_6_Meter_76_869:Qh,house_3_7A_tm_3_A_7_Meter_76_870:Qh,house_3_8A_tm_3_A_8_Meter_76_871:Qh,house_3_9A_tm_3_A_9_Meter_76_872:Qh,house_3_10A_tm_3_A_10_Meter_76_873:Qh,house_3_11A_tm_3_A_11_Meter_76_874:Qh,house_3_12A_tm_3_A_12_Meter_76_875:Qh,house_3_13A_tm_3_A_13_Meter_76_876:Qh,house_3_14A_tm_3_A_14_Meter_76_877:Qh,house_3_15A_tm_3_A_15_Meter_76_878:Qh,house_3_16A_tm_3_A_16_Meter_76_879:Qh,house_3_17A_tm_3_A_17_Meter_76_880:Qh
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-43871.0531256,+0,+0,+0,-13162.4017893,+0,+0,-57021.5280896,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13159.2613094,+0,+0,-57007.9240036,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,-21897.7147509,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13158.1922945,+0,+0,-57003.2931919,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,-21904.7026446,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13157.610687,+0,+0,-57000.7737556,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,-21906.9904905,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,-21917.2130264,+0,+0,+0,+0,+0,+0,-17545.0866245,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26315.6440976,+0
2010-08-16 00:30:00 UTC,-21914.2887241,+0,+0,+0,+0,+0,+0,-17547.3282414,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26319.0061819,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,-17537.8344298,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26304.7669077,+0
2010-08-16 00:31:00 UTC,+0,+0,-39435.2843084,+0,+0,+0,+0,-17546.587362,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26317.8949754,+0
2010-08-16 00:31:30 UTC,+0,+0,-39419.431369,+0,+0,+0,-35097.6069127,+0,+0,+0,+0,+0,+0,+0,-52638.6319516,+0,+0,+0,-26323.6910655,+0
