# file...... Output/Qh/house_Qh_file_054.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_9B_tm_3_B_9_Meter_90_1061:Qh,house_3_10B_tm_3_B_10_Meter_90_1062:Qh,house_3_11B_tm_3_B_11_Meter_90_1063:Qh,house_3_12B_tm_3_B_12_Meter_90_1064:Qh,house_3_13B_tm_3_B_13_Meter_90_1065:Qh,house_3_14B_tm_3_B_14_Meter_90_1066:Qh,house_3_15B_tm_3_B_15_Meter_90_1067:Qh,house_3_1C_tm_3_C_1_Meter_92_1068:Qh,house_3_2C_tm_3_C_2_Meter_92_1069:Qh,house_3_3C_tm_3_C_3_Meter_92_1070:Qh,house_3_4C_tm_3_C_4_Meter_92_1071:Qh,house_3_5C_tm_3_C_5_Meter_92_1072:Qh,house_3_6C_tm_3_C_6_Meter_92_1073:Qh,house_3_7C_tm_3_C_7_Meter_92_1074:Qh,house_3_8C_tm_3_C_8_Meter_92_1075:Qh,house_3_9C_tm_3_C_9_Meter_92_1076:Qh,house_3_10C_tm_3_C_10_Meter_92_1077:Qh,house_3_11C_tm_3_C_11_Meter_92_1078:Qh,house_3_12C_tm_3_C_12_Meter_92_1079:Qh,house_3_13C_tm_3_C_13_Meter_92_1080:Qh
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,-17479.9410933,+0,+0,+0,-26304.007425,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-26299.7203434,+0,-65758.3153403,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65750.5612873,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,-56825.0689635,+0,+0,+0,+0,+0,+0,+0,-65735.1572306,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,-56748.1809151,+0,+0,+0,+0,+0,+0,+0,-65745.3988133,+0,+0,+0,+0,+0,-43830.9076641,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,-56692.480993,+0,+0,+0,+0,+0,+0,+0,-65743.7551779,+0,+0,+0,+0,+0,-43829.8118915,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,-56684.5745108,+0,+0,+0,+0,+0,+0,+0,-65782.6074579,+0,+0,+0,+0,+0,-43855.7137827,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,-56668.5033283,+0,+0,+0,+0,+0,+0,+0,-65784.5284618,+0,+0,+0,+0,+0,-43856.9944702,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,-56675.5843774,+0,+0,+0,+0,+0,+0,+0,-65815.479501,+0,-48262.692875,+0,+0,+0,-43877.6287922,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,-56698.3146266,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48216.8758423,+0,+0,+0,-43835.9739513,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,-56690.6746309,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48200.6021964,+0,+0,+0,-43821.1786645,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,-56730.9650358,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48144.117852,+0,+0,+0,-43769.825569,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48187.5445057,+0,+0,+0,-43809.3071834,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56936.2534491,-48181.4568983,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56929.2614025,-48175.5398621,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56922.1057667,-48169.484388,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56908.4994672,+0,-21892.4515107,+0,-61293.5452762,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56972.9649795,+0,-21917.2523847,+0,-61362.9803683,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56992.8353128,+0,-21924.8968076,+0,-61384.3824852,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,-34958.5777875,-48180.1133097,+0,+0,+0,-56935.4710044,+0,-21902.8278762,+0,-61322.596022,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,-34991.2558348,-48122.5295984,+0,+0,+0,-56867.4247388,+0,+0,+0,-61249.3041379,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,-34962.9188181,-48126.915168,+0,+0,+0,+0,+0,+0,+0,-61254.8860405,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,-26212.6956541,+0,+0,-34947.6996673,-48128.3521539,+0,+0,+0,+0,+0,+0,+0,-61256.7150195,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,-26171.6823857,+0,+0,-34893.0206541,-48176.2384622,-26280.5774622,+0,+0,+0,+0,+0,+0,-61317.6641608,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,-26180.0180548,+0,+0,-34904.133793,-48226.1571789,-26307.8091715,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,-26194.1184937,-17463.2944735,+0,+0,-48195.4058876,-26291.0336956,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,-26223.4127049,-17482.8246919,+0,+0,+0,-26258.234792,+0,+0,+0,+0,+0,+0,+0,+0,-35009.2127041,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,-17487.8839408,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35040.4545233,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,-17482.1236433,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35053.167634,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35052.7485588,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35076.6335116,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35037.1179588,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56970.9723557,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56951.355836,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43835.6840749,+0,-56986.0223836,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43803.9031744,+0,-56944.7074733,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43784.9721617,+0,-56920.0973118,+0
2010-08-16 00:45:00 UTC,+0,-30608.3378328,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43782.8517573,+0,-56917.3408035,+0
2010-08-16 00:45:30 UTC,+0,-30612.988911,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43815.5180548,+0,-56959.8067227,+0
