# file...... Output/Qh/house_Qh_file_013.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_13C_tm_1_C_13_Meter_30_241:Qh,house_1_14C_tm_1_C_14_Meter_30_242:Qh,house_1_15C_tm_1_C_15_Meter_30_243:Qh,house_1_1C_tm_1_C_1_Meter_31_244:Qh,house_1_2C_tm_1_C_2_Meter_31_245:Qh,house_1_3C_tm_1_C_3_Meter_31_246:Qh,house_1_4C_tm_1_C_4_Meter_31_247:Qh,house_1_5C_tm_1_C_5_Meter_31_248:Qh,house_1_6C_tm_1_C_6_Meter_31_249:Qh,house_1_7C_tm_1_C_7_Meter_31_250:Qh,house_1_8C_tm_1_C_8_Meter_31_251:Qh,house_1_1C_tm_1_C_1_Meter_32_252:Qh,house_1_2C_tm_1_C_2_Meter_32_253:Qh,house_1_3C_tm_1_C_3_Meter_32_254:Qh,house_1_4C_tm_1_C_4_Meter_32_255:Qh,house_1_5C_tm_1_C_5_Meter_32_256:Qh,house_1_6C_tm_1_C_6_Meter_32_257:Qh,house_1_7C_tm_1_C_7_Meter_32_258:Qh,house_1_8C_tm_1_C_8_Meter_32_259:Qh,house_1_1A_tm_1_A_1_Meter_33_260:Qh
2010-08-16 00:35:00 UTC,+0,-43400.2045776,+0,+0,+0,+0,+0,-39153.6614912,-47853.7199007,+0,+0,-26105.0926576,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,-43404.5381461,+0,+0,+0,-39155.6885838,+0,-39155.0626009,-47855.4323344,+0,+0,-26106.6214944,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,-43402.1925579,+0,+0,+0,-39154.3934763,+0,-39153.7675185,+0,+0,+0,-26105.0312438,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,-43387.7328756,+0,+0,+0,-39141.2502833,+0,-39140.6245795,+0,+0,+0,-26096.2682643,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,-39149.7282025,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,-39134.1426857,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43480.785495,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,-39153.9836662,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43502.8293369,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43517.3889558,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13049.5835424,+0,-43493.3271805,-26097.357581,-56615.7261941
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13043.0893492,+0,-43471.6831904,-26084.3703146,-56625.0725664
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52167.3118012,-13043.5946307,+0,-43473.3672038,-26085.3807905,-56598.4119317
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52165.2694986,-13043.0839677,+0,-43471.6652551,-26084.3595527,-56597.4747007
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52166.8112543,+0,+0,-43472.9500741,-26085.1304958,-56597.1259363
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52183.5468583,+0,+0,+0,+0,-56585.2364462
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52161.5867224,+0,+0,+0,+0,-56564.8907753
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52171.7558761,+0,+0,+0,+0,-56589.5101375
2010-08-16 00:43:00 UTC,+0,+0,+0,-21744.3630377,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52176.067775,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,-21749.5557452,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,-21737.0083802,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21735.0536398,+0,+0,+0,+0,+0,+0
