# file...... Output/Qh/house_Qh_file_053.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_4A_tm_3_A_4_Meter_88_1041:Qh,house_3_5A_tm_3_A_5_Meter_88_1042:Qh,house_3_6A_tm_3_A_6_Meter_88_1043:Qh,house_3_7A_tm_3_A_7_Meter_88_1044:Qh,house_3_8A_tm_3_A_8_Meter_88_1045:Qh,house_3_9A_tm_3_A_9_Meter_88_1046:Qh,house_3_10A_tm_3_A_10_Meter_88_1047:Qh,house_3_11A_tm_3_A_11_Meter_88_1048:Qh,house_3_12A_tm_3_A_12_Meter_88_1049:Qh,house_3_13A_tm_3_A_13_Meter_88_1050:Qh,house_3_14A_tm_3_A_14_Meter_88_1051:Qh,house_3_15A_tm_3_A_15_Meter_88_1052:Qh,house_3_1B_tm_3_B_1_Meter_90_1053:Qh,house_3_2B_tm_3_B_2_Meter_90_1054:Qh,house_3_3B_tm_3_B_3_Meter_90_1055:Qh,house_3_4B_tm_3_B_4_Meter_90_1056:Qh,house_3_5B_tm_3_B_5_Meter_90_1057:Qh,house_3_6B_tm_3_B_6_Meter_90_1058:Qh,house_3_7B_tm_3_B_7_Meter_90_1059:Qh,house_3_8B_tm_3_B_8_Meter_90_1060:Qh
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17512.1873142,+0,-17512.0348963,-65569.162433,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17514.9184248,+0,-17514.765971,-65520.8381856,+0,+0,+0,+0,-61155.9261859,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,-52527.7030734,+0,+0,+0,-17513.1569489,+0,-17513.0045183,-65585.5296147,+0,+0,+0,+0,-61216.308724,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,-52522.0802216,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61286.9684011,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,-52496.9619233,+0,+0,+0,+0,+0,+0,+0,+0,-26257.0245678,+0,+0,-61253.4683575,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,-52518.4756646,+0,+0,+0,+0,+0,+0,+0,+0,-26247.1473255,+0,+0,-61230.4274369,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,-52503.6814956,+0,+0,+0,+0,-39383.9292466,+0,+0,+0,-26231.3850497,-52453.2056422,+0,-61193.6583357,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,-52510.1429877,+0,+0,+0,+0,-39388.7763022,+0,+0,+0,-26220.4274025,-52431.2952335,+0,-61168.097124,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,-52515.3937192,+0,+0,+0,+0,-39392.7151131,+0,+0,+0,+0,-52480.3051011,+0,+0,+0,-52495.2086278
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39405.9922151,+0,+0,+0,+0,-52437.8058227,+0,+0,-21853.6382984,-52439.3265437
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39400.4279557,+0,+0,+0,+0,-52414.9804517,+0,+0,-21844.1253118,-52416.5003737
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39448.2515196,+0,+0,+0,+0,-52332.9739871,-21810.6230022,+0,-21809.9472728,-52334.4910382
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,-35052.3541021,+0,+0,+0,+0,+0,-39436.8839507,+0,+0,+0,+0,-52349.6412453,-21817.5697348,+0,-21816.8937278,-52351.15888
2010-08-16 00:39:00 UTC,+0,-43829.3188391,+0,+0,-35056.8896475,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21829.3206785,+0,+0,-52379.3538433
2010-08-16 00:39:30 UTC,+0,-43821.1711444,+0,+0,-35055.440124,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21853.7337215,+0,+0,-52437.9299814
2010-08-16 00:40:00 UTC,+0,-43787.1551417,+0,+0,-35028.2287893,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52453.1039675
2010-08-16 00:40:30 UTC,+0,-43786.0162079,+0,+0,-35027.3176914,+0,-52542.2474999,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52435.8273565
2010-08-16 00:41:00 UTC,+0,-43818.1955074,+0,+0,-35053.0597427,+0,-52580.8619036,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,-43789.8502705,+0,+0,+0,+0,-52546.8482852,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,-43775.9305505,+0,+0,+0,+0,-52530.1449479,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,-52586.8548441,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,-61300.7037395,+0,+0,-52550.5381065,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,-61386.8152469,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,-61348.7690968,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,-61332.4901532,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,-61335.7674324,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,-61271.1724964,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17520.1647232,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17517.9679176,+0,+0,-26241.195915,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17511.8291529,+0,+0,-26237.3363278,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17511.3317855,+0,+0,-26236.4695339,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26192.8720442,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17489.6763613,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17515.6027429,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17499.232321,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17475.4252938,+0,+0,+0,+0,+0,+0,-21844.8342045,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21830.7108365,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,-48132.6092933,+0,+0,+0,+0,+0,+0,+0,+0,-21797.0516056,+0,+0,+0
2010-08-16 00:51:30 UTC,-61155.8549575,+0,+0,+0,+0,+0,+0,-48050.4973108,-52422.1442102,+0,+0,+0,+0,+0,+0,+0,-21843.1790594,+0,+0,+0
2010-08-16 00:52:00 UTC,-61188.4136693,+0,+0,+0,+0,+0,+0,-48076.0788493,-52450.0535513,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,-61205.2750584,+0,+0,+0,+0,+0,+0,-48089.3269249,-52464.5071408,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,-61265.9321111,+0,+0,+0,+0,+0,+0,-48136.9854668,-52516.5023903,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21808.2844815,+0
2010-08-16 00:53:30 UTC,-61292.8016605,+0,+0,+0,+0,+0,+0,-48158.0970027,-52539.5349784,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21791.0450973,+0
2010-08-16 00:54:00 UTC,-61326.967119,+0,+0,+0,+0,+0,+0,-48184.9409699,-52568.8216219,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21816.6044036,+0
2010-08-16 00:54:30 UTC,-61372.8940094,+0,+0,+0,+0,+0,+0,-48221.0259512,-52608.1901699,+0,+0,+0,+0,+0,+0,+0,+0,-61049.6474373,-21808.6091167,+0
2010-08-16 00:55:00 UTC,-61383.5580958,+0,+0,+0,+0,+0,+0,-48229.4047758,-52617.3314289,+0,+0,+0,+0,+0,+0,+0,+0,-61158.6693725,+0,+0
2010-08-16 00:55:30 UTC,-61405.4396564,+0,+0,+0,+0,+0,+0,+0,-52636.0883103,+0,+0,+0,+0,+0,+0,+0,+0,-61099.8639079,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52586.2680313,+0,+0,+0,+0,+0,+0,+0,+0,-61107.5495511,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61069.5891689,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39448.5281414,+0,+0,+0,+0,+0,+0,-61012.2403151,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,-35061.6848753,+0,+0,+0,+0,+0,-39447.3820573,+0,+0,+0,+0,+0,+0,-60999.7833071,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,-61281.6298905,-35021.9438187,+0,+0,+0,+0,+0,-39402.6691653,+0,+0,+0,-26184.7808301,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,-61315.4713066,-35041.2842752,+0,+0,+0,+0,+0,-39424.4292247,+0,+0,+0,-26196.3953331,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,-61263.8081683,-35011.7586592,+0,-52518.9081497,+0,+0,+0,-39391.2097839,+0,+0,+0,-26209.2337743,+0,+0,+0,+0,+0
2010-08-16 00:59:30 UTC,+0,+0,+0,-61303.5650277,-35034.4798059,+0,-52552.9910407,+0,+0,+0,-39416.7734767,-17519.5936982,+0,+0,-26193.7735729,-52377.9994634,+0,+0,+0,+0
2010-08-16 01:00:00 UTC,+0,+0,+0,-61228.8169267,-34991.7610736,+0,-52488.91074,+0,+0,+0,-39368.7103839,-17498.2307501,+0,+0,+0,-52406.6133959,+0,+0,+0,+0
2010-08-16 01:00:30 UTC,+0,+0,+0,+0,+0,+0,-52578.9596563,+0,+0,+0,+0,-17528.2510576,+0,+0,+0,-52396.6075858,+0,+0,+0,+0
2010-08-16 01:01:00 UTC,+0,+0,+0,+0,+0,+0,-52603.6654823,+0,+0,+0,+0,-17536.4874307,+0,+0,+0,-52401.2039319,+0,+0,+0,+0
2010-08-16 01:01:30 UTC,+0,+0,+0,+0,+0,+0,-52597.7762818,+0,+0,+0,+0,+0,+0,-34912.0339432,+0,-52357.246659,+0,+0,+0,+0
2010-08-16 01:02:00 UTC,+0,+0,-30648.4171233,+0,+0,+0,-52538.6996487,+0,+0,+0,+0,+0,+0,-34957.6385438,+0,-52425.63614,-21849.2808266,+0,+0,+0
2010-08-16 01:02:30 UTC,+0,+0,-30666.9546014,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34915.9485969,+0,-52363.1171438,-21823.2235002,+0,+0,+0
2010-08-16 01:03:00 UTC,+0,+0,-30678.0664615,+0,+0,-52583.9948969,+0,+0,+0,+0,+0,+0,+0,-34912.4848566,+0,+0,-21821.0585703,+0,+0,+0
2010-08-16 01:03:30 UTC,+0,+0,-30675.2958903,+0,+0,-52579.2461305,+0,+0,+0,+0,+0,+0,+0,-34941.3849068,+0,+0,-21839.1218709,+0,+0,+0
2010-08-16 01:04:00 UTC,+0,+0,-30659.7825676,+0,+0,-52552.6562554,+0,+0,+0,-17521.4770066,+0,+0,+0,-34932.9042631,+0,+0,+0,+0,+0,+0
2010-08-16 01:04:30 UTC,+0,+0,+0,+0,+0,-52549.4723541,+0,+0,+0,-17520.4154088,+0,+0,+0,-34943.0489169,+0,+0,+0,+0,+0,+0
2010-08-16 01:05:00 UTC,+0,+0,+0,+0,+0,-52533.0470862,+0,+0,+0,-17514.9387859,+0,+0,-65485.8848043,+0,+0,+0,+0,+0,+0,+0
