# file...... Output/Qh/house_Qh_file_014.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_2A_tm_1_A_2_Meter_33_261:Qh,house_1_3A_tm_1_A_3_Meter_33_262:Qh,house_1_4A_tm_1_A_4_Meter_33_263:Qh,house_1_5A_tm_1_A_5_Meter_33_264:Qh,house_1_6A_tm_1_A_6_Meter_33_265:Qh,house_1_7A_tm_1_A_7_Meter_33_266:Qh,house_1_8A_tm_1_A_8_Meter_33_267:Qh,house_1_9A_tm_1_A_9_Meter_33_268:Qh,house_1_10A_tm_1_A_10_Meter_33_269:Qh,house_1_11A_tm_1_A_11_Meter_33_270:Qh,house_1_12A_tm_1_A_12_Meter_33_271:Qh,house_1_13A_tm_1_A_13_Meter_33_272:Qh,house_1_14A_tm_1_A_14_Meter_33_273:Qh,house_1_15A_tm_1_A_15_Meter_33_274:Qh,house_0_1C_tm_0_C_1_Meter_34_275:Qh,house_0_2C_tm_0_C_2_Meter_34_276:Qh,house_0_3C_tm_0_C_3_Meter_34_277:Qh,house_0_4C_tm_0_C_4_Meter_34_278:Qh,house_0_5C_tm_0_C_5_Meter_34_279:Qh,house_0_6C_tm_0_C_6_Meter_34_280:Qh
2010-08-16 00:20:30 UTC,+0,-30490.7858448,+0,+0,+0,-43556.5310782,-43553.2353988,+0,+0,+0,+0,+0,-34842.423491,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,-30489.9481382,+0,+0,+0,-43555.3344098,+0,+0,+0,+0,+0,+0,-34841.4662606,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,-43529.9847628,+0,+0,-47876.2477975,+0,+0,+0,-34821.1887579,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,-43513.3609479,+0,+0,-47857.9648515,+0,+0,+0,-34807.8911588,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47891.1962433,+0,+0,+0,+0,+0,+0,-60907.3963163,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47886.1955888,+0,+0,+0,+0,+0,+0,-60925.799219,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47879.5917961,+0,+0,+0,+0,+0,+0,-60915.5363009,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47883.8901957,+0,+0,+0,+0,+0,+0,-60914.3555882,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47884.2599516,+0,+0,+0,+0,+0,+0,-60884.7068372,+0,-39144.299719,-60882.5947832,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47912.6220578,+0,-34849.9351432,+0,+0,+0,+0,-60863.5957061,+0,-39130.7264414,-60861.4845282,+0
