# file...... Output/Qh/house_Qh_file_004.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_15C_tm_0_C_15_Meter_6_61:Qh,house_0_1A_tm_0_A_1_Meter_7_62:Qh,house_0_2A_tm_0_A_2_Meter_7_63:Qh,house_0_3A_tm_0_A_3_Meter_7_64:Qh,house_0_4A_tm_0_A_4_Meter_7_65:Qh,house_0_5A_tm_0_A_5_Meter_7_66:Qh,house_0_6A_tm_0_A_6_Meter_7_67:Qh,house_0_7A_tm_0_A_7_Meter_7_68:Qh,house_0_8A_tm_0_A_8_Meter_7_69:Qh,house_0_1A_tm_0_A_1_Meter_9_70:Qh,house_0_2A_tm_0_A_2_Meter_9_71:Qh,house_0_3A_tm_0_A_3_Meter_9_72:Qh,house_0_4A_tm_0_A_4_Meter_9_73:Qh,house_0_5A_tm_0_A_5_Meter_9_74:Qh,house_0_6A_tm_0_A_6_Meter_9_75:Qh,house_0_7A_tm_0_A_7_Meter_9_76:Qh,house_0_8A_tm_0_A_8_Meter_9_77:Qh,house_0_9A_tm_0_A_9_Meter_9_78:Qh,house_0_10A_tm_0_A_10_Meter_9_79:Qh,house_0_11A_tm_0_A_11_Meter_9_80:Qh
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56649.735641,+0,+0,+0,+0,+0,+0,-26150.2311227,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56655.8705422,+0,+0,+0,+0,+0,+0,-26153.0631776,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,-52346.6082012,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26137.2024781,-47911.1263056,+0,+0
2010-08-16 00:33:00 UTC,+0,-52352.1053263,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47917.861091,+0,+0
2010-08-16 00:33:30 UTC,+0,-52354.3256695,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47922.237301,+0,+0
2010-08-16 00:34:00 UTC,+0,-52360.316061,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47928.5276584,+0,+0
2010-08-16 00:34:30 UTC,+0,-52354.4428559,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47921.2332083,+0,+0
2010-08-16 00:35:00 UTC,+0,-52356.9581424,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47922.0831578,+0,+0
2010-08-16 00:35:30 UTC,+0,-52351.0084638,+0,+0,+0,+0,+0,-52348.5787278,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47918.3583535,+0,+0
2010-08-16 00:36:00 UTC,+0,-52353.2842052,+0,+0,+0,+0,+0,-52350.8543324,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47920.1837919,+0,+0
2010-08-16 00:36:30 UTC,+0,-52355.1402995,+0,+0,+0,+0,+0,-52352.7103149,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,-52360.197338,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,-52361.0451572,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,-52372.0669843,-39283.9897463,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21797.0769828,+0
2010-08-16 00:38:30 UTC,-13081.996288,+0,+0,+0,+0,+0,+0,+0,-39283.6520098,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21795.5026829,+0
2010-08-16 00:39:00 UTC,-13080.6489098,+0,+0,+0,+0,+0,+0,+0,-39283.6475613,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21795.4780334,+0
2010-08-16 00:39:30 UTC,-13077.6518752,+0,+0,+0,+0,+0,+0,+0,-39285.6773659,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21796.3244845,+0
2010-08-16 00:40:00 UTC,-13078.5101346,+0,+0,+0,+0,+0,+0,+0,-39279.3986248,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-39279.064377,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26148.5678204,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26141.565674,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26152.9608552,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26151.5058428,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,-65448.0452274,+0,+0,+0,+0,+0,+0,+0,+0,-26142.2965642,-47925.2247611,-39211.0380044,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,-65443.7573026,+0,+0,+0,+0,+0,+0,+0,+0,-26140.2360742,-47921.447437,-39207.9475024,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,-65435.3031038,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47914.7111056,-39202.4360225,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,-65443.0091081,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47923.4306705,-39209.5701291,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,-65440.2138628,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47915.7425857,-39203.2799509,+0,+0,+0,+0,+0,-60983.3201568
2010-08-16 00:47:00 UTC,+0,+0,-65425.9212144,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47897.7373098,-39188.5485326,+0,+0,+0,+0,+0,-60960.4044724
2010-08-16 00:47:30 UTC,+0,+0,-65423.0715117,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47894.2902995,-39185.7282842,+0,+0,+0,+0,+0,-60956.0173917
2010-08-16 00:48:00 UTC,+0,+0,-65433.7938276,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47905.6690821,+0,+0,+0,+0,+0,+0,-60970.4994019
