# file...... Output/Qh/house_Qh_file_039.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_17C_tm_3_C_17_Meter_66_761:Qh,house_3_18C_tm_3_C_18_Meter_66_762:Qh,house_3_19C_tm_3_C_19_Meter_66_763:Qh,house_3_20C_tm_3_C_20_Meter_66_764:Qh,house_3_21C_tm_3_C_21_Meter_66_765:Qh,house_3_22C_tm_3_C_22_Meter_66_766:Qh,house_3_23C_tm_3_C_23_Meter_66_767:Qh,house_3_24C_tm_3_C_24_Meter_66_768:Qh,house_3_25C_tm_3_C_25_Meter_66_769:Qh,house_3_26C_tm_3_C_26_Meter_66_770:Qh,house_3_27C_tm_3_C_27_Meter_66_771:Qh,house_3_28C_tm_3_C_28_Meter_66_772:Qh,house_3_1A_tm_3_A_1_Meter_68_773:Qh,house_3_2A_tm_3_A_2_Meter_68_774:Qh,house_3_3A_tm_3_A_3_Meter_68_775:Qh,house_3_4A_tm_3_A_4_Meter_68_776:Qh,house_3_5A_tm_3_A_5_Meter_68_777:Qh,house_3_6A_tm_3_A_6_Meter_68_778:Qh,house_3_7A_tm_3_A_7_Meter_68_779:Qh,house_3_8A_tm_3_A_8_Meter_68_780:Qh
2010-08-16 00:27:00 UTC,-47593.6184133,+0,+0,+0,+0,+0,+0,-34612.0353821,+0,+0,+0,-47592.6816854,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,-47596.7360264,+0,+0,+0,+0,+0,+0,-34614.3026164,+0,+0,+0,-47595.7992172,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,-47604.1728195,+0,+0,+0,+0,+0,+0,-34619.7109053,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,-47613.9684311,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,-12993.2739807,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,-13000.7737664,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43836.1180093,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,-12991.4139559,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13158.9974621,+0,-43856.8533619,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,-12986.1032328,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13162.7087703,+0,-43869.2220991,+0
