# file...... Output/Qh/house_Qh_file_012.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_8A_tm_1_A_8_Meter_29_221:Qh,house_1_9A_tm_1_A_9_Meter_29_222:Qh,house_1_10A_tm_1_A_10_Meter_29_223:Qh,house_1_11A_tm_1_A_11_Meter_29_224:Qh,house_1_12A_tm_1_A_12_Meter_29_225:Qh,house_1_13A_tm_1_A_13_Meter_29_226:Qh,house_1_14A_tm_1_A_14_Meter_29_227:Qh,house_1_15A_tm_1_A_15_Meter_29_228:Qh,house_1_1C_tm_1_C_1_Meter_30_229:Qh,house_1_2C_tm_1_C_2_Meter_30_230:Qh,house_1_3C_tm_1_C_3_Meter_30_231:Qh,house_1_4C_tm_1_C_4_Meter_30_232:Qh,house_1_5C_tm_1_C_5_Meter_30_233:Qh,house_1_6C_tm_1_C_6_Meter_30_234:Qh,house_1_7C_tm_1_C_7_Meter_30_235:Qh,house_1_8C_tm_1_C_8_Meter_30_236:Qh,house_1_9C_tm_1_C_9_Meter_30_237:Qh,house_1_10C_tm_1_C_10_Meter_30_238:Qh,house_1_11C_tm_1_C_11_Meter_30_239:Qh,house_1_12C_tm_1_C_12_Meter_30_240:Qh
2010-08-16 00:25:00 UTC,-52148.3171688,+0,+0,+0,+0,-47804.235625,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52068.9715101,+0,+0
2010-08-16 00:25:30 UTC,-52131.3142422,+0,+0,+0,+0,-47788.6489961,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52091.6926939,+0,+0
2010-08-16 00:26:00 UTC,-52149.9204845,+0,+0,+0,+0,-47805.7053888,+0,+0,+0,-21706.1803809,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,-52138.7926282,+0,+0,+0,+0,-47795.5044528,+0,+0,+0,-21689.9785962,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,-52112.9665158,+0,+0,+0,+0,-47771.8295856,+0,+0,+0,-21682.5258756,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,-52120.6917338,+0,+0,+0,-21720.0695611,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,-52124.9581184,+0,+0,+0,-21721.8475297,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,-21721.6029646,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,-21725.6439687,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,-21724.8923049,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
