# file...... Output/Qh/house_Qh_file_023.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_14A_tm_2_A_14_Meter_48_441:Qh,house_2_15A_tm_2_A_15_Meter_48_442:Qh,house_2_16A_tm_2_A_16_Meter_48_443:Qh,house_2_17A_tm_2_A_17_Meter_48_444:Qh,house_2_18A_tm_2_A_18_Meter_48_445:Qh,house_2_19A_tm_2_A_19_Meter_48_446:Qh,house_2_20A_tm_2_A_20_Meter_48_447:Qh,house_2_21A_tm_2_A_21_Meter_48_448:Qh,house_2_22A_tm_2_A_22_Meter_48_449:Qh,house_2_23A_tm_2_A_23_Meter_48_450:Qh,house_2_24A_tm_2_A_24_Meter_48_451:Qh,house_2_25A_tm_2_A_25_Meter_48_452:Qh,house_2_26A_tm_2_A_26_Meter_48_453:Qh,house_2_27A_tm_2_A_27_Meter_48_454:Qh,house_2_28A_tm_2_A_28_Meter_48_455:Qh,house_2_29A_tm_2_A_29_Meter_48_456:Qh,house_2_1B_tm_2_B_1_Meter_48_457:Qh,house_2_2B_tm_2_B_2_Meter_48_458:Qh,house_2_3B_tm_2_B_3_Meter_48_459:Qh,house_2_4B_tm_2_B_4_Meter_48_460:Qh
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,-17360.3041148,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,-17371.9169816,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17378.5473637,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,-30403.1336496,+0,+0,+0,-17373.5827763,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,-30380.4458858,+0,+0,+0,-17360.6180121,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,-30381.0070099,+0,+0,+0,-17360.9386625,+0,-21701.4138493,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,-30379.031775,+0,+0,+0,+0,+0,-21700.0029113,+0,+0,+0,+0,-52047.8547383,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52067.1221099,+0,+0,-21696.7306553,+0,+0,+0,+0,-52026.62223,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52082.1054397,+0,+0,-21702.9744651,+0,+0,+0,+0,-52011.4442411,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52085.5646742,+0,+0,+0,+0,+0,+0,+0,-52019.3943516,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52067.856806,+0,+0,+0,+0,+0,+0,+0,-52015.2773767,+0
2010-08-16 00:30:30 UTC,+0,+0,-17347.1966455,+0,+0,+0,+0,+0,+0,+0,-52037.4599778,+0,+0,+0,+0,+0,+0,+0,-52023.9016051,+0
2010-08-16 00:31:00 UTC,+0,+0,-17355.9988909,+0,+0,+0,+0,+0,+0,+0,-52063.8640981,+0,+0,+0,+0,+0,+0,+0,-52039.4639077,+0
2010-08-16 00:31:30 UTC,+0,+0,-17358.372675,+0,+0,+0,+0,+0,+0,+0,-52070.9847448,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,-47752.2784252,+0,-17363.3673522,+0,+0,+0,+0,+0,+0,+0,-52085.9672921,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,-47691.0588167,-34686.71868,+0,+0,+0,+0,+0,+0,+0,+0,-52028.7972189,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,-47707.4999677,-34698.676863,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,-47713.2041743,-34702.8257175,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,-47742.800973,-34724.3524299,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,-47722.854472,-34709.8446924,+0,+0,-56399.7936376,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52103.726029,+0,+0,+0
2010-08-16 00:35:00 UTC,-47724.664707,-34711.161335,+0,+0,-56401.9330116,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52112.3182465,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,-34710.4320865,+0,+0,-56400.7480771,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52093.9622027,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,-34723.5543115,+0,+0,-56422.0699952,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52091.4202632,-52076.2257773,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,-56413.0719717,+0,+0,+0,-52070.6054179,+0,+0,+0,+0,+0,+0,-52071.5945736,-52060.5992989,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,-56422.0016018,+0,+0,+0,-52078.8475454,+0,+0,+0,+0,+0,+0,-52079.8369275,-52041.3543054,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,-56432.3821624,+0,+0,+0,-52088.4288943,+0,+0,+0,+0,+0,+0,-52089.4185396,-52045.886148,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52107.0777104,+0,+0,+0,+0,+0,+0,-52108.0678678,-51998.0050632,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52100.8402426,+0,+0,+0,+0,+0,+0,-52101.8302287,+0,-34676.8437055,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,-17366.0472585,+0,-52090.0513283,+0,+0,+0,+0,+0,+0,-52091.0410181,+0,-34685.9877678,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,-17368.8154555,+0,-52098.3543415,+0,+0,+0,+0,+0,+0,-52099.3442594,+0,-34698.4493255,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,-30387.412484,-17362.5883139,+0,-52079.6764662,+0,+0,+0,+0,+0,+0,-52080.665871,+0,-34706.9571706,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,-30381.7954813,-17361.2013404,+0,+0,+0,+0,-17361.7033501,-30381.0003753,-21702.3697225,+0,+0,+0,-34709.6204211,+0,+0
