# file...... Output/Qh/house_Qh_file_020.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_7A_tm_2_A_7_Meter_46_381:Qh,house_2_8A_tm_2_A_8_Meter_46_382:Qh,house_2_1A_tm_2_A_1_Meter_47_383:Qh,house_2_2A_tm_2_A_2_Meter_47_384:Qh,house_2_3A_tm_2_A_3_Meter_47_385:Qh,house_2_4A_tm_2_A_4_Meter_47_386:Qh,house_2_5A_tm_2_A_5_Meter_47_387:Qh,house_2_6A_tm_2_A_6_Meter_47_388:Qh,house_2_7A_tm_2_A_7_Meter_47_389:Qh,house_2_8A_tm_2_A_8_Meter_47_390:Qh,house_2_9A_tm_2_A_9_Meter_47_391:Qh,house_2_10A_tm_2_A_10_Meter_47_392:Qh,house_2_11A_tm_2_A_11_Meter_47_393:Qh,house_2_12A_tm_2_A_12_Meter_47_394:Qh,house_2_13A_tm_2_A_13_Meter_47_395:Qh,house_2_14A_tm_2_A_14_Meter_47_396:Qh,house_2_15A_tm_2_A_15_Meter_47_397:Qh,house_2_1B_tm_2_B_1_Meter_47_398:Qh,house_2_2B_tm_2_B_2_Meter_47_399:Qh,house_2_3B_tm_2_B_3_Meter_47_400:Qh
2010-08-16 00:33:30 UTC,+0,+0,-60725.0634046,+0,+0,+0,+0,-47715.0697809,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,-47744.8090778,+0,+0,+0,+0,+0,+0,-39066.4402878,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,-47725.5147823,+0,+0,+0,+0,-21694.7291359,+0,-39050.6527613,+0,+0,+0,+0,-30397.8672965
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,-30372.608066,+0,+0,-47727.1112441,+0,+0,+0,+0,-21695.4548523,+0,-39051.9590636,+0,+0,+0,+0,-30402.348561
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,-30371.7640422,+0,+0,-47725.7849618,+0,+0,+0,+0,-21694.8519535,+0,-39050.8738352,+0,+0,+0,+0,-30391.8963909
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,-30383.2302886,+0,+0,+0,+0,+0,+0,+0,-21703.0424631,+0,-39065.6168974,+0,+0,+0,+0,-30381.7123707
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,-30379.2881484,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39060.5481752,+0,+0,+0,+0,-30371.7833109
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,-30384.38337,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30361.5980749
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,-30389.6794849,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26029.8255935,+0
2010-08-16 00:38:00 UTC,+0,-21716.976448,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26002.5160721,+0
2010-08-16 00:38:30 UTC,+0,-21714.1989159,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26009.6202017,+0
2010-08-16 00:39:00 UTC,+0,-21710.9522809,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13026.2182868,+0,+0,+0,+0,+0,+0,-26016.6722505,+0
2010-08-16 00:39:30 UTC,+0,-21713.4767811,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13028.2863676,+0,+0,+0,+0,+0,+0,-26025.8312768,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13023.5919041,+0,+0,+0,+0,+0,+0,-26032.5083304,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13022.4961663,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,-30369.4041462,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,-30356.3061965,+0,+0,-21684.261965,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,-30382.2427966,+0,+0,-21702.7893442,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,-30392.1461735,+0,+0,-21709.8636569,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,-30372.5982936,+0,+0,-21695.8999538,+0,+0,+0,-34711.1902034,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,-60722.3343823,+0,+0,+0,-30363.3661943,+0,+0,-21689.3051571,+0,+0,+0,-34700.6393649,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,-60711.4021904,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34694.3919706,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,-60726.6831519,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34703.124546,+0,+0,+0,-52073.6782015,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,-60741.8145175,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34711.7716324,+0,+0,+0,-52053.5366357,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,-60689.3899914,+0,+0,+0,+0,+0,-65015.0260481,+0,+0,+0,+0,+0,+0,-60686.8306163,+0,-52049.6316041,+0,+0
2010-08-16 00:47:30 UTC,-56340.0208931,+0,-60677.3539458,+0,+0,+0,+0,+0,-65002.1325987,+0,+0,+0,+0,+0,+0,-60674.7952804,+0,-52050.7119682,+0,+0
2010-08-16 00:48:00 UTC,-56357.3443757,+0,-60696.0355811,+0,+0,+0,+0,+0,-65022.1450451,+0,+0,+0,+0,+0,+0,-60693.4758141,+0,-52016.6691121,+0,+0
2010-08-16 00:48:30 UTC,-56313.5717821,+0,+0,+0,+0,+0,+0,+0,-64973.0478454,+0,+0,+0,+0,+0,+0,-60647.6462397,+0,-52027.0549049,+0,+0
2010-08-16 00:49:00 UTC,-56346.4372251,-21674.24921,+0,+0,+0,+0,+0,+0,-65012.8651782,+0,+0,+0,+0,+0,+0,-60684.8135614,+0,-52072.6716701,+0,+0
2010-08-16 00:49:30 UTC,-56345.267211,-21673.7991395,+0,+0,+0,+0,+0,+0,-65006.5524416,+0,+0,+0,+0,+0,+0,-60678.9209642,-43344.8812382,+0,+0,+0
2010-08-16 00:50:00 UTC,-56308.9758745,-21659.8389143,+0,+0,+0,+0,+0,+0,-64965.0697845,+0,+0,+0,-21662.9954315,+0,+0,-60640.1991521,-43317.2206171,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,-21664.0556094,+0,+0,+0,+0,+0,+0,-64968.6237092,+0,+0,+0,-21661.7666194,+0,+0,-60643.5165484,-43319.590373,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21681.6569436,+0,+0,+0,-43359.3665684,+0,-25967.8346926,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21665.2926758,+0,-38997.6666109,+0,-43326.6416965,+0,-25997.740742,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38988.9274901,+0,-43316.9327451,+0,-26015.9760145,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,-30323.2587199,-43316.493179,+0,+0,+0,+0,+0,+0,+0,+0,-38988.5066947,+0,-43316.4652517,+0,-26024.2912905,+0
