# file...... Output/Qh/house_Qh_file_035.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_62_681:Qh,house_3_1A_tm_3_A_1_Meter_63_682:Qh,house_3_2A_tm_3_A_2_Meter_63_683:Qh,house_3_3A_tm_3_A_3_Meter_63_684:Qh,house_3_4A_tm_3_A_4_Meter_63_685:Qh,house_3_5A_tm_3_A_5_Meter_63_686:Qh,house_3_6A_tm_3_A_6_Meter_63_687:Qh,house_3_7A_tm_3_A_7_Meter_63_688:Qh,house_3_8A_tm_3_A_8_Meter_63_689:Qh,house_3_9A_tm_3_A_9_Meter_63_690:Qh,house_3_10A_tm_3_A_10_Meter_63_691:Qh,house_3_11A_tm_3_A_11_Meter_63_692:Qh,house_3_12A_tm_3_A_12_Meter_63_693:Qh,house_3_13A_tm_3_A_13_Meter_63_694:Qh,house_3_14A_tm_3_A_14_Meter_63_695:Qh,house_3_15A_tm_3_A_15_Meter_63_696:Qh,house_3_1B_tm_3_B_1_Meter_64_697:Qh,house_3_2B_tm_3_B_2_Meter_64_698:Qh,house_3_3B_tm_3_B_3_Meter_64_699:Qh,house_3_4B_tm_3_B_4_Meter_64_700:Qh
2010-08-16 00:19:30 UTC,-30343.6992483,+0,+0,+0,+0,+0,-56328.7357061,+0,+0,+0,-43335.5843555,+0,+0,+0,-39005.2804941,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,-30350.4297995,+0,+0,+0,+0,+0,-56345.5780514,+0,+0,+0,-43348.5422396,+0,+0,+0,-39016.9437962,-30345.6053426,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,-30357.7280159,+0,+0,+0,+0,+0,-56368.8042279,+0,+0,+0,+0,+0,+0,+0,-39033.0278924,-30358.1147079,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,-30371.7389173,+0,+0,+0,+0,+0,-56355.3675236,+0,+0,+0,+0,+0,+0,+0,-39023.7229929,-30350.8778458,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,-30367.6497398,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39015.4773565,-30344.4648229,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,-38980.1324932,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30319.0467117,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,-39010.417069,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,-39007.6029267,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,-38993.8693881,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,-39003.722569,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,-39012.6619743,-47677.5617258,+0,-47678.3777022,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,-39025.3056299,-47693.0132276,+0,-47693.8295453,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,-47689.6301824,+0,-47690.4464253,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,-47703.6233809,+0,-47704.4399329,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,-47695.2543437,+0,-47696.0707109,+0,+0,-21684.3655833,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,-47685.0306343,+0,-47685.8467757,+0,+0,-21679.7171721,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,-47673.1478567,+0,+0,+0,+0,-21674.3144327,+0,+0,-21674.0047226,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,-47673.134123,+0,+0,+0,+0,-21674.3081883,+0,+0,-21673.9984783,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-21674.8326305,+0,+0,-21674.5229124,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-21688.271647,+0,+0,-21687.961721,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30265.2693441,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30264.1513954,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30265.812741,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30265.6825084,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30262.7448507,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30287.4366845,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30323.9089523,+0,+0
