# file...... Output/Qh/house_Qh_file_037.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_25B_tm_3_B_25_Meter_64_721:Qh,house_3_26B_tm_3_B_26_Meter_64_722:Qh,house_3_27B_tm_3_B_27_Meter_64_723:Qh,house_3_28B_tm_3_B_28_Meter_64_724:Qh,house_3_1A_tm_3_A_1_Meter_65_725:Qh,house_3_2A_tm_3_A_2_Meter_65_726:Qh,house_3_3A_tm_3_A_3_Meter_65_727:Qh,house_3_4A_tm_3_A_4_Meter_65_728:Qh,house_3_5A_tm_3_A_5_Meter_65_729:Qh,house_3_1B_tm_3_B_1_Meter_65_730:Qh,house_3_2B_tm_3_B_2_Meter_65_731:Qh,house_3_3B_tm_3_B_3_Meter_65_732:Qh,house_3_4B_tm_3_B_4_Meter_65_733:Qh,house_3_5B_tm_3_B_5_Meter_65_734:Qh,house_3_1C_tm_3_C_1_Meter_65_735:Qh,house_3_2C_tm_3_C_2_Meter_65_736:Qh,house_3_3C_tm_3_C_3_Meter_65_737:Qh,house_3_4C_tm_3_C_4_Meter_65_738:Qh,house_3_5C_tm_3_C_5_Meter_65_739:Qh,house_3_6C_tm_3_C_6_Meter_65_740:Qh
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,-38975.8214692,+0,-60672.1169032,-39009.4554077,+0,-17339.3516738,-26008.2052169,-39027.0173889,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,-39005.6658727,+0,-60645.7848226,+0,+0,-17331.825806,+0,-39014.2986089,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,-39002.8363685,+0,-60604.0271007,+0,+0,-17319.8911961,+0,-39028.3369849,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,-38989.1040833,+0,-60645.1641883,+0,+0,-17331.6484255,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60639.7640003,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60637.0291721,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60625.2721103,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60615.6751378,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60557.1997859,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,-43356.5063113,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,-43347.1809666,+0,+0,+0,+0,+0,+0,+0,+0,-21639.2994247,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,-43336.6712005,+0,+0,+0,+0,+0,+0,+0,+0,-21640.7171241,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,-43336.0561156,+0,+0,+0,+0,+0,+0,+0,+0,-21643.2691593,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,-43336.5455849,+0,+0,+0,+0,+0,+0,+0,+0,-21646.7766683,+0,+0,+0,-43292.5969872
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,-43363.4201154,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43298.5809212
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,-43339.659948,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43316.3979978
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43314.0917896
2010-08-16 00:30:30 UTC,+0,+0,+0,-47556.8503003,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43339.0951459
2010-08-16 00:31:00 UTC,+0,-12972.1782166,+0,-47556.6456682,+0,+0,+0,+0,+0,+0,+0,-38912.5058097,+0,+0,+0,+0,-34644.8216306,+0,+0,-43307.1926367
2010-08-16 00:31:30 UTC,+0,-12970.9190715,+0,-47552.0297788,+0,+0,+0,+0,+0,+0,+0,-38908.7287515,+0,+0,+0,+0,-34630.658288,+0,+0,-43289.4879097
2010-08-16 00:32:00 UTC,+0,-12981.5025379,+0,-47590.8276193,+0,+0,+0,+0,+0,+0,+0,-38939.6754313,+0,+0,+0,+0,-34590.6250315,+0,+0,-43239.4447882
2010-08-16 00:32:30 UTC,+0,-12997.1353583,-47645.0370535,-47648.1358477,+0,+0,+0,+0,+0,+0,+0,-38986.9227392,+0,+0,+0,+0,-34626.180321,+0,+0,-43283.8902775
2010-08-16 00:33:00 UTC,+0,+0,-47625.2409228,-47628.3380528,+0,+0,+0,+0,+0,+0,+0,-38969.3773456,-17320.8138883,+0,+0,+0,-34620.2234568,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,-47667.2342416,-47670.3349016,+0,+0,+0,+0,+0,+0,+0,-39003.4676238,-17335.9663448,+0,+0,+0,-34615.6752299,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,-47704.1326881,-47707.2364489,+0,+0,+0,+0,+0,+0,+0,-39033.63996,-17349.3773529,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,-47684.412332,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17343.429185,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,-47671.5475756,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,-47645.9229685,+0,+0,+0,+0,+0,+0,+0,-38986.0999149,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,-47635.5623319,+0,+0,+0,+0,+0,+0,+0,-38977.4916327,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,-38952.6969276,+0,+0,-39000.8178686,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,-38960.2491711,+0,+0,-38979.3721544,+0,+0,-25988.1479068,-38904.3452179,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,-38961.1156564,+0,+0,-38967.3740443,+0,+0,-25980.1484455,-38902.3700371,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,-38997.8821273,+0,+0,-38932.8953477,+0,+0,-25957.1605752,-38935.9233283,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,-38995.0360921,+0,+0,+0,+0,+0,-25968.1554457,-38967.6121721,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,-38995.0711187,+0,+0,+0,+0,+0,-25975.2514188,-38952.7809042,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-38917.9289685,+0,+0,-56213.2743903,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,-60649.245466,+0,+0,+0,+0,+0,+0,+0,+0,-38941.0079925,+0,+0,-56246.6096776,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,-60622.8345651,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56268.512608,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,-60651.4560475,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56269.430089,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,+0,-60615.8611836,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56303.0220585,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,+0,-60595.398774,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56246.4008017,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,-60636.8635539,+0,+0,+0,-60618.9989163,+0,+0,+0,+0,+0,-21640.8014314,+0,-56263.6735442,+0,+0
