# file...... Output/Qh/house_Qh_file_034.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3A_tm_3_A_3_Meter_60_661:Qh,house_3_4A_tm_3_A_4_Meter_60_662:Qh,house_3_5A_tm_3_A_5_Meter_60_663:Qh,house_3_6A_tm_3_A_6_Meter_60_664:Qh,house_3_7A_tm_3_A_7_Meter_60_665:Qh,house_3_8A_tm_3_A_8_Meter_60_666:Qh,house_3_1C_tm_3_C_1_Meter_62_667:Qh,house_3_2C_tm_3_C_2_Meter_62_668:Qh,house_3_3C_tm_3_C_3_Meter_62_669:Qh,house_3_4C_tm_3_C_4_Meter_62_670:Qh,house_3_5C_tm_3_C_5_Meter_62_671:Qh,house_3_6C_tm_3_C_6_Meter_62_672:Qh,house_3_7C_tm_3_C_7_Meter_62_673:Qh,house_3_8C_tm_3_C_8_Meter_62_674:Qh,house_3_9C_tm_3_C_9_Meter_62_675:Qh,house_3_10C_tm_3_C_10_Meter_62_676:Qh,house_3_11C_tm_3_C_11_Meter_62_677:Qh,house_3_12C_tm_3_C_12_Meter_62_678:Qh,house_3_13C_tm_3_C_13_Meter_62_679:Qh,house_3_14C_tm_3_C_14_Meter_62_680:Qh
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,-17348.0086352,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,-17341.1210613,+0,+0,+0,-21675.1402012,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,-17344.9676106,+0,+0,+0,-21679.9480177,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21685.1613327,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21695.1697015,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21693.3119658,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21686.2004201,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21694.8567713,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21687.1537602,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,-43377.2500103,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,-43371.8759493,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,-43362.6056253,+0,+0,+0,-47635.4847368,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,-43352.7331692,+0,+0,+0,-47637.8361894,+0,+0,+0,+0,+0,+0,+0,+0,+0,-51975.3564088,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,-43350.6675032,+0,+0,+0,-47639.4208278,+0,+0,+0,+0,+0,+0,+0,+0,+0,-51977.0853982,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47646.5519479,+0,+0,+0,-47646.9742104,+0,-60642.7245622,+0,-47648.3961406,+0,-51984.8661197,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47651.7284509,+0,+0,+0,-47652.1507648,+0,-60649.3130994,+0,-47653.5728864,+0,-51990.5141703,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47669.5074128,+0,+0,+0,-47669.9299036,+0,-60671.9417646,+0,-47671.3526825,+0,-52009.9126872,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47667.9337645,+0,+0,+0,-47668.3562396,+0,-60669.93886,+0,-47669.7789602,+0,-52008.1956886,+0
2010-08-16 00:30:30 UTC,+0,-43330.1533556,+0,+0,+0,+0,+0,+0,-47695.4973627,+0,+0,+0,-47695.9201118,+0,-60705.0211909,+0,-47697.3438512,+0,-52038.2701607,+0
2010-08-16 00:31:00 UTC,+0,-43347.917636,+0,+0,+0,+0,+0,+0,-47663.7402625,+0,+0,+0,-47664.1626959,+0,-60664.6014645,+0,-47665.5852615,+0,-52003.6201843,+0
2010-08-16 00:31:30 UTC,+0,-43358.5053943,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47646.140866,+0,-60641.6639105,+0,-47647.5627653,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,-43375.7760517,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47592.6866025,+0,+0,-47594.2807302,-47594.1065254,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,-43300.6001755,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47638.4830054,+0,+0,-47640.0793027,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,-17324.3712391,+0,+0,+0,-21654.204535,+0,+0,+0,-47632.8986886,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,-64952.6030378,+0,-17322.6717843,+0,+0,+0,-21652.0803801,+0,+0,+0,-47628.2263217,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,-64951.4563404,+0,-17321.7030647,+0,+0,+0,-21650.8695738,+0,+0,+0,-47625.5629893,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,-51938.877233,+0,+0,+0,+0,-64919.5657802,+0,-17318.9939329,+0,+0,+0,-21647.4834199,+0,+0,+0,-47618.1146847,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,-51955.0226104,+0,+0,+0,+0,-64939.7458977,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47659.9406942,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,-51944.0513934,+0,+0,+0,+0,-64926.0329667,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,-51948.9362887,+0,+0,+0,+0,-64932.1386007,+0,+0,+0,+0,-56292.6460787,+0,+0,+0,+0,+0,+0,-21655.6166556,+0,+0
