# file...... Output/Qh/house_Qh_file_048.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3A_tm_3_A_3_Meter_79_941:Qh,house_3_4A_tm_3_A_4_Meter_79_942:Qh,house_3_5A_tm_3_A_5_Meter_79_943:Qh,house_3_6A_tm_3_A_6_Meter_79_944:Qh,house_3_7A_tm_3_A_7_Meter_79_945:Qh,house_3_8A_tm_3_A_8_Meter_79_946:Qh,house_3_9A_tm_3_A_9_Meter_79_947:Qh,house_3_10A_tm_3_A_10_Meter_79_948:Qh,house_3_11A_tm_3_A_11_Meter_79_949:Qh,house_3_12A_tm_3_A_12_Meter_79_950:Qh,house_3_13A_tm_3_A_13_Meter_79_951:Qh,house_3_14A_tm_3_A_14_Meter_79_952:Qh,house_3_15A_tm_3_A_15_Meter_79_953:Qh,house_3_1B_tm_3_B_1_Meter_80_954:Qh,house_3_2B_tm_3_B_2_Meter_80_955:Qh,house_3_3B_tm_3_B_3_Meter_80_956:Qh,house_3_4B_tm_3_B_4_Meter_80_957:Qh,house_3_5B_tm_3_B_5_Meter_80_958:Qh,house_3_6B_tm_3_B_6_Meter_80_959:Qh,house_3_7B_tm_3_B_7_Meter_80_960:Qh
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-57034.938549,+0,+0,+0,-39366.9706797,+0,+0,+0,+0,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-57025.325196,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:21:30 UTC,+0,+0,-65784.5722077,+0,+0,+0,+0,+0,+0,+0,-57006.5718274,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:00 UTC,+0,+0,-65719.0658011,+0,+0,+0,+0,+0,+0,+0,-56949.8086919,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:22:30 UTC,+0,+0,-65773.210816,+0,-48229.2666884,+0,+0,+0,+0,+0,-56996.7268631,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,-65767.055136,+0,-48224.7530978,+0,+0,-26310.0074988,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,-17528.3115136,-65722.9113591,+0,-48192.3851164,+0,+0,-26292.3474447,-65713.688316,+0,+0,-39435.5329738,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,-48206.1012523,-17530.8596118,-65732.4652841,+0,-48199.3904356,+0,-35056.9085419,-26296.1695655,-65723.2405372,+0,+0,-39441.2655904,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,-48229.8670939,-17539.5025587,+0,+0,-48223.1519262,+0,-35074.191389,-26309.1338957,-65755.6409202,+0,+0,-39460.7101723,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,-48246.0307396,-17545.3808074,+0,+0,-48239.3126135,+0,-35085.9458149,+0,-65777.677099,+0,+0,-39473.934839,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,-48236.8874952,+0,+0,+0,-48230.1710424,+0,-35079.2967216,+0,-65765.2119549,+0,+0,-39466.4540787,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,-48254.8011779,+0,+0,+0,-48248.0814462,+0,-35092.3237984,+0,-65789.633989,+0,+0,-39481.1105794,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-65793.2779332,+0,+0,-39483.2974354,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-65782.9275622,+0,+0,+0,+0,+0,+0,+0,+0,-34978.875051,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34970.7346188,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34986.8680541,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34940.8457346,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34903.9271234,+0,+0,+0,-34903.7550268,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34902.5334209,+0,+0,+0,-34902.361332,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34902.7196015,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34907.6835215,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34917.2734173,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34908.0513018,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34932.6941556,+0,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43800.1965212,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43806.3316983,+0,+0,+0,+0,-39339.5695199,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43803.7149669,+0,+0,+0,+0,-39376.7744748,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43798.1290325,+0,+0,+0,+0,-39415.4465463,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43776.3497811,+0,+0,+0,+0,-39397.555786,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43787.7930673,+0,+0,+0,+0,-39388.0605363,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43780.4156666,+0,+0,+0,+0,-39368.8026765,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,-35024.8709601,+0,+0,-43783.0841541,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,-35030.3192053,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,-56933.7772158,-35038.1576437,-26282.10401,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,-56927.7206376,-35034.4302887,-26279.3080205,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26231.8732998,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,-56994.1468943,-35075.310509,-26309.9733778,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26197.4295695,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,-56984.8561441,+0,-26305.6843483,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26204.8796714,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,-56990.8459223,+0,-26308.4495001,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26212.1847803,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,-57000.3697672,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,-17528.26671,+0,+0,+0,-56955.8206187,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,-17531.2051709,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,-17540.934152,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,-48196.7491465,-17527.4585222,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34967.9747634,+0,+0
2010-08-16 00:42:00 UTC,-48182.9028624,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35005.9912434,+0,+0
2010-08-16 00:42:30 UTC,-48226.0803838,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34964.7509212,+0,+0
2010-08-16 00:43:00 UTC,-48198.1661095,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34984.7992998,+0,+0
2010-08-16 00:43:30 UTC,-48254.7897385,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34961.6705419,+0,+0
2010-08-16 00:44:00 UTC,-48219.1746999,+0,-65750.2917182,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34983.1417093,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,-65740.2227362,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,-65738.6707496,-52590.2896981,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,-65666.741799,-52532.7475749,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,-65693.7380708,-52554.344203,+0,+0,+0,+0,-65684.5202279,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,-65684.9521784,-52547.3156156,+0,+0,+0,+0,-65675.7358996,+0,+0,+0,-17518.6327833,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,-52530.5859715,-48149.2180985,+0,+0,+0,-65654.8271967,+0,+0,-39400.2083954,-17513.0551265,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,-52532.7592262,-48151.2100306,+0,+0,+0,-65657.5433295,+0,+0,-39401.8384402,-17513.7796888,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,-52553.2614275,-48170.0016602,+0,-35035.5327061,+0,-65683.1669747,+0,+0,-39417.2160694,-17520.615114,+0,-39309.2472713,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,-52465.0749894,-48089.1729343,+0,-34976.7421779,+0,-65572.951594,+0,+0,-39351.0720329,-17491.2137919,+0,-39348.9560101,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,-48161.9944096,+0,-35029.7086568,+0,-65672.2485525,+0,+0,-39410.6635492,+0,+0,-39368.9480603,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,-48124.9072096,+0,-35002.7333949,+0,-65621.6776716,+0,+0,-39380.3142268,+0,+0,-39340.6425961,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,-48061.7438892,+0,-34956.7917445,+0,+0,-43697.9800186,+0,-39328.6262026,+0,+0,-39346.3852994,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,-48083.4333432,+0,+0,-26232.9030711,+0,-43717.7009035,+0,+0,+0,+0,-39320.5964844,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,-26270.5422924,+0,-43780.426083,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
