# file...... Output/Qh/house_Qh_file_017.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_2B_tm_2_B_2_Meter_38_321:Qh,house_2_3B_tm_2_B_3_Meter_38_322:Qh,house_2_4B_tm_2_B_4_Meter_38_323:Qh,house_2_5B_tm_2_B_5_Meter_38_324:Qh,house_2_6B_tm_2_B_6_Meter_38_325:Qh,house_2_7B_tm_2_B_7_Meter_38_326:Qh,house_2_8B_tm_2_B_8_Meter_38_327:Qh,house_2_1B_tm_2_B_1_Meter_39_328:Qh,house_2_2B_tm_2_B_2_Meter_39_329:Qh,house_2_3B_tm_2_B_3_Meter_39_330:Qh,house_2_4B_tm_2_B_4_Meter_39_331:Qh,house_2_5B_tm_2_B_5_Meter_39_332:Qh,house_2_6B_tm_2_B_6_Meter_39_333:Qh,house_2_7B_tm_2_B_7_Meter_39_334:Qh,house_2_8B_tm_2_B_8_Meter_39_335:Qh,house_2_1C_tm_2_C_1_Meter_41_336:Qh,house_2_2C_tm_2_C_2_Meter_41_337:Qh,house_2_3C_tm_2_C_3_Meter_41_338:Qh,house_2_4C_tm_2_C_4_Meter_41_339:Qh,house_2_5C_tm_2_C_5_Meter_41_340:Qh
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56478.7717068,+0,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,-52079.8244925,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56509.8263204,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,-52110.3778483,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56488.7680319,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,-52089.7633031,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56492.0807293,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,+0,+0,-52095.0588978,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56468.3807178,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,+0,+0,-52070.9419244,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56444.5770619,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,+0,-52072.6178144,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56355.7250537,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,-39062.8053553,+0,+0,+0,+0,+0,+0,-56410.0230148,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,-39068.923282,+0,+0,+0,+0,+0,+0,-56418.856847,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,-39066.1313709,+0,+0,+0,+0,+0,+0,-56414.8255346,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,-39063.1138249,+0,+0,+0,+0,+0,+0,-56410.4684222,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,-39034.6685907,-43368.3748097,+0,+0,+0,+0,+0,-56367.1248833,+0,+0,+0,-47695.069266,+0,+0,+0,+0,+0,+0
