# file...... Output/Qh/house_Qh_file_049.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_8B_tm_3_B_8_Meter_80_961:Qh,house_3_9B_tm_3_B_9_Meter_80_962:Qh,house_3_10B_tm_3_B_10_Meter_80_963:Qh,house_3_11B_tm_3_B_11_Meter_80_964:Qh,house_3_12B_tm_3_B_12_Meter_80_965:Qh,house_3_13B_tm_3_B_13_Meter_80_966:Qh,house_3_14B_tm_3_B_14_Meter_80_967:Qh,house_3_15B_tm_3_B_15_Meter_80_968:Qh,house_3_1A_tm_3_A_1_Meter_82_969:Qh,house_3_2A_tm_3_A_2_Meter_82_970:Qh,house_3_3A_tm_3_A_3_Meter_82_971:Qh,house_3_4A_tm_3_A_4_Meter_82_972:Qh,house_3_5A_tm_3_A_5_Meter_82_973:Qh,house_3_6A_tm_3_A_6_Meter_82_974:Qh,house_3_7A_tm_3_A_7_Meter_82_975:Qh,house_3_8A_tm_3_A_8_Meter_82_976:Qh,house_3_9A_tm_3_A_9_Meter_82_977:Qh,house_3_10A_tm_3_A_10_Meter_82_978:Qh,house_3_11A_tm_3_A_11_Meter_82_979:Qh,house_3_12A_tm_3_A_12_Meter_82_980:Qh
2010-08-16 18:34:00 UTC,-52515.7312739,+0,+0,-48138.0268769,-43760.1764885,-30636.2743415,-30634.6316445,+0,+0,-26177.7982677,-56710.7638061,+0,-61065.7062871,-13089.5116641,-21813.6573083,-26176.7927564,+0,+0,-61070.8505696,-47981.5144478
2010-08-16 18:34:30 UTC,-52552.9602868,+0,+0,-48172.151984,+0,-30657.9930967,-30656.3488338,+0,+0,-26182.0990249,-56720.0803917,+0,-61075.7379921,-13091.662173,-21817.2409827,-26181.0932743,+0,-26181.3300183,-61080.8834408,-47989.3966997
2010-08-16 18:35:00 UTC,-52501.5591687,-61248.7566501,+0,-48125.0363472,+0,-30628.006583,+0,+0,+0,-26192.4130134,+0,+0,-61099.7958283,-13096.8194795,-21825.8352781,-26191.4066894,+0,-26191.6435914,-61104.9440717,-48008.2997593
2010-08-16 18:35:30 UTC,-52424.916152,-61159.345776,+0,-48054.7833148,+0,-30583.2943858,+0,+0,-26228.8039876,-26229.4671785,+0,+0,+0,-13115.3476842,-21856.7112533,-26228.4587949,+0,-26228.6962643,-61191.384596,-48076.2111316
2010-08-16 18:36:00 UTC,-52467.4078643,-61208.9161253,-43719.7423616,-48093.7323508,+0,+0,+0,+0,-26276.8127788,-26277.477583,+0,+0,+0,-13139.3543395,+0,-26276.4665337,+0,-26276.7047371,+0,-48164.2026777
2010-08-16 18:36:30 UTC,-52497.5877858,-61244.12368,-43744.8898178,-48121.3960717,+0,+0,+0,+0,-26286.3244461,-26286.9895698,+0,+0,+0,-13144.1106207,+0,-26285.9779927,-39427.3007361,-26286.2163413,+0,-48181.6358683
2010-08-16 18:37:00 UTC,-52382.5356044,-61109.9051111,-43649.022452,-48015.9361764,+0,+0,+0,+0,-26351.3141077,-26351.9814131,+0,+0,+0,+0,+0,+0,-39524.7779306,-26351.2055729,+0,-48300.7503587
2010-08-16 18:37:30 UTC,-52340.8429999,-61061.2669946,-43614.2820434,+0,+0,+0,+0,-34896.3318307,-26405.5449834,+0,+0,-57202.1952013,+0,+0,+0,+0,-39606.1181594,-26405.4360903,+0,-48400.1459309
2010-08-16 18:38:00 UTC,-52357.3205226,-61080.4894843,-43628.0119572,+0,-43628.1803461,+0,+0,-34907.3177619,-26425.0928973,+0,+0,-57244.5394558,+0,+0,+0,+0,-39635.4378389,+0,+0,-48435.9737963
2010-08-16 18:38:30 UTC,-52390.5689335,-61119.2767017,-43655.716233,+0,-43655.8846632,+0,+0,-34929.4852173,-26403.0657831,+0,+0,-57196.8248125,+0,+0,+0,+0,-39602.3996369,+0,+0,+0
2010-08-16 18:39:00 UTC,-52334.2150144,-61053.5348626,-43608.7592675,+0,-43608.9276277,+0,-30528.74587,-34891.912805,-26368.299729,+0,+0,-57121.5153722,+0,-13185.1021168,-21972.9522345,+0,-39550.2544558,+0,+0,+0
2010-08-16 18:39:30 UTC,-52349.2611145,-61071.0874709,-43621.2964465,+0,-43621.4648254,-30539.1585574,-30537.5228685,-34901.9443751,-26377.4550789,+0,+0,-57141.3474849,+0,-13189.6802218,-21980.5813347,+0,-39563.9864537,+0,+0,+0
2010-08-16 18:40:00 UTC,-52370.367482,-61095.7099186,-43638.8833508,+0,-43639.0517559,-30551.471644,-30549.835066,-34916.0164601,-26364.9784906,+0,+0,-57114.3209825,+0,-13183.4413414,-21970.1846658,+0,-39545.2729712,+0,+0,+0
2010-08-16 18:40:30 UTC,-52514.7491903,-61264.1439801,-43759.1895789,+0,-43759.3581649,-30635.701411,-30634.0587554,-35012.2789571,+0,-26315.794234,-57009.6999001,-57006.3363013,-61387.5880657,-13158.5138241,-21928.6446615,-26314.7810593,-39470.5030459,-26315.0198476,+0,+0
2010-08-16 18:41:00 UTC,-52556.1284804,-61312.4165926,-43793.6689242,+0,-43793.8375626,-30659.8413654,-30658.1969693,-35039.8674498,+0,-26314.9008532,-57007.7645984,-57004.4011454,-61385.5042142,-13158.0671066,-21927.9002375,-26313.887728,-39469.16312,-26314.1265026,-61390.6856156,+0
2010-08-16 18:41:30 UTC,-52541.5878264,-61295.45363,-43781.5529062,+0,-43781.721526,-30651.3586019,-30649.7148175,-35030.1728722,+0,-26310.31481,-56997.8300021,-56994.4672971,-61374.8070581,-13155.7739464,-21924.0788428,-26309.301939,-39462.2848009,-26309.5406437,-61379.9872198,+0
2010-08-16 18:42:00 UTC,-52568.6476343,-61327.0212961,-43804.100525,+0,-43804.2691792,-30667.1448209,-30665.4998983,-35048.2142481,+0,-26260.6704448,-56890.2870471,-56886.9324466,-61259.0093351,+0,-21882.7118758,-26259.6603286,-39387.8263336,-26259.8982751,-61264.1760645,+0
2010-08-16 18:42:30 UTC,-52574.500812,-61333.8495475,-43808.977693,-48191.8966049,-43809.1463546,-30670.5594623,-30668.9142937,-35052.1166917,+0,-26262.6001363,-56894.4672716,-56891.112355,-61263.5104223,+0,-21884.319822,-26261.5899127,-39390.7205557,-26261.8278887,-61268.6776755,+0
2010-08-16 18:43:00 UTC,-52589.2091381,+0,-43821.2334245,-48205.3786495,-43821.4021049,-30679.1400425,-30677.4942554,-35061.9230597,+0,-26227.2732167,-56817.9397355,-56814.590588,-61181.1087993,+0,-21854.8830995,-26226.264955,-39337.7359295,-26226.5023908,-61186.2664878,-48072.1901267
2010-08-16 18:43:30 UTC,-52568.7496006,+0,+0,-48186.6248908,-43804.3541429,-30667.2043063,-30665.5593794,+0,+0,-26212.1328368,-56785.1416362,-56781.7949626,-61145.7931923,+0,-21842.2671359,-26211.1254167,-39315.0278272,-26211.3626207,-61150.9467787,-48044.4414525
2010-08-16 18:44:00 UTC,-52568.6802799,+0,+0,-48186.5613496,-43804.2963813,-30667.1638658,-30665.5189418,+0,-26258.8767443,-26259.5409458,-56887.8402498,-56884.4858334,-61256.3747262,+0,-21881.7707025,-26258.5308922,-39386.1322687,+0,-61261.5411503,-48131.3291267
2010-08-16 18:44:30 UTC,+0,+0,+0,-48214.315139,-43829.5257528,+0,-30683.1814297,+0,-26261.6420836,+0,-56893.8309144,-56890.4760464,-61262.8252213,-13131.7682779,+0,-26261.2961709,-39390.2799668,+0,-61267.9923939,-48136.3975003
2010-08-16 18:45:00 UTC,+0,+0,+0,-48183.0844622,-43801.1357432,+0,+0,+0,-26270.5911954,+0,-56913.2177315,-56909.8614023,-61283.7001288,-13136.2432549,+0,-26270.2450866,+0,+0,-61288.8697235,-48152.7996259
2010-08-16 18:45:30 UTC,+0,+0,+0,-48156.3555147,-43776.837997,+0,+0,+0,-26296.6908347,+0,-56969.7584215,-56966.3978319,-61344.5807627,-13149.2943026,+0,-26296.3441544,+0,+0,-61349.757419,-48200.6356132
2010-08-16 18:46:00 UTC,+0,+0,+0,-48202.5454282,+0,+0,+0,+0,-26293.6950038,+0,-56963.2684325,-56959.9083314,-61337.5926147,-13147.7962463,+0,+0,+0,+0,-61342.7684612,-48195.1447875
2010-08-16 18:46:30 UTC,+0,+0,+0,-48101.7393738,+0,+0,+0,+0,-26305.752952,+0,-56989.3900487,-56986.02798,-61365.7192726,-13153.8257876,+0,+0,+0,-26305.6447186,-61370.89838,-48217.2448605
2010-08-16 18:47:00 UTC,+0,+0,+0,-48136.5873339,+0,+0,+0,-35011.8866606,-26291.5944141,+0,-56958.7178413,+0,-61332.69273,-13146.7458526,-21909.0341434,+0,+0,-26291.4862744,-61337.8680081,-48191.2947811
2010-08-16 18:47:30 UTC,+0,-61368.4390021,+0,-48219.0746647,+0,+0,+0,-35071.8850619,-26270.1809802,-26270.8455617,-56912.3290647,+0,-61282.7432482,+0,-21891.1904553,+0,+0,-26270.0729824,-61287.912733,-48152.0477726
2010-08-16 18:48:00 UTC,+0,-61284.3994569,+0,-48153.04206,+0,-30645.8306804,+0,-35023.8552538,-26260.5520321,-26261.2162899,-56891.4694924,+0,-61260.2825415,+0,-21883.1667099,+0,+0,-26260.4440982,-61265.4494191,-48134.3996302
2010-08-16 18:48:30 UTC,+0,-61224.1635924,-43730.6330643,-48105.7127816,+0,-30615.7081947,+0,-34989.4295891,+0,-26247.2974565,-56861.3175833,+0,-61227.8162367,+0,-21871.5686184,+0,+0,-26246.5258247,+0,-48108.8897495
2010-08-16 18:49:00 UTC,-52464.5923252,-61205.6315494,-43717.3963103,-48091.1515526,+0,-30606.4407723,-30604.8002272,-34978.8382596,+0,-26233.7400929,-56831.9487152,+0,-61196.1930779,+0,-21860.2717277,+0,+0,-26232.9690067,+0,-48084.0423576
2010-08-16 18:49:30 UTC,-52394.8728036,-61124.2975473,-43659.3024373,-48027.2447816,+0,-30565.7676211,-30564.1300109,-34932.3547036,+0,-26299.0627762,-56973.4550909,+0,+0,-13150.147589,-21914.7029041,-26298.0505294,+0,-26298.2890623,+0,-48203.7631632
2010-08-16 18:50:00 UTC,-52384.1353882,-61111.771401,-43650.355474,-48017.4025809,-43650.5238963,-30559.5036002,-30557.8664423,-34925.1958296,+0,-26328.8757771,-57038.0380204,+0,+0,-13165.0549911,-21939.5450689,-26327.8618771,-39490.1232329,+0,+0,-48258.4032533
2010-08-16 18:50:30 UTC,-52477.3131115,-61220.4714746,-43727.9959208,-48102.8117645,-43728.1644596,-30613.8618567,-30612.2207763,-34987.3194906,+0,-26280.8821439,-56934.0709829,+0,+0,-13141.056723,-21899.553599,-26279.8709056,-39418.1405912,+0,+0,-48170.4424211
2010-08-16 18:51:00 UTC,-52462.693228,-61203.4160841,-43715.8138853,+0,-43715.9824057,-30605.3328722,-30603.692407,-34977.5720891,+0,-26346.6325725,+0,+0,+0,-13173.9339256,-21954.3412065,-26345.6176885,-39516.7555387,+0,+0,-48290.9472111
2010-08-16 18:51:30 UTC,-52436.7803735,-61173.1864421,-43694.2219686,+0,-43694.3904566,-30590.2157654,-30588.576391,-34960.2954126,+0,+0,+0,+0,+0,-13175.4895861,-21956.9336084,-26348.728649,-39521.4217321,+0,+0,-48296.6491732
2010-08-16 18:52:00 UTC,-52446.4634321,-61184.4825886,-43702.2903888,+0,-43702.4588889,-30595.8646925,-30594.2249106,-34966.751323,-26366.8924941,+0,+0,-57118.4670525,+0,-13184.3984332,+0,-26366.5442791,-39548.1437615,+0,+0,-48329.3027726
2010-08-16 18:52:30 UTC,-52440.2631896,-61177.2494557,-43697.1240291,+0,-43697.2925215,-30592.2475796,-30590.6080585,-34962.6174837,-26381.5301862,+0,+0,-57150.1748896,+0,+0,+0,-26381.1816516,-39570.0986574,-26381.4214517,+0,-48356.1310654
2010-08-16 18:53:00 UTC,-52508.8441524,-61257.2552297,-43754.2691989,+0,-43754.4377774,+0,-30630.6141079,+0,-26389.1724351,+0,+0,-57166.729356,+0,+0,+0,-26388.8237338,-39581.5611734,-26389.0636502,+0,-48370.1379519
2010-08-16 18:53:30 UTC,-52471.8584557,-61214.1081347,-43723.4508221,+0,-43723.6193541,+0,-30609.038855,+0,-26409.7293476,+0,+0,-57211.2592771,+0,+0,+0,-26409.3801979,-39612.3942366,-26409.620427,-61613.4643373,-48407.8151291
2010-08-16 18:54:00 UTC,-52550.1203007,-61305.4075179,-43788.6626009,+0,-43788.8312316,+0,-30654.692155,+0,-26384.9753718,-26385.6438066,+0,-57157.6377731,-61550.5154036,+0,+0,-26384.6267621,-39575.2660494,-26384.8666146,-61555.7159209,-48362.4454799
