# file...... Output/Qh/house_Qh_file_018.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_6C_tm_2_C_6_Meter_41_341:Qh,house_2_7C_tm_2_C_7_Meter_41_342:Qh,house_2_8C_tm_2_C_8_Meter_41_343:Qh,house_2_1A_tm_2_A_1_Meter_42_344:Qh,house_2_2A_tm_2_A_2_Meter_42_345:Qh,house_2_3A_tm_2_A_3_Meter_42_346:Qh,house_2_4A_tm_2_A_4_Meter_42_347:Qh,house_2_5A_tm_2_A_5_Meter_42_348:Qh,house_2_6A_tm_2_A_6_Meter_42_349:Qh,house_2_7A_tm_2_A_7_Meter_42_350:Qh,house_2_8A_tm_2_A_8_Meter_42_351:Qh,house_2_1B_tm_2_B_1_Meter_43_352:Qh,house_2_2B_tm_2_B_2_Meter_43_353:Qh,house_2_3B_tm_2_B_3_Meter_43_354:Qh,house_2_4B_tm_2_B_4_Meter_43_355:Qh,house_2_5B_tm_2_B_5_Meter_43_356:Qh,house_2_6B_tm_2_B_6_Meter_43_357:Qh,house_2_7B_tm_2_B_7_Meter_43_358:Qh,house_2_8B_tm_2_B_8_Meter_43_359:Qh,house_2_9B_tm_2_B_9_Meter_43_360:Qh
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,-43401.8557093,+0,+0,+0,+0,+0,+0,-39026.4156904,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,-43413.8253372,+0,+0,+0,+0,+0,+0,-39011.3930736,-56350.3898022,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,-47758.3635113,+0,+0,-43412.4274784,+0,+0,+0,+0,+0,+0,-39016.3346558,-56357.5277611,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,-47743.5031531,+0,+0,-43398.9197556,+0,+0,+0,+0,+0,+0,-39014.8993152,-56355.4544571,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,-47718.1379696,+0,+0,-43375.8633896,+0,+0,+0,+0,+0,+0,-39016.5880968,-56357.8938487,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,-47741.2118435,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39026.5968439,-56372.3511668,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,-47748.4565299,+0,+0,+0,+0,+0,+0,+0,+0,-39029.0024169,+0,-56371.101293,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,-47762.9181423,+0,+0,+0,+0,+0,+0,+0,+0,-39045.7580404,+0,-56395.3017286,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,-47713.6349279,+0,+0,+0,+0,+0,+0,+0,+0,-39077.18622,+0,+0,+0,-65112.8764805,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,-47727.8096231,+0,+0,+0,+0,+0,+0,+0,+0,-39061.0552552,+0,+0,+0,-65085.9995164,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,-47732.8752117,+0,+0,+0,+0,+0,+0,+0,+0,-39079.9766364,+0,+0,+0,-65117.5257946,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39079.6146769,+0,+0,+0,-65116.922708,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39080.6020613,+0,+0,+0,-65118.5678604,+0,+0
2010-08-16 00:35:00 UTC,-26052.9620714,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65128.7513979,+0,+0
2010-08-16 00:35:30 UTC,-26056.2276571,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65107.2308339,+0,+0
2010-08-16 00:36:00 UTC,-26046.9282296,-56422.5141883,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30382.5868163,+0,+0,+0
2010-08-16 00:36:30 UTC,-26040.660321,-56408.937547,+0,+0,+0,+0,+0,+0,+0,+0,-26050.9758964,+0,+0,+0,+0,+0,-30375.4274095,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,-56414.5887672,+0,+0,+0,+0,+0,+0,+0,+0,-26054.3703538,+0,+0,+0,+0,+0,-30366.2414065,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,-56390.0862242,+0,+0,+0,+0,+0,+0,+0,+0,-26058.0662669,+0,+0,+0,+0,+0,-30367.2859146,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,-56423.918487,+0,+0,+0,+0,+0,+0,+0,+0,-26067.2045038,+0,+0,+0,+0,+0,-30338.3223285,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,-56437.8711208,+0,+0,+0,+0,+0,+0,+0,+0,-26063.8962339,+0,+0,+0,+0,+0,-30345.0139221,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,-56423.8630947,+0,-47774.2476678,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,-56393.870822,+0,-47781.1594508,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,-47763.8888234,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,-47760.5028603,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,-47754.8795528,+0,+0,+0,+0,+0,-47748.0416,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,-47742.8106067,+0,+0,+0,+0,+0,-47735.9748499,+0,+0,-56396.3331936,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,-47722.6235306,+0,+0,+0,+0,+0,-47715.7914457,+0,+0,-56423.2560485,+0,+0,+0,+0,+0,+0,-60769.9625044
2010-08-16 00:42:30 UTC,+0,+0,+0,-47740.2199447,+0,+0,+0,+0,+0,-47733.384659,+0,+0,-56407.9308754,+0,+0,+0,+0,+0,+0,-60753.456123
2010-08-16 00:43:00 UTC,+0,+0,+0,-47718.4817643,+0,+0,+0,+0,+0,-47711.650433,+0,+0,-56431.4388539,+0,+0,+0,+0,+0,+0,-60778.7760103
2010-08-16 00:43:30 UTC,+0,+0,+0,-47753.8524786,+0,+0,-47747.7786457,+0,+0,-47747.0147126,+0,-26034.3509302,-56398.861226,+0,+0,+0,+0,+0,+0,-60743.6874176
2010-08-16 00:44:00 UTC,+0,+0,-39028.2028775,+0,+0,+0,-47762.4614354,+0,+0,-47761.6970861,+0,-26033.9128079,-56397.9121492,+0,+0,+0,+0,+0,+0,-60742.6651891
2010-08-16 00:44:30 UTC,+0,+0,-39022.7733782,+0,+0,+0,-47735.8409935,+0,+0,-47735.077399,+0,-26043.2913148,-56418.2282264,+0,+0,+0,+0,+0,+0,-60764.5471558
2010-08-16 00:45:00 UTC,+0,+0,-39029.93474,+0,+0,+0,-47724.7788597,+0,+0,+0,+0,-26038.7254707,-56408.3375213,+0,+0,+0,+0,+0,+0,-60753.8941114
2010-08-16 00:45:30 UTC,+0,+0,-39059.0376843,+0,+0,+0,-47715.5607268,+0,+0,+0,+0,-26042.4001894,-56416.2978358,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,-39069.950284,+0,+0,+0,-47726.4519745,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,-39071.335261,+0,+0,+0,-47737.0671695,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,-47700.9427403,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52050.4090559,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56390.5580991,+0,+0,-52047.3892721,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56352.6242816,+0,+0,-52012.3782097,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56364.9850351,+0,+0,-52023.7865819,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56412.1139007,+0,+0,-52067.2842256,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26023.0842746,+0,+0,+0,+0,-56359.4735739,+0,+0,-52018.6997723,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26006.1915786,+0,+0,+0,+0,-56345.3785523,+0,+0,-52005.6907554,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26008.9455952,+0,+0,+0,+0,-56333.0685503,+0,+0,-51994.3292246,+0
