# file...... Output/Qh/house_Qh_file_050.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13A_tm_3_A_13_Meter_82_981:Qh,house_3_14A_tm_3_A_14_Meter_82_982:Qh,house_3_15A_tm_3_A_15_Meter_82_983:Qh,house_3_1C_tm_3_C_1_Meter_83_984:Qh,house_3_2C_tm_3_C_2_Meter_83_985:Qh,house_3_3C_tm_3_C_3_Meter_83_986:Qh,house_3_4C_tm_3_C_4_Meter_83_987:Qh,house_3_5C_tm_3_C_5_Meter_83_988:Qh,house_3_6C_tm_3_C_6_Meter_83_989:Qh,house_3_7C_tm_3_C_7_Meter_83_990:Qh,house_3_8C_tm_3_C_8_Meter_83_991:Qh,house_3_1C_tm_3_C_1_Meter_84_992:Qh,house_3_2C_tm_3_C_2_Meter_84_993:Qh,house_3_3C_tm_3_C_3_Meter_84_994:Qh,house_3_4C_tm_3_C_4_Meter_84_995:Qh,house_3_5C_tm_3_C_5_Meter_84_996:Qh,house_3_6C_tm_3_C_6_Meter_84_997:Qh,house_3_7C_tm_3_C_7_Meter_84_998:Qh,house_3_8C_tm_3_C_8_Meter_84_999:Qh,house_3_1C_tm_3_C_1_Meter_85_1000:Qh
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,+0,-21917.8240322,+0,-43832.0168314,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,+0,-21920.7141276,+0,-43837.7964357,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26299.2751918
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26315.4180184
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30670.8852488,+0,+0,-48188.0322455,-26285.4144617
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61263.3188236,+0,+0,+0,-30637.4231246,+0,+0,-48135.4613719,-26253.4794456
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61186.1046745,+0,+0,+0,-30598.807069,+0,+0,-48074.7933879,-26220.3943861
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61251.1340792,+0,+0,+0,-30631.3293355,+0,+0,-48125.8876876,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,-61281.4736014,+0,+0,+0,+0,+0,+0,+0,-61235.035,+0,+0,+0,-30623.2779234,+0,+0,-48113.2384686,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,-61279.1402606,+0,+0,+0,+0,+0,+0,+0,-61236.8619854,+0,+0,+0,+0,+0,+0,-48114.6739506,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,-61278.982085,+0,+0,+0,+0,+0,+0,+0,-61241.4835097,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,-61268.5022621,+0,+0,+0,+0,+0,+0,+0,-61231.0140876,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,-17518.7570728,+0,-61351.4226381,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,-17516.6052223,+0,-61362.1836169,+0,+0,+0,+0,+0,+0,-26299.7977764,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,-17518.2116529,+0,+0,+0,+0,+0,+0,+0,-17518.5895583,-26276.1851466,+0,-26265.4852582,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,-17520.9795928,+0,+0,+0,+0,+0,+0,-30617.5392521,-17496.932443,-26243.7021332,+0,-26233.9477844,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,-43722.5683532,+0,-30606.6974105,-17490.736578,-26234.4090966,+0,-26223.6609293,+0,+0,+0,+0,-39335.0805545,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,-43728.1321998,+0,-30610.5922306,-17492.9623788,+0,+0,-26227.5665456,+0,+0,+0,+0,-39340.9389198,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,-43771.0827378,+0,-30640.6585917,+0,+0,+0,-26252.7951975,+0,+0,+0,+0,-39378.7815154,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,-43809.0044731,+0,-30667.2046756,+0,+0,+0,-26275.5323207,+0,+0,+0,+0,-39412.8868554,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,-43781.7829242,+0,-30648.1489674,+0,+0,+0,-26256.9527779,+0,+0,+0,+0,-39385.0178229,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,-43740.9792966,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39349.158441,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,-21890.5226371,-43776.4715408,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39381.2207699,-39382.2939524,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,-26275.9637862,-21896.9860229,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39388.9479259,-39390.0213779,+0,+0
