# file...... Output/Qh/house_Qh_file_028.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_12B_tm_2_B_12_Meter_49_541:Qh,house_2_13B_tm_2_B_13_Meter_49_542:Qh,house_2_14B_tm_2_B_14_Meter_49_543:Qh,house_2_15B_tm_2_B_15_Meter_49_544:Qh,house_2_16B_tm_2_B_16_Meter_49_545:Qh,house_2_17B_tm_2_B_17_Meter_49_546:Qh,house_2_18B_tm_2_B_18_Meter_49_547:Qh,house_2_19B_tm_2_B_19_Meter_49_548:Qh,house_2_20B_tm_2_B_20_Meter_49_549:Qh,house_2_21B_tm_2_B_21_Meter_49_550:Qh,house_2_22B_tm_2_B_22_Meter_49_551:Qh,house_2_23B_tm_2_B_23_Meter_49_552:Qh,house_2_24B_tm_2_B_24_Meter_49_553:Qh,house_2_25B_tm_2_B_25_Meter_49_554:Qh,house_2_26B_tm_2_B_26_Meter_49_555:Qh,house_2_27B_tm_2_B_27_Meter_49_556:Qh,house_2_28B_tm_2_B_28_Meter_49_557:Qh,house_2_29B_tm_2_B_29_Meter_49_558:Qh,house_2_1C_tm_2_C_1_Meter_49_559:Qh,house_2_2C_tm_2_C_2_Meter_49_560:Qh
2010-08-16 00:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47744.169029,+0,-47749.7975417,+0,+0
2010-08-16 00:19:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47758.3710931,+0,+0,+0,+0
2010-08-16 00:20:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47743.4587145,+0,+0,-43434.9324623,+0
2010-08-16 00:20:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47742.1344352,+0,+0,-43428.9943996,+0
2010-08-16 00:21:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43452.4919157,+0
2010-08-16 00:21:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43454.0120377,+0
2010-08-16 00:22:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43441.2632375,+0
2010-08-16 00:22:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17370.4153658,+0,+0,+0,+0,+0,-43438.5429779,+0
2010-08-16 00:23:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17353.9478965,-52053.0876413,+0,+0,+0,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17364.6176758,-52085.0902927,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17355.5185458,-52057.798605,+0,+0,+0,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,-17357.0592345,+0,+0,+0,+0,+0,-52067.6074439,+0,+0,+0,-52062.6506491,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,-17346.5954546,+0,+0,+0,+0,+0,-52036.2187583,+0,+0,+0,-52031.2656587,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,-43361.4294749,+0,-17346.8918659,+0,+0,+0,+0,+0,-52037.1079169,+0,+0,+0,-52032.1547124,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,-43327.5989522,-43323.5867607,+0,-17331.7521865,+0,+0,+0,+0,+0,-51991.6927194,+0,+0,+0,-51986.7448619,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:30 UTC,-43376.6718781,-43372.6537301,+0,+0,-26029.273605,+0,+0,+0,+0,-52050.5781915,+0,+0,+0,-52045.6234013,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:00 UTC,-43382.1868813,-43378.168064,+0,+0,-26030.2689082,+0,+0,+0,+0,-52057.1959662,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:27:30 UTC,-43376.4023975,-43372.3842821,+0,+0,-26026.7980561,+0,+0,+0,+0,-52050.254826,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:00 UTC,-43373.423303,-43369.4055491,+0,+0,-26025.010516,+0,+0,+0,+0,-52046.6800363,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:28:30 UTC,-43356.3016323,-43352.2859565,+0,+0,-26014.7370344,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:00 UTC,-43343.7682543,-43339.7540999,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52002.9001745,+0,+0,+0
