# file...... Output/Qh/house_Qh_file_056.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_4B_tm_3_B_4_Meter_95_1101:Qh,house_3_5B_tm_3_B_5_Meter_95_1102:Qh,house_3_6B_tm_3_B_6_Meter_95_1103:Qh,house_3_7B_tm_3_B_7_Meter_95_1104:Qh,house_3_8B_tm_3_B_8_Meter_95_1105:Qh,house_3_1B_tm_3_B_1_Meter_96_1106:Qh,house_3_2B_tm_3_B_2_Meter_96_1107:Qh,house_3_3B_tm_3_B_3_Meter_96_1108:Qh,house_3_4B_tm_3_B_4_Meter_96_1109:Qh,house_3_5B_tm_3_B_5_Meter_96_1110:Qh,house_3_6B_tm_3_B_6_Meter_96_1111:Qh,house_3_7B_tm_3_B_7_Meter_96_1112:Qh,house_3_8B_tm_3_B_8_Meter_96_1113:Qh,house_3_1A_tm_3_A_1_Meter_98_1114:Qh,house_3_2A_tm_3_A_2_Meter_98_1115:Qh,house_3_3A_tm_3_A_3_Meter_98_1116:Qh,house_3_4A_tm_3_A_4_Meter_98_1117:Qh,house_3_5A_tm_3_A_5_Meter_98_1118:Qh,house_3_6A_tm_3_A_6_Meter_98_1119:Qh,house_3_7A_tm_3_A_7_Meter_98_1120:Qh
2010-08-16 00:22:30 UTC,-61185.2802894,+0,+0,-17483.610923,+0,+0,+0,+0,+0,-52438.353584,+0,-43699.0928901,+0,+0,+0,+0,-43861.9129438,+0,+0,+0
2010-08-16 00:23:00 UTC,-61140.7766921,+0,+0,-17470.893728,+0,+0,+0,+0,+0,-52400.2150726,+0,-43667.3102244,+0,+0,+0,+0,-43858.5806758,+0,+0,+0
2010-08-16 00:23:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52454.1023306,+0,-43712.217082,+0,+0,+0,+0,-43839.3023822,+0,+0,+0
2010-08-16 00:24:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43706.8930024,+0,+0,+0,+0,-43848.8981642,+0,+0,+0
2010-08-16 00:24:30 UTC,+0,+0,+0,+0,-39321.9121964,-61150.1812697,+0,+0,+0,+0,+0,-43683.2299595,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:00 UTC,+0,+0,+0,+0,-39317.6090076,-61146.3389402,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:25:30 UTC,+0,+0,+0,+0,-39311.8683732,-61137.4120726,+0,+0,+0,+0,+0,+0,+0,-43877.6738049,+0,+0,+0,+0,+0,+0
2010-08-16 00:26:00 UTC,+0,+0,+0,+0,-39253.4987582,-61047.4195817,+0,+0,+0,+0,+0,+0,+0,-43891.9573694,+0,+0,+0,-48278.3589721,+0,+0
2010-08-16 00:26:30 UTC,+0,+0,+0,+0,-39322.1181313,-61154.1275308,+0,+0,+0,+0,+0,+0,+0,-43887.3667451,+0,+0,+0,-48273.3096297,+0,+0
2010-08-16 00:27:00 UTC,+0,+0,+0,+0,-39321.7815411,-61153.6041093,+0,+0,+0,+0,+0,+0,+0,-43878.2947263,+0,+0,+0,-48263.3310896,+0,+0
2010-08-16 00:27:30 UTC,+0,+0,+0,+0,-39316.0238483,-61144.6504911,+0,+0,+0,+0,+0,+0,+0,-43866.4353545,+0,+0,+0,-48250.2866705,+0,+0
2010-08-16 00:28:00 UTC,+0,+0,+0,+0,+0,-61187.5690837,+0,+0,+0,+0,+0,+0,+0,-43865.6192816,+0,+0,+0,-48249.3890515,+0,+0
2010-08-16 00:28:30 UTC,+0,+0,+0,+0,+0,-61104.6629894,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48248.4657157,+0,+0
2010-08-16 00:29:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:29:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:30:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-57034.3880215,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-57062.4788695,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56944.1882788,+0
2010-08-16 00:33:00 UTC,+0,-21846.5606425,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48190.1193282,+0,+0,+0,-56950.6329436,+0
2010-08-16 00:33:30 UTC,+0,-21869.8338638,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48186.5894957,+0,+0,+0,-56946.4614413,+0
2010-08-16 00:34:00 UTC,+0,-21894.1688178,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48184.8197966,+0,+0,+0,-56944.3700378,+0
2010-08-16 00:34:30 UTC,+0,-21882.6563544,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48158.4420741,+0,+0,+0,-56913.1972465,-48166.3404661
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,-56854.3707684,+0,+0,+0,+0,+0,+0,+0,-48178.9344837,+0,+0,+0,+0,-48175.1002108
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,-56822.7800246,+0,+0,+0,+0,+0,+0,+0,-48165.8373228,+0,+0,+0,+0,-48162.0044267
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,-56800.6205384,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48168.8454052
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,-56849.521733,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48176.9489084
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,-56807.1196202,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48188.7268809
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,-56783.3041659,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48188.7149803
2010-08-16 00:38:00 UTC,+0,+0,-56702.6152104,+0,+0,+0,-56692.1998565,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
